                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  3857972944 |   858983685 |  4037043062 |   249999989 |  4074427285 |  2905394947 |   482998637 |   943801668
  Cycles                             |  4253692021 |  4253692047 |  4253691937 |  4253688704 |  4253691944 |  4253691901 |  4253692520 |  4253692217
  IPC                                |        0.91 |        0.20 |        0.95 |        0.06 |        0.96 |        0.68 |        0.11 |        0.22
  Time (ns)                          |  1417897340 |  1417897349 |  1417897312 |  1417896235 |  1417897315 |  1417897300 |  1417897507 |  1417897406
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   207900814 |   118146231 |    76192767 |    43244780 |   524804270 |    66550940 |   113154592 |   159325667
  num incorrect                      |   146478474 |    16229209 |    11597846 |    11689069 |   122494521 |     1185601 |    12570849 |    14741800
  misprediction rate                 |      41.33% |      12.08% |      13.21% |      21.28% |      18.92% |       1.75% |      10.00% |       8.47%
  mpki                               |       37.97 |       18.89 |        2.87 |       46.76 |       30.06 |        0.41 |       26.03 |       15.62
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   314291383 |   150532050 |   384764779 |    23761816 |   571235779 |   260124878 |    40841856 |   109424518
    num misses                       |          52 |         104 |         122 |           3 |         277 |           4 |       33380 |          42
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1137567858 |   400256810 |  2051092745 |    88558906 |  1591509169 |  1143241408 |   167350621 |   328380131
    num misses                       |       67981 |    15599680 |     4556514 |    21160071 |     2843393 |      603906 |     2559775 |     5640184
    miss rate                        |       0.01% |       3.90% |       0.22% |      23.89% |       0.18% |       0.05% |       1.53% |       1.72%
    mpki                             |        0.02 |       18.16 |        1.13 |       84.64 |        0.70 |        0.21 |        5.30 |        5.98
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       68033 |    15599784 |     4556636 |    21160074 |     2843670 |      603910 |     2593155 |     5640226
    num misses                       |       60623 |     4677288 |       62842 |    10898576 |      453608 |      318490 |     2191843 |     1525003
    miss rate                        |      89.11% |      29.98% |       1.38% |      51.51% |      15.95% |      52.74% |      84.52% |      27.04%
    mpki                             |        0.02 |        5.45 |        0.02 |       43.59 |        0.11 |        0.11 |        4.54 |        1.62
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   314291383 |   150532050 |   384764779 |    23761816 |   571235779 |   260124878 |    40841856 |   109424518
    num cache misses                 |      122780 |     3260865 |      698394 |      189585 |    17735264 |      366989 |      773842 |      125016
    miss rate                        |       0.04% |       2.17% |       0.18% |       0.80% |       3.10% |       0.14% |       1.89% |       0.11%
    mpki                             |        0.03 |        3.80 |        0.17 |        0.76 |        4.35 |        0.13 |        1.60 |        0.13
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1137567858 |   400256810 |  2051092745 |    88558906 |  1591509169 |  1143241408 |   167350621 |   328380131
    num cache misses                 |     4277274 |    22822781 |    31681258 |    28749914 |    19817052 |    29428860 |    14400729 |    38429739
    miss rate                        |       0.38% |       5.70% |       1.54% |      32.46% |       1.25% |       2.57% |       8.61% |      11.70%
    mpki                             |        1.11 |       26.57 |        7.85 |      115.00 |        4.86 |       10.13 |       29.82 |       40.72
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4598270 |    30431868 |    32839625 |    32505773 |    38460471 |    29798133 |    15209934 |    42494702
    num cache misses                 |     4217122 |    22399890 |    16857041 |    24327190 |    17062147 |    20833714 |    14548113 |    33983067
    miss rate                        |      91.71% |      73.61% |      51.33% |      74.84% |      44.36% |      69.92% |      95.65% |      79.97%
    mpki                             |        1.09 |       26.08 |        4.18 |       97.31 |        4.19 |        7.17 |       30.12 |       36.01
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4418573 |    26754704 |    17317435 |    27918566 |    17973145 |    20840455 |    14584546 |    37924697
    num cache misses                 |     4189644 |    14851536 |     2979315 |    16683215 |     2417353 |    20008659 |    13998457 |    21209487
    miss rate                        |      94.82% |      55.51% |      17.20% |      59.76% |      13.45% |      96.01% |      95.98% |      55.93%
    mpki                             |        1.09 |       17.29 |        0.74 |       66.73 |        0.59 |        6.89 |       28.98 |       22.47
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   125440326 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      174.34 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       64.33 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      88.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
