                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4143467129 |   873321180 |  3448933566 |   249999989 |  3685010847 |  3053645564 |   521005481 |  1052661036
  Cycles                             |  4549983900 |  4549984356 |  4549984279 |  4549980052 |  4549984342 |  4549984219 |  4549985494 |  4549984100
  IPC                                |        0.91 |        0.19 |        0.76 |        0.05 |        0.81 |        0.67 |        0.11 |        0.23
  Time (ns)                          |  1516661300 |  1516661452 |  1516661426 |  1516660017 |  1516661447 |  1516661406 |  1516661831 |  1516661367
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   222464746 |   120034903 |    63651539 |    43244780 |   474030213 |    70203678 |   122091745 |   177632756
  num incorrect                      |   157633243 |    16497334 |     9619137 |    11689069 |   110851676 |     1251296 |    13557589 |    16398097
  misprediction rate                 |      41.47% |      12.08% |      13.13% |      21.28% |      18.95% |       1.75% |       9.99% |       8.45%
  mpki                               |       38.04 |       18.89 |        2.79 |       46.76 |       30.08 |        0.41 |       26.02 |       15.58
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   337011313 |   153007534 |   328253320 |    23761816 |   516822832 |   272975219 |    44024194 |   122227181
    num misses                       |          52 |         105 |         110 |           3 |         259 |           4 |       35781 |          42
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1220937428 |   406931430 |  1754537136 |    88558906 |  1441302353 |  1198057793 |   180490886 |   366688815
    num misses                       |       72489 |    15838856 |     3909982 |    21160103 |     2553505 |      634796 |     2756749 |     6313827
    miss rate                        |       0.01% |       3.89% |       0.22% |      23.89% |       0.18% |       0.05% |       1.53% |       1.72%
    mpki                             |        0.02 |       18.14 |        1.13 |       84.64 |        0.69 |        0.21 |        5.29 |        6.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       72541 |    15838961 |     3910092 |    21160106 |     2553764 |      634800 |     2792530 |     6313869
    num misses                       |       64648 |     4747150 |       52908 |    10898266 |      409051 |      331670 |     2361686 |     1708619
    miss rate                        |      89.12% |      29.97% |       1.35% |      51.50% |      16.02% |      52.25% |      84.57% |      27.06%
    mpki                             |        0.02 |        5.44 |        0.02 |       43.59 |        0.11 |        0.11 |        4.53 |        1.62
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   337011313 |   153007534 |   328253320 |    23761816 |   516822832 |   272975219 |    44024194 |   122227181
    num cache misses                 |      102471 |     3368030 |      639520 |      193132 |    16290458 |      393465 |      842387 |      140334
    miss rate                        |       0.03% |       2.20% |       0.19% |       0.81% |       3.15% |       0.14% |       1.91% |       0.11%
    mpki                             |        0.02 |        3.86 |        0.19 |        0.77 |        4.42 |        0.13 |        1.62 |        0.13
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1220937428 |   406931430 |  1754537136 |    88558906 |  1441302353 |  1198057793 |   180490886 |   366688815
    num cache misses                 |     4504510 |    23245466 |    27106203 |    28771443 |    18029750 |    30873270 |    15545686 |    42955967
    miss rate                        |       0.37% |       5.71% |       1.54% |      32.49% |       1.25% |       2.58% |       8.61% |      11.71%
    mpki                             |        1.09 |       26.62 |        7.86 |      115.09 |        4.89 |       10.11 |       29.84 |       40.81
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4758369 |    31176586 |    29066807 |    32672948 |    35445320 |    31274935 |    16429093 |    47014191
    num cache misses                 |     4395841 |    22895449 |    15240476 |    24394294 |    16084745 |    21768625 |    15722043 |    38051053
    miss rate                        |      92.38% |      73.44% |      52.43% |      74.66% |      45.38% |      69.60% |      95.70% |      80.94%
    mpki                             |        1.06 |       26.22 |        4.42 |       97.58 |        4.36 |        7.13 |       30.18 |       36.15
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4549660 |    27464968 |    16562075 |    28127133 |    17217029 |    21781759 |    15764196 |    41970436
    num cache misses                 |     4362204 |    15458392 |     4803022 |    17743764 |     4094669 |    20284621 |    14508663 |    22017993
    miss rate                        |      95.88% |      56.28% |      29.00% |      63.08% |      23.78% |      93.13% |      92.04% |      52.46%
    mpki                             |        1.05 |       17.70 |        1.39 |       70.98 |        1.11 |        6.64 |       27.85 |       20.92
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   135345847 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      178.80 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       68.79 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      89.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
