                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999883 |  349936255 |  252490300 |  353426879
  Cycles                             |  238569353 |  238571365 |  238571101 |  238571107
  IPC                                |       1.05 |       1.47 |       1.06 |       1.48
  Time (ns)                          |   79523118 |   79523788 |   79523700 |   79523702
Branch predictor stats               |            |            |            |           
  num correct                        |   13678195 |   31639450 |    4968271 |   28458238
  num incorrect                      |    9414386 |    5374774 |     754996 |    4767452
  misprediction rate                 |     40.77% |     14.52% |     13.19% |     14.35%
  mpki                               |      37.66 |      15.36 |       2.99 |      13.49
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20500819 |   39888405 |   24139293 |   51795813
    num misses                       |         52 |        206 |         62 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   73920987 |  146434763 |  128115008 |  169445147
    num misses                       |       4511 |      75612 |     288700 |     949738
    miss rate                        |      0.01% |      0.05% |      0.23% |      0.56%
    mpki                             |       0.02 |       0.22 |       1.14 |       2.69
  L2 TLB                             |            |            |            |           
    num accesses                     |       4563 |      75818 |     288762 |     949803
    num misses                       |       4160 |       2492 |       4172 |       6049
    miss rate                        |     91.17% |      3.29% |      1.44% |      0.64%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20500819 |   39888405 |   24139293 |   51795813
    num cache misses                 |       1351 |     488065 |       3762 |    1506009
    miss rate                        |      0.01% |      1.22% |      0.02% |      2.91%
    mpki                             |       0.01 |       1.39 |       0.01 |       4.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   73920987 |  146434763 |  128115008 |  169445147
    num cache misses                 |     266463 |    1089785 |    1997076 |    5644682
    miss rate                        |      0.36% |      0.74% |      1.56% |      3.33%
    mpki                             |       1.07 |       3.11 |       7.91 |      15.97
  Cache L2                           |            |            |            |           
    num cache accesses               |     269627 |    1580272 |    2018007 |    7151534
    num cache misses                 |     258216 |      77490 |     274511 |      21788
    miss rate                        |     95.77% |      4.90% |     13.60% |      0.30%
    mpki                             |       1.03 |       0.22 |       1.09 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |     260099 |      80048 |     292053 |      22860
    num cache misses                 |     257843 |      40501 |     152759 |      21400
    miss rate                        |     99.13% |     50.60% |     52.31% |     93.61%
    mpki                             |       1.03 |       0.12 |       0.61 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |     715597 |          0 |          0 |          0
  average dram access latency (ns)   |     113.05 |        inf |        inf |        inf
  average dram queueing delay        |       3.04 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
