                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999923 |  412778531 |  263978998 |  406052444
  Cycles                             |  281034574 |  281036270 |  281036313 |  281036236
  IPC                                |       0.89 |       1.47 |       0.94 |       1.44
  Time (ns)                          |   93678192 |   93678757 |   93678771 |   93678746
Branch predictor stats               |            |            |            |           
  num correct                        |   13678195 |   36335328 |    5644845 |   32739681
  num incorrect                      |    9414386 |    6109837 |     849733 |    5471834
  misprediction rate                 |     40.77% |     14.39% |     13.08% |     14.32%
  mpki                               |      37.66 |      14.80 |       3.22 |      13.48
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20500819 |   46600137 |   25413067 |   59561298
    num misses                       |         52 |        226 |         62 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   73920988 |  173208138 |  133808658 |  194705373
    num misses                       |       4511 |      95269 |     306153 |    1099155
    miss rate                        |      0.01% |      0.06% |      0.23% |      0.56%
    mpki                             |       0.02 |       0.23 |       1.16 |       2.71
  L2 TLB                             |            |            |            |           
    num accesses                     |       4563 |      95495 |     306215 |    1099220
    num misses                       |       4160 |       3062 |       4442 |       6620
    miss rate                        |     91.17% |      3.21% |      1.45% |      0.60%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20500819 |   46600137 |   25413067 |   59561298
    num cache misses                 |       1856 |     587620 |      12321 |    1774318
    miss rate                        |      0.01% |      1.26% |      0.05% |      2.98%
    mpki                             |       0.01 |       1.42 |       0.05 |       4.37
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   73920988 |  173208138 |  133808658 |  194705373
    num cache misses                 |     267145 |    1373386 |    2157099 |    6428127
    miss rate                        |      0.36% |      0.79% |      1.61% |      3.30%
    mpki                             |       1.07 |       3.33 |       8.17 |      15.83
  Cache L2                           |            |            |            |           
    num cache accesses               |     271240 |    1962300 |    2194525 |    8203377
    num cache misses                 |     259678 |     286721 |     465050 |      37611
    miss rate                        |     95.74% |     14.61% |     21.19% |      0.46%
    mpki                             |       1.04 |       0.69 |       1.76 |       0.09
  Cache L3                           |            |            |            |           
    num cache accesses               |     261968 |     288078 |     490289 |      38730
    num cache misses                 |     258965 |      28915 |     167427 |      25470
    miss rate                        |     98.85% |     10.04% |     34.15% |     65.76%
    mpki                             |       1.04 |       0.07 |       0.63 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |     733560 |          0 |          0 |          0
  average dram access latency (ns)   |     237.30 |        inf |        inf |        inf
  average dram queueing delay        |      97.27 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     31.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
