                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999883 |  397002694 |  272719949 |  410231530
  Cycles                             |  279716695 |  279719333 |  279719402 |  279719416
  IPC                                |       0.89 |       1.42 |       0.97 |       1.47
  Time (ns)                          |   93238898 |   93239778 |   93239801 |   93239805
Branch predictor stats               |            |            |            |           
  num correct                        |   13678195 |   35383174 |    6196017 |   33079501
  num incorrect                      |    9414386 |    5998726 |     926335 |    5528774
  misprediction rate                 |     40.77% |     14.50% |     13.01% |     14.32%
  mpki                               |      37.66 |      15.11 |       3.40 |      13.48
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20500819 |   45082982 |   26394957 |   60177050
    num misses                       |         52 |        226 |         62 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   73920987 |  166452065 |  138091450 |  196714483
    num misses                       |       4511 |      91390 |     319155 |    1110521
    miss rate                        |      0.01% |      0.05% |      0.23% |      0.56%
    mpki                             |       0.02 |       0.23 |       1.17 |       2.71
  L2 TLB                             |            |            |            |           
    num accesses                     |       4563 |      91616 |     319217 |    1110586
    num misses                       |       4160 |       2915 |       4619 |       6672
    miss rate                        |     91.17% |      3.18% |      1.45% |      0.60%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20500819 |   45082982 |   26394957 |   60177050
    num cache misses                 |       1610 |     574269 |      12558 |    1788124
    miss rate                        |      0.01% |      1.27% |      0.05% |      2.97%
    mpki                             |       0.01 |       1.45 |       0.05 |       4.36
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   73920987 |  166452065 |  138091450 |  196714483
    num cache misses                 |     266473 |    1269961 |    2276435 |    6492813
    miss rate                        |      0.36% |      0.76% |      1.65% |      3.30%
    mpki                             |       1.07 |       3.20 |       8.35 |      15.83
  Cache L2                           |            |            |            |           
    num cache accesses               |     269851 |    1846365 |    2303686 |    8281514
    num cache misses                 |     258555 |     278629 |     464476 |      28412
    miss rate                        |     95.81% |     15.09% |     20.16% |      0.34%
    mpki                             |       1.03 |       0.70 |       1.70 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |     260350 |     280884 |     479337 |      29120
    num cache misses                 |     257725 |      44215 |     139261 |      17294
    miss rate                        |     98.99% |     15.74% |     29.05% |     59.39%
    mpki                             |       1.03 |       0.11 |       0.51 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |     698236 |          0 |          0 |          0
  average dram access latency (ns)   |     245.02 |        inf |        inf |        inf
  average dram queueing delay        |     104.99 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     29.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
