                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999883 |  356241173 |  256486228 |  356706798
  Cycles                             |  238254179 |  238257003 |  238257261 |  238257000
  IPC                                |       1.05 |       1.50 |       1.08 |       1.50
  Time (ns)                          |   79418060 |   79419001 |   79419087 |   79419000
Branch predictor stats               |            |            |            |           
  num correct                        |   13678195 |   32092433 |    5032412 |   28723227
  num incorrect                      |    9414386 |    5482819 |     763295 |    4809651
  misprediction rate                 |     40.77% |     14.59% |     13.17% |     14.34%
  mpki                               |      37.66 |      15.39 |       2.98 |      13.48
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20500819 |   40609762 |   24520620 |   52274637
    num misses                       |         52 |        206 |         62 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   73920987 |  149143490 |  130252694 |  171005946
    num misses                       |       4511 |      79419 |     291714 |     958835
    miss rate                        |      0.01% |      0.05% |      0.22% |      0.56%
    mpki                             |       0.02 |       0.22 |       1.14 |       2.69
  L2 TLB                             |            |            |            |           
    num accesses                     |       4563 |      79625 |     291776 |     958900
    num misses                       |       4160 |       2605 |       4268 |       6075
    miss rate                        |     91.17% |      3.27% |      1.46% |      0.63%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20500819 |   40609762 |   24520620 |   52274637
    num cache misses                 |       2242 |     570730 |      45156 |    1715962
    miss rate                        |      0.01% |      1.41% |      0.18% |      3.28%
    mpki                             |       0.01 |       1.60 |       0.18 |       4.81
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   73920987 |  149143490 |  130252694 |  171005946
    num cache misses                 |     266121 |    1140500 |    2039201 |    5817386
    miss rate                        |      0.36% |      0.76% |      1.57% |      3.40%
    mpki                             |       1.06 |       3.20 |       7.95 |      16.31
  Cache L2                           |            |            |            |           
    num cache accesses               |     269920 |    1711981 |    2098696 |    7533633
    num cache misses                 |     259998 |     658375 |    1071135 |    1125895
    miss rate                        |     96.32% |     38.46% |     51.04% |     14.94%
    mpki                             |       1.04 |       1.85 |       4.18 |       3.16
  Cache L3                           |            |            |            |           
    num cache accesses               |     261674 |     659128 |    1085487 |    1126237
    num cache misses                 |     257622 |      18764 |     133046 |       7895
    miss rate                        |     98.45% |      2.85% |     12.26% |      0.70%
    mpki                             |       1.03 |       0.05 |       0.52 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |     645564 |          0 |          0 |          0
  average dram access latency (ns)   |     112.44 |        inf |        inf |        inf
  average dram queueing delay        |       2.43 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
