                                     | Core 0      | Core 1     | Core 2      | Core 3      | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1246112612 |  572551566 |  1031954856 |  1283947807 |  414461455 |  249999888 |  648419977 |  783951484
  Cycles                             |   745015019 |  745015110 |   745015020 |   745015020 |  745015339 |  745013827 |  745015020 |  745015025
  IPC                                |        1.67 |       0.77 |        1.39 |        1.72 |       0.56 |       0.34 |       0.87 |       1.05
  Time (ns)                          |   248338340 |  248338370 |   248338340 |   248338340 |  248338447 |  248337943 |  248338340 |  248338342
Branch predictor stats               |             |            |             |             |            |            |            |           
  num correct                        |   165941489 |   13068797 |    82986225 |    85221098 |   22238426 |   19818647 |     841045 |  117994734
  num incorrect                      |    16802401 |     231362 |    13947124 |    14678641 |     520204 |    1620730 |      14254 |   13360228
  misprediction rate                 |       9.19% |      1.74% |      14.39% |      14.69% |      2.29% |      7.56% |      1.67% |     10.17%
  mpki                               |       13.48 |       0.40 |       13.52 |       11.43 |       1.26 |       6.48 |       0.02 |      17.04
TLB Summary                          |             |            |             |             |            |            |            |           
  I-TLB                              |             |            |             |             |            |            |            |           
    num accesses                     |   186757949 |   51765367 |   151181758 |   155691127 |   41589668 |   20925725 |   74284491 |  125662297
    num misses                       |         848 |          4 |          65 |          18 |         47 |         42 |          6 |       4956
    miss rate                        |       0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |             |            |             |             |            |            |            |           
    num accesses                     |   486210693 |  223643675 |   494742834 |   541064872 |  147102368 |   68803935 |  485013702 |  316697829
    num misses                       |      149542 |     112738 |     2763193 |     3824364 |     222706 |     336448 |   17517799 |    1828038
    miss rate                        |       0.03% |      0.05% |       0.56% |       0.71% |      0.15% |      0.49% |      3.61% |      0.58%
    mpki                             |        0.12 |       0.20 |        2.68 |        2.98 |       0.54 |       1.35 |      27.02 |       2.33
  L2 TLB                             |             |            |             |             |            |            |            |           
    num accesses                     |      150390 |     112742 |     2763258 |     3824382 |     222753 |     336490 |   17517805 |    1832994
    num misses                       |        4525 |      62238 |       17677 |       29473 |      70421 |     104712 |   12581482 |     263203
    miss rate                        |       3.01% |     55.20% |       0.64% |       0.77% |     31.61% |     31.12% |     71.82% |     14.36%
    mpki                             |        0.00 |       0.11 |        0.02 |        0.02 |       0.17 |       0.42 |      19.40 |       0.34
Cache Summary                        |             |            |             |             |            |            |            |           
  Cache L1-I                         |             |            |             |             |            |            |            |           
    num cache accesses               |   186757949 |   51765367 |   151181758 |   155691127 |   41589668 |   20925725 |   74284491 |  125662297
    num cache misses                 |     3859423 |      65733 |     5024531 |     1353555 |      42857 |      39874 |     314412 |    2476459
    miss rate                        |       2.07% |      0.13% |       3.32% |       0.87% |      0.10% |      0.19% |      0.42% |      1.97%
    mpki                             |        3.10 |       0.11 |        4.87 |        1.05 |       0.10 |       0.16 |       0.48 |       3.16
  Cache L1-D                         |             |            |             |             |            |            |            |           
    num cache accesses               |   486210693 |  223643675 |   494742834 |   541064872 |  147102368 |   68803935 |  485013702 |  316697829
    num cache misses                 |     6584193 |    5574344 |    16723886 |     2558468 |    5174403 |    3684792 |    5327394 |    3060767
    miss rate                        |       1.35% |      2.49% |       3.38% |       0.47% |      3.52% |      5.36% |      1.10% |      0.97%
    mpki                             |        5.28 |       9.74 |       16.21 |        1.99 |      12.48 |      14.74 |       8.22 |       3.90
  Cache L2                           |             |            |             |             |            |            |            |           
    num cache accesses               |    10491479 |    5640429 |    21755605 |     3932416 |    5893773 |    3754797 |    5642056 |    5641632
    num cache misses                 |      619677 |    4051829 |     3432486 |      437007 |    4226467 |    3453214 |    3955211 |    2988029
    miss rate                        |       5.91% |     71.84% |      15.78% |      11.11% |     71.71% |     91.97% |     70.10% |     52.96%
    mpki                             |        0.50 |       7.08 |        3.33 |        0.34 |      10.20 |      13.81 |       6.10 |       3.81
  Cache L3                           |             |            |             |             |            |            |            |           
    num cache accesses               |      667659 |    4052755 |     3441276 |      457882 |    4914300 |    3483423 |    3955537 |    3092834
    num cache misses                 |      335782 |    3904485 |      159329 |      138489 |    3665686 |    2986481 |    3357233 |     934243
    miss rate                        |      50.29% |     96.34% |       4.63% |      30.25% |     74.59% |     85.73% |     84.87% |     30.21%
    mpki                             |        0.27 |       6.82 |        0.15 |        0.11 |       8.84 |      11.95 |       5.18 |       1.19
DRAM summary                         |             |            |             |             |            |            |            |           
  num dram accesses                  |    19607727 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      149.32 |        inf |         inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       39.31 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      79.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |             |             |            |            |            |           
  num loads from dram                |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
