                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5      | Core 6     | Core 7    
  Instructions                       |  465679732 |  459453124 |  276154650 |  505420468 |  324748923 |  1455458836 |  499916415 |  249999941
  Cycles                             |  714878547 |  714878221 |  714878813 |  714878573 |  714878400 |   714878293 |  714878546 |  714875992
  IPC                                |       0.65 |       0.64 |       0.39 |       0.71 |       0.45 |        2.04 |       0.70 |       0.35
  Time (ns)                          |  238292849 |  238292740 |  238292938 |  238292858 |  238292800 |   238292764 |  238292849 |  238291997
Branch predictor stats               |            |            |            |            |            |             |            |           
  num correct                        |   58522594 |   10393123 |   22206110 |   33631605 |   17760210 |   115432224 |     651399 |   37707678
  num incorrect                      |    6571061 |     184693 |    3735653 |    5774830 |     415417 |     9454106 |      11040 |    4237467
  misprediction rate                 |     10.09% |      1.75% |     14.40% |     14.65% |      2.29% |       7.57% |      1.67% |     10.10%
  mpki                               |      14.11 |       0.40 |      13.53 |      11.43 |       1.28 |        6.50 |       0.02 |      16.95
TLB Summary                          |            |            |            |            |            |             |            |           
  I-TLB                              |            |            |            |            |            |             |            |           
    num accesses                     |   72025602 |   41270819 |   40463592 |   61308138 |   33228194 |   121686710 |   57262988 |   40025757
    num misses                       |        361 |          4 |         65 |         18 |         47 |          42 |          6 |       1554
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |        0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |             |            |           
    num accesses                     |  188541141 |  181307195 |  132359095 |  213034465 |  113314178 |   400665111 |  373963641 |  100673480
    num misses                       |      54779 |      93483 |     742490 |    1508840 |     165155 |     1967285 |   13482159 |     561110
    miss rate                        |      0.03% |      0.05% |      0.56% |      0.71% |      0.15% |       0.49% |      3.61% |      0.56%
    mpki                             |       0.12 |       0.20 |       2.69 |       2.99 |       0.51 |        1.35 |      26.97 |       2.24
  L2 TLB                             |            |            |            |            |            |             |            |           
    num accesses                     |      55140 |      93487 |     742555 |    1508858 |     165202 |     1967327 |   13482165 |     562664
    num misses                       |       1798 |      50756 |       4805 |      11706 |      56229 |      612972 |    9627949 |      79985
    miss rate                        |      3.26% |     54.29% |      0.65% |      0.78% |     34.04% |      31.16% |     71.41% |     14.22%
    mpki                             |       0.00 |       0.11 |       0.02 |       0.02 |       0.17 |        0.42 |      19.26 |       0.32
Cache Summary                        |            |            |            |            |            |             |            |           
  Cache L1-I                         |            |            |            |            |            |             |            |           
    num cache accesses               |   72025602 |   41270819 |   40463592 |   61308138 |   33228194 |   121686710 |   57262988 |   40025757
    num cache misses                 |    2191838 |      26637 |    1545409 |     999561 |      26110 |      103402 |     151524 |    1154126
    miss rate                        |      3.04% |      0.06% |      3.82% |      1.63% |      0.08% |       0.08% |      0.26% |      2.88%
    mpki                             |       4.71 |       0.06 |       5.60 |       1.98 |       0.08 |        0.07 |       0.30 |       4.62
  Cache L1-D                         |            |            |            |            |            |             |            |           
    num cache accesses               |  188541141 |  181307195 |  132359095 |  213034465 |  113314178 |   400665111 |  373963641 |  100673480
    num cache misses                 |    1803479 |    4663632 |    4811227 |    1809689 |    4164136 |    21362869 |    4135257 |    1226347
    miss rate                        |      0.96% |      2.57% |      3.63% |      0.85% |      3.67% |       5.33% |      1.11% |      1.22%
    mpki                             |       3.87 |      10.15 |      17.42 |       3.58 |      12.82 |       14.68 |       8.27 |       4.91
  Cache L2                           |            |            |            |            |            |             |            |           
    num cache accesses               |    4115039 |    4733081 |    6428613 |    3015010 |    4790631 |    21474139 |    4300685 |    2565289
    num cache misses                 |    1245151 |    3442992 |    1696229 |    1433255 |    3417682 |    17675017 |    3129740 |    1694950
    miss rate                        |     30.26% |     72.74% |     26.39% |     47.54% |     71.34% |      82.31% |     72.77% |     66.07%
    mpki                             |       2.67 |       7.49 |       6.14 |       2.84 |      10.52 |       12.14 |       6.26 |       6.78
  Cache L3                           |            |            |            |            |            |             |            |           
    num cache accesses               |    1365520 |    3500387 |    1776586 |    1645329 |    4054551 |    17683479 |    3143795 |    1880909
    num cache misses                 |    1239444 |    3437725 |    1683594 |    1426650 |    3414252 |      258543 |    3108803 |    1689609
    miss rate                        |     90.77% |     98.21% |     94.77% |     86.71% |     84.21% |       1.46% |     98.89% |     89.83%
    mpki                             |       2.66 |       7.48 |       6.10 |       2.82 |      10.51 |        0.18 |       6.22 |       6.76
DRAM summary                         |            |            |            |            |            |             |            |           
  num dram accesses                  |   20646414 |          0 |          0 |          0 |          0 |           0 |          0 |          0
  average dram access latency (ns)   |     172.50 |        inf |        inf |        inf |        inf |         inf |        inf |        inf
  average dram queueing delay        |      62.49 |       0.00 |       0.00 |       0.00 |       0.00 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     86.00% |      0.00% |      0.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |             |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |           0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |           0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |           0 |          0 |          0
