                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  694263992 |  337640592 |  526716218 |  720473697 |  249999884 |  819501180 |  380061896 |  450725148
  Cycles                             |  448826409 |  448826415 |  448826416 |  448826505 |  448824181 |  448826408 |  448826656 |  448826464
  IPC                                |       1.55 |       0.75 |       1.17 |       1.61 |       0.56 |       1.83 |       0.85 |       1.00
  Time (ns)                          |  149608803 |  149608805 |  149608805 |  149608835 |  149608060 |  149608803 |  149608885 |  149608821
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   89273428 |    7575721 |   42354146 |   48022013 |   13325983 |   64945171 |     489397 |   68079356
  num incorrect                      |    9556765 |     133040 |    7120761 |    8210484 |     311809 |    5306543 |       8294 |    7601853
  misprediction rate                 |      9.67% |      1.73% |     14.39% |     14.60% |      2.29% |      7.55% |      1.67% |     10.04%
  mpki                               |      13.77 |       0.39 |      13.52 |      11.40 |       1.25 |       6.48 |       0.02 |      16.87
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  106047952 |   30962391 |   77166888 |   87372167 |   24892730 |   68996418 |   43551096 |   72063082
    num misses                       |        517 |          4 |         65 |         18 |         47 |         42 |          6 |       2840
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  277164765 |  132284526 |  252491605 |  303468544 |   86640605 |  225541758 |  284248214 |  180881633
    num misses                       |      84648 |      62732 |    1412495 |    2111211 |     133106 |    1099278 |   10254699 |     971628
    miss rate                        |      0.03% |      0.05% |      0.56% |      0.70% |      0.15% |      0.49% |      3.61% |      0.54%
    mpki                             |       0.12 |       0.19 |       2.68 |       2.93 |       0.53 |       1.34 |      26.98 |       2.16
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      85165 |      62736 |    1412560 |    2111229 |     133153 |    1099320 |   10254705 |     974468
    num misses                       |       2675 |      37487 |       9075 |      16178 |      40814 |     343360 |    7376916 |     142562
    miss rate                        |      3.14% |     59.75% |      0.64% |      0.77% |     30.65% |     31.23% |     71.94% |     14.63%
    mpki                             |       0.00 |       0.11 |       0.02 |       0.02 |       0.16 |       0.42 |      19.41 |       0.32
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |  106047952 |   30962391 |   77166888 |   87372167 |   24892730 |   68996418 |   43551096 |   72063082
    num cache misses                 |    2230981 |       9630 |    2326072 |     734002 |       9114 |      68401 |      57877 |    1203565
    miss rate                        |      2.10% |      0.03% |      3.01% |      0.84% |      0.04% |      0.10% |      0.13% |      1.67%
    mpki                             |       3.21 |       0.03 |       4.42 |       1.02 |       0.04 |       0.08 |       0.15 |       2.67
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  277164765 |  132284526 |  252491605 |  303468544 |   86640605 |  225541758 |  284248214 |  180881633
    num cache misses                 |    2829634 |    3176879 |    8400456 |    1501336 |    3044583 |   11998754 |    3110383 |    1573706
    miss rate                        |      1.02% |      2.40% |      3.33% |      0.49% |      3.51% |      5.32% |      1.09% |      0.87%
    mpki                             |       4.08 |       9.41 |      15.95 |       2.08 |      12.18 |      14.64 |       8.18 |       3.49
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5097622 |    3192729 |   10733927 |    2273929 |    3511052 |   12080782 |    3170952 |    2845811
    num cache misses                 |     298198 |    2380899 |     302513 |     182969 |    2245801 |   10183631 |    2121444 |     704791
    miss rate                        |      5.85% |     74.57% |      2.82% |      8.05% |     63.96% |     84.30% |     66.90% |     24.77%
    mpki                             |       0.43 |       7.05 |       0.57 |       0.25 |       8.98 |      12.43 |       5.58 |       1.56
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     337855 |    2389789 |     310500 |     221920 |    2722754 |   10197473 |    2124177 |     774330
    num cache misses                 |     286258 |    2373966 |     295766 |     178919 |    2226099 |     371186 |    2086015 |     624824
    miss rate                        |     84.73% |     99.34% |     95.25% |     80.62% |     81.76% |      3.64% |     98.20% |     80.69%
    mpki                             |       0.41 |       7.03 |       0.56 |       0.25 |       8.90 |       0.45 |       5.49 |       1.39
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   10998463 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     146.46 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      36.45 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     73.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
