                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  502404056 |  434571715 |  249999883 |  274328646
  Cycles                             |  282154998 |  282154800 |  282152395 |  282154806
  IPC                                |       1.78 |       1.54 |       0.89 |       0.97
  Time (ns)                          |   94051666 |   94051600 |   94050799 |   94051602
Branch predictor stats               |            |            |            |           
  num correct                        |   67073986 |   18663730 |   13678195 |    6199496
  num incorrect                      |    6729005 |    1071148 |    9414386 |     926499
  misprediction rate                 |      9.12% |      5.43% |     40.77% |     13.00%
  mpki                               |      13.39 |       2.46 |      37.66 |       3.38
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   75181035 |   41807738 |   20500819 |   26542010
    num misses                       |        389 |          8 |         52 |         62
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  195577366 |  134143149 |   73920987 |  139000214
    num misses                       |      60171 |      40849 |       4511 |     319836
    miss rate                        |      0.03% |      0.03% |      0.01% |      0.23%
    mpki                             |       0.12 |       0.09 |       0.02 |       1.17
  L2 TLB                             |            |            |            |           
    num accesses                     |      60560 |      40857 |       4563 |     319898
    num misses                       |       1990 |       1188 |       4160 |       4623
    miss rate                        |      3.29% |      2.91% |     91.17% |      1.45%
    mpki                             |       0.00 |       0.00 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   75181035 |   41807738 |   20500819 |   26542010
    num cache misses                 |    1531457 |       2106 |       1908 |      12606
    miss rate                        |      2.04% |      0.01% |      0.01% |      0.05%
    mpki                             |       3.05 |       0.00 |       0.01 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  195577366 |  134143149 |   73920987 |  139000214
    num cache misses                 |    2704509 |    3613070 |     267952 |    2286252
    miss rate                        |      1.38% |      2.69% |      0.36% |      1.64%
    mpki                             |       5.38 |       8.31 |       1.07 |       8.33
  Cache L2                           |            |            |            |           
    num cache accesses               |    4241092 |    3625087 |     272345 |    2315713
    num cache misses                 |     181702 |      60317 |     260082 |     466158
    miss rate                        |      4.28% |      1.66% |     95.50% |     20.13%
    mpki                             |       0.36 |       0.14 |       1.04 |       1.70
  Cache L3                           |            |            |            |           
    num cache accesses               |     186835 |      70374 |     262626 |     483181
    num cache misses                 |      54046 |      48595 |     259326 |     140450
    miss rate                        |     28.93% |     69.05% |     98.74% |     29.07%
    mpki                             |       0.11 |       0.11 |       1.04 |       0.51
DRAM summary                         |            |            |            |           
  num dram accesses                  |     760732 |          0 |          0 |          0
  average dram access latency (ns)   |     237.51 |        inf |        inf |        inf
  average dram queueing delay        |      97.47 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     32.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
