                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  438367476 |  386407819 |  257055770 |  249999907
  Cycles                             |  247385102 |  247384929 |  247385110 |  247383172
  IPC                                |       1.77 |       1.56 |       1.04 |       1.01
  Time (ns)                          |   82461701 |   82461643 |   82461704 |   82461058
Branch predictor stats               |            |            |            |           
  num correct                        |   55182336 |   16230738 |   13854170 |    4611008
  num incorrect                      |    6087867 |     928924 |    9760426 |     704186
  misprediction rate                 |      9.94% |      5.41% |     41.33% |     13.25%
  mpki                               |      13.89 |       2.40 |      37.97 |       2.82
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   67675298 |   37516948 |   20941925 |   23785065
    num misses                       |        358 |          8 |         52 |         62
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  177374265 |  120704419 |   75799141 |  127043714
    num misses                       |      54635 |      32260 |       4540 |     281087
    miss rate                        |      0.03% |      0.03% |      0.01% |      0.22%
    mpki                             |       0.12 |       0.08 |       0.02 |       1.12
  L2 TLB                             |            |            |            |           
    num accesses                     |      54993 |      32268 |       4592 |     281149
    num misses                       |       1799 |       1045 |       4189 |       4007
    miss rate                        |      3.27% |      3.24% |     91.22% |      1.43%
    mpki                             |       0.00 |       0.00 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   67675298 |   37516948 |   20941925 |   23785065
    num cache misses                 |    1414217 |       2395 |       4049 |      11569
    miss rate                        |      2.09% |      0.01% |      0.02% |      0.05%
    mpki                             |       3.23 |       0.01 |       0.02 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  177374265 |  120704419 |   75799141 |  127043714
    num cache misses                 |    1437067 |    3265588 |     273134 |    1939361
    miss rate                        |      0.81% |      2.71% |      0.36% |      1.53%
    mpki                             |       3.28 |       8.45 |       1.06 |       7.76
  Cache L2                           |            |            |            |           
    num cache accesses               |    2859714 |    3279505 |     282605 |    1989717
    num cache misses                 |     152111 |      67138 |     265997 |     457288
    miss rate                        |      5.32% |      2.05% |     94.12% |     22.98%
    mpki                             |       0.35 |       0.17 |       1.03 |       1.83
  Cache L3                           |            |            |            |           
    num cache accesses               |     160554 |      78937 |     271483 |     496162
    num cache misses                 |      70264 |      62930 |     265474 |     231100
    miss rate                        |     43.76% |     79.72% |     97.79% |     46.58%
    mpki                             |       0.16 |       0.16 |       1.03 |       0.92
DRAM summary                         |            |            |            |           
  num dram accesses                  |     963396 |          0 |          0 |          0
  average dram access latency (ns)   |     112.89 |        inf |        inf |        inf
  average dram queueing delay        |       2.88 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     11.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
