                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  438163261 |  391855646 |  266960650 |  249999907
  Cycles                             |  258150080 |  258150097 |  258150142 |  258147376
  IPC                                |       1.70 |       1.52 |       1.03 |       0.97
  Time (ns)                          |   86050027 |   86050033 |   86050048 |   86049126
Branch predictor stats               |            |            |            |           
  num correct                        |   55157836 |   16588743 |   14101297 |    4611008
  num incorrect                      |    6084209 |     942546 |   10246126 |     704186
  misprediction rate                 |      9.93% |      5.38% |     42.08% |     13.25%
  mpki                               |      13.89 |       2.41 |      38.38 |       2.82
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   67642727 |   37982449 |   21561172 |   23785065
    num misses                       |        358 |          8 |         52 |         62
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  177290373 |  121915231 |   78435768 |  127043714
    num misses                       |      54636 |      33035 |       4541 |     281083
    miss rate                        |      0.03% |      0.03% |      0.01% |      0.22%
    mpki                             |       0.12 |       0.08 |       0.02 |       1.12
  L2 TLB                             |            |            |            |           
    num accesses                     |      54994 |      33043 |       4593 |     281145
    num misses                       |       1799 |       1067 |       4190 |       4005
    miss rate                        |      3.27% |      3.23% |     91.23% |      1.42%
    mpki                             |       0.00 |       0.00 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   67642727 |   37982449 |   21561172 |   23785065
    num cache misses                 |    1420610 |       4067 |       5415 |      12200
    miss rate                        |      2.10% |      0.01% |      0.03% |      0.05%
    mpki                             |       3.24 |       0.01 |       0.02 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  177290373 |  121915231 |   78435768 |  127043714
    num cache misses                 |    1443412 |    3288711 |     278397 |    1941998
    miss rate                        |      0.81% |      2.70% |      0.35% |      1.53%
    mpki                             |       3.29 |       8.39 |       1.04 |       7.77
  Cache L2                           |            |            |            |           
    num cache accesses               |    2877071 |    3307535 |     292358 |    2013197
    num cache misses                 |     167704 |      98895 |     271655 |     499697
    miss rate                        |      5.83% |      2.99% |     92.92% |     24.82%
    mpki                             |       0.38 |       0.25 |       1.02 |       2.00
  Cache L3                           |            |            |            |           
    num cache accesses               |     180799 |     114319 |     280311 |     558849
    num cache misses                 |     119530 |      94774 |     270942 |     292815
    miss rate                        |     66.11% |     82.90% |     96.66% |     52.40%
    mpki                             |       0.27 |       0.24 |       1.01 |       1.17
DRAM summary                         |            |            |            |           
  num dram accesses                  |    1158462 |          0 |          0 |          0
  average dram access latency (ns)   |     113.01 |        inf |        inf |        inf
  average dram queueing delay        |       3.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     13.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
