                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  439298431 |  394711053 |  249999883 |  255429396
  Cycles                             |  248387808 |  248387838 |  248385325 |  248387836
  IPC                                |       1.77 |       1.59 |       1.01 |       1.03
  Time (ns)                          |   82795936 |   82795946 |   82795109 |   82795946
Branch predictor stats               |            |            |            |           
  num correct                        |   55293619 |   16715131 |   13678195 |    5007092
  num incorrect                      |    6105098 |     951607 |    9414386 |     759949
  misprediction rate                 |      9.94% |      5.39% |     40.77% |     13.18%
  mpki                               |      13.90 |       2.41 |      37.66 |       2.98
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   67824267 |   38241802 |   20500819 |   24419716
    num misses                       |        358 |          8 |         52 |         62
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  177756971 |  122781044 |   73920987 |  129745685
    num misses                       |      54662 |      33297 |       4511 |     290837
    miss rate                        |      0.03% |      0.03% |      0.01% |      0.22%
    mpki                             |       0.12 |       0.08 |       0.02 |       1.14
  L2 TLB                             |            |            |            |           
    num accesses                     |      55020 |      33305 |       4563 |     290899
    num misses                       |       1798 |       1074 |       4160 |       4222
    miss rate                        |      3.27% |      3.22% |     91.17% |      1.45%
    mpki                             |       0.00 |       0.00 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   67824267 |   38241802 |   20500819 |   24419716
    num cache misses                 |    1419096 |       1840 |       1905 |      11707
    miss rate                        |      2.09% |      0.00% |      0.01% |      0.05%
    mpki                             |       3.23 |       0.00 |       0.01 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  177756971 |  122781044 |   73920987 |  129745685
    num cache misses                 |    1437991 |    3299752 |     267699 |    2021005
    miss rate                        |      0.81% |      2.69% |      0.36% |      1.56%
    mpki                             |       3.27 |       8.36 |       1.07 |       7.91
  Cache L2                           |            |            |            |           
    num cache accesses               |    2862003 |    3310173 |     271925 |    2050915
    num cache misses                 |     151807 |      53772 |     259911 |     446337
    miss rate                        |      5.30% |      1.62% |     95.58% |     21.76%
    mpki                             |       0.35 |       0.14 |       1.04 |       1.75
  Cache L3                           |            |            |            |           
    num cache accesses               |     156740 |      62497 |     262284 |     464628
    num cache misses                 |      61293 |      43284 |     259141 |     154278
    miss rate                        |     39.10% |     69.26% |     98.80% |     33.20%
    mpki                             |       0.14 |       0.11 |       1.04 |       0.60
DRAM summary                         |            |            |            |           
  num dram accesses                  |     789245 |          0 |          0 |          0
  average dram access latency (ns)   |     140.52 |        inf |        inf |        inf
  average dram queueing delay        |      20.50 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     19.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
