                                     | Core 0     | Core 1      | Core 2     | Core 3     | Core 4      | Core 5      | Core 6     | Core 7    
  Instructions                       |  485045415 |  1429919639 |  249999898 |  733943219 |  1093157886 |  1202738936 |  421781809 |  555957131
  Cycles                             |  907317148 |   907316703 |  907313602 |  907316719 |   907316798 |   907316700 |  907317242 |  907316733
  IPC                                |       0.53 |        1.58 |       0.28 |       0.81 |        1.20 |        1.33 |       0.46 |       0.61
  Time (ns)                          |  302439050 |   302438901 |  302437868 |  302438907 |   302438933 |   302438900 |  302439081 |  302438911
Branch predictor stats               |            |             |            |            |             |             |            |           
  num correct                        |   73077578 |    95628754 |    4856955 |   13270871 |    97540293 |    55376128 |   22439690 |   44047610
  num incorrect                      |   16225753 |    16280947 |    6669357 |    1925682 |    16355772 |      458980 |     524861 |    3594151
  misprediction rate                 |     18.17% |      14.55% |     57.86% |     12.67% |      14.36% |       0.82% |      2.29% |      7.54%
  mpki                               |      33.45 |       11.39 |      26.68 |       2.62 |       14.96 |        0.38 |       1.24 |       6.46
TLB Summary                          |            |             |            |            |             |             |            |           
  I-TLB                              |            |             |            |            |             |             |            |           
    num accesses                     |   67693771 |   173381728 |   27532058 |   69783144 |   124278827 |    92006464 |   42365300 |   46913819
    num misses                       |        171 |          18 |         14 |         67 |         448 |          43 |         47 |         42
    miss rate                        |      0.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00
  D-TLB                              |            |             |            |            |             |             |            |           
    num accesses                     |  188834903 |   602275173 |   93614435 |  375224166 |   457148516 |   692103679 |  149084857 |  153017588
    num misses                       |    1010147 |     4196408 |     661938 |     833064 |      237405 |       92931 |     228440 |     741500
    miss rate                        |      0.53% |       0.70% |      0.71% |      0.22% |       0.05% |       0.01% |      0.15% |      0.48%
    mpki                             |       2.08 |        2.93 |       2.65 |       1.14 |        0.22 |        0.08 |       0.54 |       1.33
  L2 TLB                             |            |             |            |            |             |             |            |           
    num accesses                     |    1010318 |     4196426 |     661952 |     833131 |      237853 |       92974 |     228487 |     741542
    num misses                       |     100794 |       31744 |     661946 |      10872 |        7614 |       27428 |      72237 |     232022
    miss rate                        |      9.98% |       0.76% |    100.00% |      1.30% |       3.20% |      29.50% |     31.62% |     31.29%
    mpki                             |       0.21 |        0.02 |       2.65 |       0.01 |        0.01 |        0.02 |       0.17 |       0.42
Cache Summary                        |            |             |            |            |             |             |            |           
  Cache L1-I                         |            |             |            |            |             |             |            |           
    num cache accesses               |   67693771 |   173381728 |   27532058 |   69783144 |   124278827 |    92006464 |   42365300 |   46913819
    num cache misses                 |    4026959 |     1566943 |      20099 |     132781 |     1739002 |       81666 |      43909 |      88395
    miss rate                        |      5.95% |       0.90% |      0.07% |      0.19% |       1.40% |       0.09% |      0.10% |      0.19%
    mpki                             |       8.30 |        1.10 |       0.08 |       0.18 |        1.59 |        0.07 |       0.10 |       0.16
  Cache L1-D                         |            |             |            |            |             |             |            |           
    num cache accesses               |  188834903 |   602275173 |   93614435 |  375224166 |   457148516 |   692103679 |  149084857 |  153017588
    num cache misses                 |    3872423 |     3026821 |    7295402 |    5732416 |     4064068 |     6505133 |    5281364 |    8157420
    miss rate                        |      2.05% |       0.50% |      7.79% |      1.53% |       0.89% |       0.94% |      3.54% |      5.33%
    mpki                             |       7.98 |        2.12 |      29.18 |       7.81 |        3.72 |        5.41 |      12.52 |      14.67
  Cache L2                           |            |             |            |            |             |             |            |           
    num cache accesses               |    8114382 |     4636337 |    8260392 |    6070862 |     5839054 |     6592779 |    6034829 |    8271437
    num cache misses                 |    3867701 |      704640 |    7315501 |    3100509 |     2388655 |     4552032 |    4355874 |    7651905
    miss rate                        |     47.66% |      15.20% |     88.56% |     51.07% |      40.91% |      69.05% |     72.18% |     92.51%
    mpki                             |       7.97 |        0.49 |      29.26 |       4.22 |        2.19 |        3.78 |      10.33 |      13.76
  Cache L3                           |            |             |            |            |             |             |            |           
    num cache accesses               |    4083242 |      748703 |    8260392 |    3306278 |     2426294 |     4558296 |    5081347 |    7677678
    num cache misses                 |    1320330 |      330630 |    7295411 |     890567 |      608702 |     2170137 |    3835594 |    2269135
    miss rate                        |     32.34% |      44.16% |     88.32% |     26.94% |      25.09% |      47.61% |     75.48% |     29.55%
    mpki                             |       2.72 |        0.23 |      29.18 |       1.21 |        0.56 |        1.80 |       9.09 |       4.08
DRAM summary                         |            |             |            |            |             |             |            |           
  num dram accesses                  |   26648898 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  average dram access latency (ns)   |     183.38 |         inf |        inf |        inf |         inf |         inf |        inf |        inf
  average dram queueing delay        |      73.37 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     88.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |             |            |            |             |             |            |           
  num loads from dram                |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  num loads from dram cache          |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  num loads from remote cache        |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
