                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999907 |  445791375 |  300330601 |  333391688
  Cycles                             |  334804871 |  334807429 |  334807366 |  334807489
  IPC                                |       0.75 |       1.33 |       0.90 |       1.00
  Time (ns)                          |  111601624 |  111602476 |  111602455 |  111602496
Branch predictor stats               |            |            |            |           
  num correct                        |    4611008 |   19218465 |    6682066 |   15775229
  num incorrect                      |     704186 |    1102558 |     118141 |   13488249
  misprediction rate                 |     13.25% |      5.43% |      1.74% |     46.09%
  mpki                               |       2.82 |       2.47 |       0.39 |      40.46
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   23785065 |   42810893 |   26909283 |   25729109
    num misses                       |         62 |          8 |          4 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  127043714 |  137324953 |  116522502 |   96125782
    num misses                       |     281024 |      41766 |      56339 |       4649
    miss rate                        |      0.22% |      0.03% |      0.05% |      0.00%
    mpki                             |       1.12 |       0.09 |       0.19 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |     281086 |      41774 |      56343 |       4701
    num misses                       |       4009 |       1213 |      31136 |       4245
    miss rate                        |      1.43% |      2.90% |     55.26% |     90.30%
    mpki                             |       0.02 |       0.00 |       0.10 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   23785065 |   42810893 |   26909283 |   25729109
    num cache misses                 |      17019 |      11631 |      15244 |      18762
    miss rate                        |      0.07% |      0.03% |      0.06% |      0.07%
    mpki                             |       0.07 |       0.03 |       0.05 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  127043714 |  137324953 |  116522502 |   96125782
    num cache misses                 |    1966872 |    3758442 |    2788984 |     303485
    miss rate                        |      1.55% |      2.74% |      2.39% |      0.32%
    mpki                             |       7.87 |       8.43 |       9.29 |       0.91
  Cache L2                           |            |            |            |           
    num cache accesses               |    2198065 |    3807818 |    2812243 |     353908
    num cache misses                 |     758946 |     270790 |    1997271 |     318066
    miss rate                        |     34.53% |      7.11% |     71.02% |     89.87%
    mpki                             |       3.04 |       0.61 |       6.65 |       0.95
  Cache L3                           |            |            |            |           
    num cache accesses               |     973259 |     310716 |    2008143 |     350336
    num cache misses                 |     641619 |     268810 |    1978504 |     317362
    miss rate                        |     65.92% |     86.51% |     98.52% |     90.59%
    mpki                             |       2.57 |       0.60 |       6.59 |       0.95
DRAM summary                         |            |            |            |           
  num dram accesses                  |    4315182 |          0 |          0 |          0
  average dram access latency (ns)   |     114.50 |        inf |        inf |        inf
  average dram queueing delay        |       4.49 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     38.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
