                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  290362405 |  439964475 |  249999879 |  284920654
  Cycles                             |  275597912 |  275597895 |  275595993 |  275597916
  IPC                                |       1.05 |       1.60 |       0.91 |       1.03
  Time (ns)                          |   91865971 |   91865965 |   91865331 |   91865972
Branch predictor stats               |            |            |            |           
  num correct                        |    7330972 |   18926780 |    5768210 |   14565753
  num incorrect                      |    1075162 |    1088437 |     102901 |   11111483
  misprediction rate                 |     12.79% |      5.44% |      1.75% |     43.27%
  mpki                               |       3.70 |       2.47 |       0.41 |      39.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   28378262 |   42290017 |   22339856 |   22698680
    num misses                       |         62 |          8 |          4 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  146684009 |  135682553 |   98207446 |   83222770
    num misses                       |     347143 |      41722 |      52465 |       4648
    miss rate                        |      0.24% |      0.03% |      0.05% |      0.01%
    mpki                             |       1.20 |       0.09 |       0.21 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |     347205 |      41730 |      52469 |       4700
    num misses                       |       5023 |       1198 |      27305 |       4244
    miss rate                        |      1.45% |      2.87% |     52.04% |     90.30%
    mpki                             |       0.02 |       0.00 |       0.11 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   28378262 |   42290017 |   22339856 |   22698680
    num cache misses                 |      58831 |       6595 |      33813 |       5288
    miss rate                        |      0.21% |      0.02% |      0.15% |      0.02%
    mpki                             |       0.20 |       0.01 |       0.14 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  146684009 |  135682553 |   98207446 |   83222770
    num cache misses                 |    2540087 |    3645956 |    2555234 |     277058
    miss rate                        |      1.73% |      2.69% |      2.60% |      0.33%
    mpki                             |       8.75 |       8.29 |      10.22 |       0.97
  Cache L2                           |            |            |            |           
    num cache accesses               |    2624304 |    3665419 |    2594298 |     288706
    num cache misses                 |    1228984 |      99230 |    1806274 |     269857
    miss rate                        |     46.83% |      2.71% |     69.62% |     93.47%
    mpki                             |       4.23 |       0.23 |       7.23 |       0.95
  Cache L3                           |            |            |            |           
    num cache accesses               |    1254404 |     112236 |    1813488 |     276325
    num cache misses                 |     178990 |      59973 |    1728263 |     267447
    miss rate                        |     14.27% |     53.43% |     95.30% |     96.79%
    mpki                             |       0.62 |       0.14 |       6.91 |       0.94
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2944666 |          0 |          0 |          0
  average dram access latency (ns)   |     113.88 |        inf |        inf |        inf
  average dram queueing delay        |       3.87 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     32.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
