                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  287680245 |  435875613 |  249999879 |  284324821
  Cycles                             |  274825857 |  274825834 |  274823030 |  274825855
  IPC                                |       1.05 |       1.59 |       0.91 |       1.03
  Time (ns)                          |   91608619 |   91608611 |   91607677 |   91608618
Branch predictor stats               |            |            |            |           
  num correct                        |    7124116 |   18732970 |    5768210 |   14550968
  num incorrect                      |    1048497 |    1074852 |     102901 |   11082206
  misprediction rate                 |     12.83% |      5.43% |      1.75% |     43.23%
  mpki                               |       3.64 |       2.47 |       0.41 |      38.98
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   28080738 |   41922692 |   22339856 |   22661445
    num misses                       |         62 |          8 |          4 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  145709237 |  134493637 |   98207446 |   83064241
    num misses                       |     342666 |      41066 |      52510 |       4648
    miss rate                        |      0.24% |      0.03% |      0.05% |      0.01%
    mpki                             |       1.19 |       0.09 |       0.21 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |     342728 |      41074 |      52514 |       4700
    num misses                       |       4969 |       1191 |      27305 |       4244
    miss rate                        |      1.45% |      2.90% |     52.00% |     90.30%
    mpki                             |       0.02 |       0.00 |       0.11 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   28080738 |   41922692 |   22339856 |   22661445
    num cache misses                 |      57576 |       6841 |      32556 |       4572
    miss rate                        |      0.21% |      0.02% |      0.15% |      0.02%
    mpki                             |       0.20 |       0.02 |       0.13 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  145709237 |  134493637 |   98207446 |   83064241
    num cache misses                 |    2498773 |    3626589 |    2551632 |     277250
    miss rate                        |      1.71% |      2.70% |      2.60% |      0.33%
    mpki                             |       8.69 |       8.32 |      10.21 |       0.98
  Cache L2                           |            |            |            |           
    num cache accesses               |    2582063 |    3645120 |    2585059 |     287955
    num cache misses                 |    1216724 |     107670 |    1802627 |     268884
    miss rate                        |     47.12% |      2.95% |     69.73% |     93.38%
    mpki                             |       4.23 |       0.25 |       7.21 |       0.95
  Cache L3                           |            |            |            |           
    num cache accesses               |    1242474 |     119719 |    1804003 |     275149
    num cache misses                 |     189939 |      64675 |    1635287 |     266706
    miss rate                        |     15.29% |     54.02% |     90.65% |     96.93%
    mpki                             |       0.66 |       0.15 |       6.54 |       0.94
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2869298 |          0 |          0 |          0
  average dram access latency (ns)   |     113.99 |        inf |        inf |        inf
  average dram queueing delay        |       3.98 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     31.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
