                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  253227905 |  404952712 |  249999879 |  282842394
  Cycles                             |  276944331 |  276944269 |  276941709 |  276944412
  IPC                                |       0.91 |       1.46 |       0.90 |       1.02
  Time (ns)                          |   92314777 |   92314756 |   92313903 |   92314804
Branch predictor stats               |            |            |            |           
  num correct                        |    5002331 |   17187173 |    5768210 |   14513742
  num incorrect                      |     759745 |     983921 |     102901 |   11009681
  misprediction rate                 |     13.19% |      5.41% |      1.75% |     43.14%
  mpki                               |       3.00 |       2.43 |       0.41 |      38.93
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   24218455 |   39164903 |   22339856 |   22568697
    num misses                       |         62 |          8 |          4 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  128502210 |  125805292 |   98207448 |   82669312
    num misses                       |     289766 |      34926 |      52492 |       4648
    miss rate                        |      0.23% |      0.03% |      0.05% |      0.01%
    mpki                             |       1.14 |       0.09 |       0.21 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |     289828 |      34934 |      52496 |       4700
    num misses                       |       4217 |       1095 |      27305 |       4244
    miss rate                        |      1.46% |      3.13% |     52.01% |     90.30%
    mpki                             |       0.02 |       0.00 |       0.11 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   24218455 |   39164903 |   22339856 |   22568697
    num cache misses                 |      13949 |       6021 |      14765 |       7964
    miss rate                        |      0.06% |      0.02% |      0.07% |      0.04%
    mpki                             |       0.06 |       0.01 |       0.06 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  128502210 |  125805292 |   98207448 |   82669312
    num cache misses                 |    2020721 |    3422976 |    2547473 |     287206
    miss rate                        |      1.57% |      2.72% |      2.59% |      0.35%
    mpki                             |       7.98 |       8.45 |      10.19 |       1.02
  Cache L2                           |            |            |            |           
    num cache accesses               |    2120618 |    3448549 |    2566642 |     308437
    num cache misses                 |     562353 |     138274 |    1750626 |     281732
    miss rate                        |     26.52% |      4.01% |     68.21% |     91.34%
    mpki                             |       2.22 |       0.34 |       7.00 |       1.00
  Cache L3                           |            |            |            |           
    num cache accesses               |     648520 |     158720 |    1756681 |     295499
    num cache misses                 |     351052 |     132601 |    1732500 |     281003
    miss rate                        |     54.13% |     83.54% |     98.62% |     95.09%
    mpki                             |       1.39 |       0.33 |       6.93 |       0.99
DRAM summary                         |            |            |            |           
  num dram accesses                  |    3302448 |          0 |          0 |          0
  average dram access latency (ns)   |     114.08 |        inf |        inf |        inf
  average dram queueing delay        |       4.07 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     35.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
