                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  332495905 |  506474550 |  249999879 |  306974225
  Cycles                             |  317569445 |  317569394 |  317566914 |  317569500
  IPC                                |       1.05 |       1.59 |       0.79 |       0.97
  Time (ns)                          |  105856482 |  105856465 |  105855638 |  105856500
Branch predictor stats               |            |            |            |           
  num correct                        |    8067691 |   22318374 |    5768210 |   15116124
  num incorrect                      |    1150545 |    1270414 |     102901 |   12192821
  misprediction rate                 |     12.48% |      5.39% |      1.75% |     44.65%
  mpki                               |       3.46 |       2.51 |       0.41 |      39.72
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   32195693 |   48274880 |   22339856 |   24077504
    num misses                       |         62 |          8 |          4 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  164189355 |  154146547 |   98207446 |   89093558
    num misses                       |     437229 |      49414 |      52514 |       4649
    miss rate                        |      0.27% |      0.03% |      0.05% |      0.01%
    mpki                             |       1.31 |       0.10 |       0.21 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |     437291 |      49422 |      52518 |       4701
    num misses                       |       6219 |       1439 |      27305 |       4245
    miss rate                        |      1.42% |      2.91% |     51.99% |     90.30%
    mpki                             |       0.02 |       0.00 |       0.11 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   32195693 |   48274880 |   22339856 |   24077504
    num cache misses                 |      15797 |       2325 |      14883 |       2997
    miss rate                        |      0.05% |      0.00% |      0.07% |      0.01%
    mpki                             |       0.05 |       0.00 |       0.06 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  164189355 |  154146547 |   98207446 |   89093558
    num cache misses                 |    2837950 |    4090209 |    2549149 |     272998
    miss rate                        |      1.73% |      2.65% |      2.60% |      0.31%
    mpki                             |       8.54 |       8.08 |      10.20 |       0.89
  Cache L2                           |            |            |            |           
    num cache accesses               |    2870655 |    4104965 |    2572240 |     279055
    num cache misses                 |     576681 |      72818 |    1762014 |     264583
    miss rate                        |     20.09% |      1.77% |     68.50% |     94.81%
    mpki                             |       1.73 |       0.14 |       7.05 |       0.86
  Cache L3                           |            |            |            |           
    num cache accesses               |     593759 |      85329 |    1773611 |     267907
    num cache misses                 |     156561 |      58985 |    1744586 |     264153
    miss rate                        |     26.37% |     69.13% |     98.36% |     98.60%
    mpki                             |       0.47 |       0.12 |       6.98 |       0.86
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2931716 |          0 |          0 |          0
  average dram access latency (ns)   |     146.31 |        inf |        inf |        inf
  average dram queueing delay        |      26.29 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     55.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
