                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  448250416 |  345409290 |  544451328 |  249999984
  Cycles                             |  330808961 |  330808976 |  330809232 |  330807331
  IPC                                |       1.36 |       1.04 |       1.65 |       0.76
  Time (ns)                          |  110269654 |  110269659 |  110269744 |  110269110
Branch predictor stats               |            |            |            |           
  num correct                        |   25876995 |   44425042 |   25068466 |   15199251
  num incorrect                      |    4440020 |   10492648 |     207935 |    9146162
  misprediction rate                 |     14.65% |     19.11% |      0.82% |     37.57%
  mpki                               |       9.91 |      30.38 |       0.38 |      36.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   50616975 |   48374203 |   41650547 |   29844534
    num misses                       |         56 |        113 |         43 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  209586106 |  135144520 |  313289295 |  114926447
    num misses                       |     134423 |     224390 |      41647 |     791204
    miss rate                        |      0.06% |      0.17% |      0.01% |      0.69%
    mpki                             |       0.30 |       0.65 |       0.08 |       3.16
  L2 TLB                             |            |            |            |           
    num accesses                     |     134479 |     224503 |      41690 |     791214
    num misses                       |      21035 |      37465 |      12701 |     629351
    miss rate                        |     15.64% |     16.69% |     30.47% |     79.54%
    mpki                             |       0.05 |       0.11 |       0.02 |       2.52
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   50616975 |   48374203 |   41650547 |   29844534
    num cache misses                 |     145333 |    1501854 |      36819 |      16179
    miss rate                        |      0.29% |      3.10% |      0.09% |      0.05%
    mpki                             |       0.32 |       4.35 |       0.07 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  209586106 |  135144520 |  313289295 |  114926447
    num cache misses                 |    1275581 |    1584005 |    2942481 |    1771931
    miss rate                        |      0.61% |      1.17% |      0.94% |      1.54%
    mpki                             |       2.85 |       4.59 |       5.40 |       7.09
  Cache L2                           |            |            |            |           
    num cache accesses               |    1422092 |    3158584 |    2981756 |    1921289
    num cache misses                 |     998487 |    1334281 |    2058866 |    1664050
    miss rate                        |     70.21% |     42.24% |     69.05% |     86.61%
    mpki                             |       2.23 |       3.86 |       3.78 |       6.66
  Cache L3                           |            |            |            |           
    num cache accesses               |     999804 |    1407246 |    2061436 |    1818331
    num cache misses                 |     561551 |     185749 |     945847 |     438902
    miss rate                        |     56.17% |     13.20% |     45.88% |     24.14%
    mpki                             |       1.25 |       0.54 |       1.74 |       1.76
DRAM summary                         |            |            |            |           
  num dram accesses                  |    3724149 |          0 |          0 |          0
  average dram access latency (ns)   |     115.16 |        inf |        inf |        inf
  average dram queueing delay        |       5.15 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     33.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
