                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  722760682 |  433605226 |  731727883 |  249999984
  Cycles                             |  518324966 |  518325010 |  518324868 |  518322671
  IPC                                |       1.39 |       0.84 |       1.41 |       0.48
  Time (ns)                          |  172774989 |  172775004 |  172774956 |  172774224
Branch predictor stats               |            |            |            |           
  num correct                        |   41473863 |   55029769 |   33700053 |   15199251
  num incorrect                      |    7018527 |   13207534 |     280995 |    9146162
  misprediction rate                 |     14.47% |     19.36% |      0.83% |     37.57%
  mpki                               |       9.71 |      30.46 |       0.38 |      36.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   81385049 |   60870020 |   55984774 |   29844534
    num misses                       |         56 |        116 |         43 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  338849013 |  171874741 |  421049948 |  114926447
    num misses                       |     219445 |     262174 |      56925 |     791188
    miss rate                        |      0.06% |      0.15% |      0.01% |      0.69%
    mpki                             |       0.30 |       0.60 |       0.08 |       3.16
  L2 TLB                             |            |            |            |           
    num accesses                     |     219501 |     262290 |      56968 |     791198
    num misses                       |      34448 |      45625 |      16630 |     629351
    miss rate                        |     15.69% |     17.39% |     29.19% |     79.54%
    mpki                             |       0.05 |       0.11 |       0.02 |       2.52
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   81385049 |   60870020 |   55984774 |   29844534
    num cache misses                 |     165643 |    1792801 |      38395 |      11666
    miss rate                        |      0.20% |      2.95% |      0.07% |      0.04%
    mpki                             |       0.23 |       4.13 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  338849013 |  171874741 |  421049948 |  114926447
    num cache misses                 |    2039451 |    1900599 |    3839671 |    1785600
    miss rate                        |      0.60% |      1.11% |      0.91% |      1.55%
    mpki                             |       2.82 |       4.38 |       5.25 |       7.14
  Cache L2                           |            |            |            |           
    num cache accesses               |    2207263 |    3819088 |    3883259 |    2062469
    num cache misses                 |    1247841 |     987559 |    2370718 |    1522443
    miss rate                        |     56.53% |     25.86% |     61.05% |     73.82%
    mpki                             |       1.73 |       2.28 |       3.24 |       6.09
  Cache L3                           |            |            |            |           
    num cache accesses               |    1250671 |    1116017 |    2376605 |    1827809
    num cache misses                 |     544723 |     485042 |    1259579 |     904664
    miss rate                        |     43.55% |     43.46% |     53.00% |     49.49%
    mpki                             |       0.75 |       1.12 |       1.72 |       3.62
DRAM summary                         |            |            |            |           
  num dram accesses                  |    5384062 |          0 |          0 |          0
  average dram access latency (ns)   |     157.91 |        inf |        inf |        inf
  average dram queueing delay        |      37.89 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     62.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
