                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  757104358 |  431499687 |  886070694 |  249999984
  Cycles                             |  541590720 |  541590912 |  541590900 |  541588667
  IPC                                |       1.40 |       0.80 |       1.64 |       0.46
  Time (ns)                          |  180530240 |  180530304 |  180530300 |  180529556
Branch predictor stats               |            |            |            |           
  num correct                        |   42904156 |   54765511 |   40794141 |   15199251
  num incorrect                      |    7266568 |   13143531 |     337637 |    9146162
  misprediction rate                 |     14.48% |     19.35% |      0.82% |     37.57%
  mpki                               |       9.60 |      30.46 |       0.38 |      36.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   84808526 |   60580023 |   67781062 |   29844534
    num misses                       |         56 |        116 |         43 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  356451026 |  171069336 |  509879272 |  114926447
    num misses                       |     228117 |     260810 |      68085 |     791198
    miss rate                        |      0.06% |      0.15% |      0.01% |      0.69%
    mpki                             |       0.30 |       0.60 |       0.08 |       3.16
  L2 TLB                             |            |            |            |           
    num accesses                     |     228173 |     260926 |      68128 |     791208
    num misses                       |      36356 |      45269 |      20656 |     629350
    miss rate                        |     15.93% |     17.35% |     30.32% |     79.54%
    mpki                             |       0.05 |       0.10 |       0.02 |       2.52
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   84808526 |   60580023 |   67781062 |   29844534
    num cache misses                 |     141863 |    1813090 |      29178 |      24459
    miss rate                        |      0.17% |      2.99% |      0.04% |      0.08%
    mpki                             |       0.19 |       4.20 |       0.03 |       0.10
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  356451026 |  171069336 |  509879272 |  114926447
    num cache misses                 |    2169282 |    1952907 |    4648140 |    1837319
    miss rate                        |      0.61% |      1.14% |      0.91% |      1.60%
    mpki                             |       2.87 |       4.53 |       5.25 |       7.35
  Cache L2                           |            |            |            |           
    num cache accesses               |    2318585 |    3919913 |    4685910 |    2160319
    num cache misses                 |    1122373 |     792164 |    2412140 |    1380677
    miss rate                        |     48.41% |     20.21% |     51.48% |     63.91%
    mpki                             |       1.48 |       1.84 |       2.72 |       5.52
  Cache L3                           |            |            |            |           
    num cache accesses               |    1172793 |     951509 |    2422691 |    1714953
    num cache misses                 |     763909 |     775068 |    1163962 |    1293184
    miss rate                        |     65.14% |     81.46% |     48.04% |     75.41%
    mpki                             |       1.01 |       1.80 |       1.31 |       5.17
DRAM summary                         |            |            |            |           
  num dram accesses                  |    6161667 |          0 |          0 |          0
  average dram access latency (ns)   |     114.62 |        inf |        inf |        inf
  average dram queueing delay        |       4.61 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     34.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
