                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  471792663 |  327772396 |  563230349 |  249999984
  Cycles                             |  343387200 |  343387200 |  343387143 |  343385347
  IPC                                |       1.37 |       0.95 |       1.64 |       0.73
  Time (ns)                          |  114462400 |  114462400 |  114462381 |  114461783
Branch predictor stats               |            |            |            |           
  num correct                        |   27158501 |   41967716 |   25931681 |   15199251
  num incorrect                      |    4587999 |    9982665 |     214694 |    9146162
  misprediction rate                 |     14.45% |     19.22% |      0.82% |     37.57%
  mpki                               |       9.72 |      30.46 |       0.38 |      36.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   53185919 |   45831399 |   43085936 |   29844534
    num misses                       |         56 |        112 |         43 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  220971510 |  128683196 |  324103666 |  114926447
    num misses                       |     143244 |     204579 |      43314 |     791206
    miss rate                        |      0.06% |      0.16% |      0.01% |      0.69%
    mpki                             |       0.30 |       0.62 |       0.08 |       3.16
  L2 TLB                             |            |            |            |           
    num accesses                     |     143300 |     204691 |      43357 |     791216
    num misses                       |      22480 |      35191 |      13440 |     629352
    miss rate                        |     15.69% |     17.19% |     31.00% |     79.54%
    mpki                             |       0.05 |       0.11 |       0.02 |       2.52
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   53185919 |   45831399 |   43085936 |   29844534
    num cache misses                 |      85576 |    1325887 |      20318 |       6565
    miss rate                        |      0.16% |      2.89% |      0.05% |      0.02%
    mpki                             |       0.18 |       4.05 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  220971510 |  128683196 |  324103666 |  114926447
    num cache misses                 |    1324962 |    1449227 |    2922741 |    1768543
    miss rate                        |      0.60% |      1.13% |      0.90% |      1.54%
    mpki                             |       2.81 |       4.42 |       5.19 |       7.07
  Cache L2                           |            |            |            |           
    num cache accesses               |    1413341 |    2864834 |    2947666 |    1922991
    num cache misses                 |     727683 |     440944 |    1610025 |    1158846
    miss rate                        |     51.49% |     15.39% |     54.62% |     60.26%
    mpki                             |       1.54 |       1.35 |       2.86 |       4.64
  Cache L3                           |            |            |            |           
    num cache accesses               |     737578 |     533669 |    1615218 |    1359115
    num cache misses                 |     554184 |     303517 |     945010 |     482784
    miss rate                        |     75.14% |     56.87% |     58.51% |     35.52%
    mpki                             |       1.17 |       0.93 |       1.68 |       1.93
DRAM summary                         |            |            |            |           
  num dram accesses                  |    3934067 |          0 |          0 |          0
  average dram access latency (ns)   |     115.58 |        inf |        inf |        inf
  average dram queueing delay        |       5.57 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     34.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
