                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  491919906 |  361244157 |  588106809 |  249999984
  Cycles                             |  360431203 |  360431306 |  360431174 |  360429277
  IPC                                |       1.36 |       1.00 |       1.63 |       0.69
  Time (ns)                          |  120143735 |  120143769 |  120143725 |  120143093
Branch predictor stats               |            |            |            |           
  num correct                        |   27817572 |   46524019 |   27079062 |   15199251
  num incorrect                      |    4749804 |   10989470 |     224499 |    9146162
  misprediction rate                 |     14.58% |     19.11% |      0.82% |     37.57%
  mpki                               |       9.66 |      30.42 |       0.38 |      36.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   55052970 |   50607424 |   44993247 |   29844534
    num misses                       |         56 |        113 |         43 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  231756329 |  141139013 |  338402362 |  114926447
    num misses                       |     146122 |     237121 |      45311 |     791198
    miss rate                        |      0.06% |      0.17% |      0.01% |      0.69%
    mpki                             |       0.30 |       0.66 |       0.08 |       3.16
  L2 TLB                             |            |            |            |           
    num accesses                     |     146178 |     237234 |      45354 |     791208
    num misses                       |      23150 |      39740 |      13712 |     629349
    miss rate                        |     15.84% |     16.75% |     30.23% |     79.54%
    mpki                             |       0.05 |       0.11 |       0.02 |       2.52
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   55052970 |   50607424 |   44993247 |   29844534
    num cache misses                 |     158161 |    1587702 |      39632 |      16219
    miss rate                        |      0.29% |      3.14% |      0.09% |      0.05%
    mpki                             |       0.32 |       4.40 |       0.07 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  231756329 |  141139013 |  338402362 |  114926447
    num cache misses                 |    1407802 |    1669039 |    3178586 |    1777292
    miss rate                        |      0.61% |      1.18% |      0.94% |      1.55%
    mpki                             |       2.86 |       4.62 |       5.40 |       7.11
  Cache L2                           |            |            |            |           
    num cache accesses               |    1567612 |    3344938 |    3221917 |    1969116
    num cache misses                 |    1098504 |    1427398 |    2223911 |    1667095
    miss rate                        |     70.07% |     42.67% |     69.02% |     84.66%
    mpki                             |       2.23 |       3.95 |       3.78 |       6.67
  Cache L3                           |            |            |            |           
    num cache accesses               |    1100329 |    1516015 |    2227819 |    1863825
    num cache misses                 |     580834 |     255931 |    1044971 |     548708
    miss rate                        |     52.79% |     16.88% |     46.91% |     29.44%
    mpki                             |       1.18 |       0.71 |       1.78 |       2.19
DRAM summary                         |            |            |            |           
  num dram accesses                  |    4227110 |          0 |          0 |          0
  average dram access latency (ns)   |     115.25 |        inf |        inf |        inf
  average dram queueing delay        |       5.24 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     35.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
