                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  678125729 |  466223612 |  635765701 |  249999984
  Cycles                             |  710634300 |  710635236 |  710634452 |  710631946
  IPC                                |       0.95 |       0.66 |       0.89 |       0.35
  Time (ns)                          |  236878100 |  236878412 |  236878151 |  236877315
Branch predictor stats               |            |            |            |           
  num correct                        |   38859781 |   59657324 |   29267562 |   15199251
  num incorrect                      |    6635430 |   14102176 |     241723 |    9146162
  misprediction rate                 |     14.58% |     19.12% |      0.82% |     37.57%
  mpki                               |       9.78 |      30.25 |       0.38 |      36.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   76317107 |   65417579 |   48631633 |   29844534
    num misses                       |         56 |        117 |         43 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  318128498 |  183358226 |  365844942 |  114926447
    num misses                       |     201207 |     303436 |      48645 |     791198
    miss rate                        |      0.06% |      0.17% |      0.01% |      0.69%
    mpki                             |       0.30 |       0.65 |       0.08 |       3.16
  L2 TLB                             |            |            |            |           
    num accesses                     |     201263 |     303553 |      48688 |     791208
    num misses                       |      31928 |      50504 |      15095 |     629351
    miss rate                        |     15.86% |     16.64% |     31.00% |     79.54%
    mpki                             |       0.05 |       0.11 |       0.02 |       2.52
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   76317107 |   65417579 |   48631633 |   29844534
    num cache misses                 |     349113 |    2077807 |      87864 |      60449
    miss rate                        |      0.46% |      3.18% |      0.18% |      0.20%
    mpki                             |       0.51 |       4.46 |       0.14 |       0.24
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  318128498 |  183358226 |  365844942 |  114926447
    num cache misses                 |    2186397 |    2283333 |    4047427 |    1992037
    miss rate                        |      0.69% |      1.25% |      1.11% |      1.73%
    mpki                             |       3.22 |       4.90 |       6.37 |       7.97
  Cache L2                           |            |            |            |           
    num cache accesses               |    2574987 |    4582571 |    4203097 |    2428495
    num cache misses                 |    2030280 |    1666684 |    3215863 |    1988128
    miss rate                        |     78.85% |     36.37% |     76.51% |     81.87%
    mpki                             |       2.99 |       3.57 |       5.06 |       7.95
  Cache L3                           |            |            |            |           
    num cache accesses               |    2071121 |    1891690 |    3285197 |    2373004
    num cache misses                 |    2015032 |    1378508 |    3206844 |    1980482
    miss rate                        |     97.29% |     72.87% |     97.61% |     83.46%
    mpki                             |       2.97 |       2.96 |       5.04 |       7.92
DRAM summary                         |            |            |            |           
  num dram accesses                  |   12207427 |          0 |          0 |          0
  average dram access latency (ns)   |     117.79 |        inf |        inf |        inf
  average dram queueing delay        |       7.78 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     51.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
