                                     | Core 0       | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  11495413434 |  1759224493 |   249999989 |  2307440061 |   841547663 |  7470870578 |  4437543883 |  9347697624
  Cycles                             |   6727540245 |  6727540772 |  6727450048 |  6727540215 |  6727541016 |  6727540216 |  6727540876 |  6727540714
  IPC                                |         1.71 |        0.26 |        0.04 |        0.34 |        0.13 |        1.11 |        0.66 |        1.39
  Time (ns)                          |   2242513415 |  2242513591 |  2242483350 |  2242513405 |  2242513672 |  2242513405 |  2242513625 |  2242513571
Branch predictor stats               |              |             |             |             |             |             |             |            
  num correct                        |    655149706 |    15979751 |    43244780 |   123504971 |   115803486 |   344038478 |   669492635 |   622829507
  num incorrect                      |    110799469 |      107064 |    11689069 |     2889514 |    15886642 |     2862930 |    75173613 |   106926195
  misprediction rate                 |       14.47% |       0.67% |      21.28% |       2.29% |      12.06% |       0.83% |      10.09% |      14.65%
  mpki                               |         9.64 |        0.06 |       46.76 |        1.25 |       18.88 |        0.38 |       16.94 |       11.44
TLB Summary                          |              |             |             |             |             |             |             |            
  I-TLB                              |              |             |             |             |             |             |             |            
    num accesses                     |   1290799699 |   155482947 |    23761816 |   230520322 |   147481751 |   571555928 |   710291321 |  1134251227
    num misses                       |           56 |           3 |           3 |          47 |         101 |          43 |       25723 |          18
    miss rate                        |        0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |         0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |              |             |             |             |             |             |             |            
    num accesses                     |   5401823066 |   479307675 |    88558906 |   799606414 |   392165208 |  4298985856 |  1785664373 |  3941752856
    num misses                       |      3486909 |      857274 |    21159917 |     1226601 |    15280399 |      579626 |     9855101 |    28031521
    miss rate                        |        0.06% |       0.18% |      23.89% |       0.15% |       3.90% |       0.01% |       0.55% |       0.71%
    mpki                             |         0.30 |        0.49 |       84.64 |        0.53 |       18.16 |        0.08 |        2.22 |        3.00
  L2 TLB                             |              |             |             |             |             |             |             |            
    num accesses                     |      3486965 |      857277 |    21159920 |     1226648 |    15280500 |      579669 |     9880824 |    28031539
    num misses                       |       549992 |      856631 |    10898570 |      380543 |     4588432 |      166055 |     1407433 |      214067
    miss rate                        |       15.77% |      99.92% |      51.51% |      31.02% |      30.03% |      28.65% |      14.24% |       0.76%
    mpki                             |         0.05 |        0.49 |       43.59 |        0.16 |        5.45 |        0.02 |        0.32 |        0.02
Cache Summary                        |              |             |             |             |             |             |             |            
  Cache L1-I                         |              |             |             |             |             |             |             |            
    num cache accesses               |   1290799699 |   155482947 |    23761816 |   230520322 |   147481751 |   571555928 |   710291321 |  1134251227
    num cache misses                 |      1781099 |      152544 |       46631 |       70145 |     1761555 |      236894 |    12346588 |    10068734
    miss rate                        |        0.14% |       0.10% |       0.20% |       0.03% |       1.19% |       0.04% |       1.74% |       0.89%
    mpki                             |         0.15 |        0.09 |        0.19 |        0.03 |        2.09 |        0.03 |        2.78 |        1.08
  Cache L1-D                         |              |             |             |             |             |             |             |            
    num cache accesses               |   5401823066 |   479307675 |    88558906 |   799606414 |   392165208 |  4298985856 |  1785664373 |  3941752856
    num cache misses                 |     32248900 |    90431636 |    28829965 |    28221946 |    21952661 |    38787312 |    16025120 |    19122904
    miss rate                        |        0.60% |      18.87% |      32.55% |       3.53% |       5.60% |       0.90% |       0.90% |       0.49%
    mpki                             |         2.81 |       51.40 |      115.32 |       12.23 |       26.09 |        5.19 |        3.61 |        2.05
  Cache L2                           |              |             |             |             |             |             |             |            
    num cache accesses               |     34037193 |    90587984 |    32791879 |    32295322 |    29014533 |    39088097 |    29308091 |    29551507
    num cache misses                 |     12699080 |    54977552 |    20681378 |    20916188 |    18021177 |    20130563 |     8208452 |     2870974
    miss rate                        |       37.31% |      60.69% |      63.07% |      64.77% |      62.11% |      51.50% |      28.01% |       9.72%
    mpki                             |         1.10 |       31.25 |       82.73 |        9.06 |       21.41 |        2.69 |        1.85 |        0.31
  Cache L3                           |              |             |             |             |             |             |             |            
    num cache accesses               |     12772535 |    54981356 |    24681789 |    25128436 |    23346365 |    20220927 |     9159700 |     3241686
    num cache misses                 |      1110604 |    54838725 |    20427289 |    20351204 |    17709438 |    11035133 |     8123445 |     2867325
    miss rate                        |        8.70% |      99.74% |      82.76% |      80.99% |      75.86% |      54.57% |      88.69% |      88.45%
    mpki                             |         0.10 |       31.17 |       81.71 |        8.82 |       21.04 |        1.48 |        1.83 |        0.31
DRAM summary                         |              |             |             |             |             |             |             |            
  num dram accesses                  |    210654746 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       243.70 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       133.69 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |              |             |             |             |             |             |             |            
  num loads from dram                |            0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |            0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |            0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
