                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      
  Instructions                       |  6078525950 |  1599456814 |   249999989 |  2116478188 |   866699026 |  6020016635 |  5397687105 |  10708020093
  Cycles                             |  6657846306 |  6657846388 |  6657842168 |  6657846353 |  6657846512 |  6657846047 |  6657846040 |   6657846045
  IPC                                |        0.91 |        0.24 |        0.04 |        0.32 |        0.13 |        0.90 |        0.81 |         1.61
  Time (ns)                          |  2219282102 |  2219282129 |  2219280723 |  2219282118 |  2219282171 |  2219282016 |  2219282013 |   2219282015
Branch predictor stats               |             |             |             |             |             |             |             |             
  num correct                        |   346350667 |    14516146 |    43244780 |   113122385 |   119146644 |   277223895 |   814155147 |    713567821
  num incorrect                      |    58622263 |       97228 |    11689069 |     2646709 |    16371106 |     2306926 |    91447858 |    122433209
  misprediction rate                 |      14.48% |       0.67% |      21.28% |       2.29% |      12.08% |       0.83% |      10.10% |       14.65%
  mpki                               |        9.64 |        0.06 |       46.76 |        1.25 |       18.89 |        0.38 |       16.94 |        11.43
TLB Summary                          |             |             |             |             |             |             |             |             
  I-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |   682931358 |   141361833 |    23761816 |   211196933 |   151860023 |   460557467 |   864133289 |   1299344500
    num misses                       |          56 |           3 |           3 |          47 |         105 |          43 |       31466 |           18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |         0.00
  D-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |  2856640331 |   435608846 |    88558906 |   735195704 |   403878291 |  3464116428 |  2173055157 |   4515162025
    num misses                       |     1845072 |      778379 |    21159776 |     1136817 |    15724865 |      466576 |    12053325 |     32062067
    miss rate                        |       0.06% |       0.18% |      23.89% |       0.15% |       3.89% |       0.01% |       0.55% |        0.71%
    mpki                             |        0.30 |        0.49 |       84.64 |        0.54 |       18.14 |        0.08 |        2.23 |         2.99
  L2 TLB                             |             |             |             |             |             |             |             |             
    num accesses                     |     1845128 |      778382 |    21159779 |     1136864 |    15724970 |      466619 |    12084791 |     32062085
    num misses                       |      290720 |      777792 |    10898461 |      348969 |     4713424 |      133901 |     1720962 |       245005
    miss rate                        |      15.76% |      99.92% |      51.51% |      30.70% |      29.97% |      28.70% |      14.24% |        0.76%
    mpki                             |        0.05 |        0.49 |       43.59 |        0.16 |        5.44 |        0.02 |        0.32 |         0.02
Cache Summary                        |             |             |             |             |             |             |             |             
  Cache L1-I                         |             |             |             |             |             |             |             |             
    num cache accesses               |   682931358 |   141361833 |    23761816 |   211196933 |   151860023 |   460557467 |   864133289 |   1299344500
    num cache misses                 |     1989202 |     1098461 |      190155 |      209443 |     3320978 |      417119 |    16335416 |     11430321
    miss rate                        |       0.29% |       0.78% |       0.80% |       0.10% |       2.19% |       0.09% |       1.89% |        0.88%
    mpki                             |        0.33 |        0.69 |        0.76 |        0.10 |        3.83 |        0.07 |        3.03 |         1.07
  Cache L1-D                         |             |             |             |             |             |             |             |             
    num cache accesses               |  2856640331 |   435608846 |    88558906 |   735195704 |   403878291 |  3464116428 |  2173055157 |   4515162025
    num cache misses                 |    17534601 |    82231780 |    28760617 |    26030714 |    23066343 |    32590143 |    20214565 |     21610858
    miss rate                        |       0.61% |      18.88% |      32.48% |       3.54% |       5.71% |       0.94% |       0.93% |        0.48%
    mpki                             |        2.88 |       51.41 |      115.04 |       12.30 |       26.61 |        5.41 |        3.75 |         2.02
  Cache L2                           |             |             |             |             |             |             |             |             
    num cache accesses               |    19545866 |    83330261 |    32669038 |    30078658 |    31079978 |    33062277 |    37273997 |     33224309
    num cache misses                 |    13753409 |    54238959 |    24339810 |    21189704 |    22659082 |    22832406 |    19648273 |      3829383
    miss rate                        |      70.36% |      65.09% |      74.50% |      70.45% |      72.91% |      69.06% |      52.71% |       11.53%
    mpki                             |        2.26 |       33.91 |       97.36 |       10.01 |       26.14 |        3.79 |        3.64 |         0.36
  Cache L3                           |             |             |             |             |             |             |             |             
    num cache accesses               |    13777635 |    54238979 |    28083357 |    25086047 |    27359396 |    22891263 |    20375187 |      4017052
    num cache misses                 |     8778222 |    49847805 |    17711029 |    18760093 |    15779674 |    14891776 |     6332575 |      1260713
    miss rate                        |      63.71% |      91.90% |      63.07% |      74.78% |      57.68% |      65.05% |      31.08% |       31.38%
    mpki                             |        1.44 |       31.17 |       70.84 |        8.86 |       18.21 |        2.47 |        1.17 |         0.12
DRAM summary                         |             |             |             |             |             |             |             |             
  num dram accesses                  |   209371101 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  average dram access latency (ns)   |      267.51 |         inf |         inf |         inf |         inf |         inf |         inf |          inf
  average dram queueing delay        |      157.50 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
