                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  7188864932 |  1589055196 |   249999989 |  2131347259 |   894670181 |  6986003474 |  5007107296 |  9725326573
  Cycles                             |  6375216044 |  6375216021 |  6375194462 |  6375216106 |  6375216202 |  6375215912 |  6375215939 |  6375216000
  IPC                                |        1.13 |        0.25 |        0.04 |        0.33 |        0.14 |        1.10 |        0.79 |        1.53
  Time (ns)                          |  2125072015 |  2125072007 |  2125064821 |  2125072036 |  2125072068 |  2125071971 |  2125071980 |  2125072000
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   410154350 |    14423099 |    43244780 |   114209505 |   122941268 |   321713988 |   755149616 |   647941479
  num incorrect                      |    69386282 |       96607 |    11689069 |     2671855 |    16903958 |     2677962 |    84895193 |   111202386
  misprediction rate                 |      14.47% |       0.67% |      21.28% |       2.29% |      12.09% |       0.83% |      10.11% |      14.65%
  mpki                               |        9.65 |        0.06 |       46.76 |        1.25 |       18.89 |        0.38 |       16.95 |       11.43
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   807572763 |   140442616 |    23761816 |   213012278 |   156721492 |   534465159 |   801699537 |  1180098366
    num misses                       |          56 |           3 |           3 |          47 |         105 |          43 |       29166 |          18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  3376868056 |   432794573 |    88558906 |   740636870 |   416897006 |  4019971900 |  2016793009 |  4100805430
    num misses                       |     2180915 |      773430 |    21159940 |     1139401 |    16216761 |      542460 |    11268664 |    29125269
    miss rate                        |       0.06% |       0.18% |      23.89% |       0.15% |       3.89% |       0.01% |       0.56% |       0.71%
    mpki                             |        0.30 |        0.49 |       84.64 |        0.53 |       18.13 |        0.08 |        2.25 |        2.99
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     2180971 |      773433 |    21159943 |     1139448 |    16216866 |      542503 |    11297830 |    29125287
    num misses                       |      343703 |      772848 |    10898363 |      351449 |     4849401 |      155221 |     1606864 |      222701
    miss rate                        |      15.76% |      99.92% |      51.50% |      30.84% |      29.90% |      28.61% |      14.22% |       0.76%
    mpki                             |        0.05 |        0.49 |       43.59 |        0.16 |        5.42 |        0.02 |        0.32 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   807572763 |   140442616 |    23761816 |   213012278 |   156721492 |   534465159 |   801699537 |  1180098366
    num cache misses                 |     1635387 |      451160 |      106485 |      126421 |     2373330 |      364181 |    14070334 |    10012888
    miss rate                        |       0.20% |       0.32% |       0.45% |       0.06% |       1.51% |       0.07% |       1.76% |       0.85%
    mpki                             |        0.23 |        0.28 |        0.43 |        0.06 |        2.65 |        0.05 |        2.81 |        1.03
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  3376868056 |   432794573 |    88558906 |   740636870 |   416897006 |  4019971900 |  2016793009 |  4100805430
    num cache misses                 |    20324290 |    81627888 |    28764951 |    26143308 |    23288841 |    36642214 |    18303889 |    19640557
    miss rate                        |       0.60% |      18.86% |      32.48% |       3.53% |       5.59% |       0.91% |       0.91% |       0.48%
    mpki                             |        2.83 |       51.37 |      115.06 |       12.27 |       26.03 |        5.25 |        3.66 |        2.02
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    21984286 |    82079153 |    32611778 |    30029274 |    30238911 |    37057545 |    33079120 |    29997790
    num cache misses                 |    12402519 |    49957615 |    22385503 |    19703143 |    20772615 |    22574685 |    10452218 |     1926863
    miss rate                        |      56.42% |      60.87% |      68.64% |      65.61% |      68.69% |      60.92% |      31.60% |       6.42%
    mpki                             |        1.73 |       31.44 |       89.54 |        9.24 |       23.22 |        3.23 |        2.09 |        0.20
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    12436927 |    49957720 |    26172460 |    23601277 |    25361424 |    22631090 |    11162809 |     2274854
    num cache misses                 |     6186643 |    49451376 |    17930275 |    18613627 |    15573108 |    11735165 |     6534007 |     1755503
    miss rate                        |      49.74% |      98.99% |      68.51% |      78.87% |      61.40% |      51.85% |      58.53% |      77.17%
    mpki                             |        0.86 |       31.12 |       71.72 |        8.73 |       17.41 |        1.68 |        1.30 |        0.18
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   200010240 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      254.24 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      144.23 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
