                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      
  Instructions                       |  8445178279 |  1630882784 |   249999989 |  2199557172 |   924338922 |  6327231225 |  4879886390 |  10272410483
  Cycles                             |  6526940359 |  6526940916 |  6526892305 |  6526940905 |  6526940415 |  6526940350 |  6526941002 |   6526940400
  IPC                                |        1.29 |        0.25 |        0.04 |        0.34 |        0.14 |        0.97 |        0.75 |         1.57
  Time (ns)                          |  2175646786 |  2175646972 |  2175630768 |  2175646968 |  2175646805 |  2175646783 |  2175647001 |   2175646800
Branch predictor stats               |             |             |             |             |             |             |             |             
  num correct                        |   481865138 |    14797125 |    43244780 |   117309429 |   127146276 |   291371059 |   736076608 |    684200646
  num incorrect                      |    81531528 |       99102 |    11689069 |     2744211 |    17473307 |     2423901 |    82672663 |    117490260
  misprediction rate                 |      14.47% |       0.67% |      21.28% |       2.29% |      12.08% |       0.83% |      10.10% |       14.66%
  mpki                               |        9.65 |        0.06 |       46.76 |        1.25 |       18.90 |        0.38 |       16.94 |        11.44
TLB Summary                          |             |             |             |             |             |             |             |             
  I-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |   948758147 |   144138926 |    23761816 |   219124523 |   161922732 |   484061115 |   781198759 |   1246489701
    num misses                       |          56 |           3 |           3 |          47 |         108 |          43 |       28570 |           18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |         0.00
  D-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |  3966841924 |   444109115 |    88558906 |   765390372 |   430754100 |  3640899658 |  1964893733 |   4331689591
    num misses                       |     2563042 |      793311 |    21160204 |     1163979 |    16795573 |      490762 |    10932150 |     30799742
    miss rate                        |       0.06% |       0.18% |      23.89% |       0.15% |       3.90% |       0.01% |       0.56% |        0.71%
    mpki                             |        0.30 |        0.49 |       84.64 |        0.53 |       18.17 |        0.08 |        2.24 |         3.00
  L2 TLB                             |             |             |             |             |             |             |             |             
    num accesses                     |     2563098 |      793314 |    21160207 |     1164026 |    16795681 |      490805 |    10960720 |     30799760
    num misses                       |      403820 |      792715 |    10898552 |      361426 |     5022428 |      141037 |     1561309 |       235653
    miss rate                        |      15.76% |      99.92% |      51.50% |      31.05% |      29.90% |      28.74% |      14.24% |        0.77%
    mpki                             |        0.05 |        0.49 |       43.59 |        0.16 |        5.43 |        0.02 |        0.32 |         0.02
Cache Summary                        |             |             |             |             |             |             |             |             
  Cache L1-I                         |             |             |             |             |             |             |             |             
    num cache accesses               |   948758147 |   144138926 |    23761816 |   219124523 |   161922732 |   484061115 |   781198759 |   1246489701
    num cache misses                 |     1523850 |      230383 |       56437 |       73747 |     1931116 |      234468 |    13410625 |     10436527
    miss rate                        |       0.16% |       0.16% |       0.24% |       0.03% |       1.19% |       0.05% |       1.72% |        0.84%
    mpki                             |        0.18 |        0.14 |        0.23 |        0.03 |        2.09 |        0.04 |        2.75 |         1.02
  Cache L1-D                         |             |             |             |             |             |             |             |             
    num cache accesses               |  3966841924 |   444109115 |    88558906 |   765390372 |   430754100 |  3640899658 |  1964893733 |   4331689591
    num cache misses                 |    23736617 |    83698346 |    28780273 |    26893764 |    23926402 |    32904392 |    17626493 |     20418014
    miss rate                        |       0.60% |      18.85% |      32.50% |       3.51% |       5.55% |       0.90% |       0.90% |        0.47%
    mpki                             |        2.81 |       51.32 |      115.12 |       12.23 |       25.88 |        5.20 |        3.61 |         1.99
  Cache L2                           |             |             |             |             |             |             |             |             
    num cache accesses               |    25285277 |    83931183 |    32644171 |    30829492 |    30571217 |    33215272 |    31803720 |     31158329
    num cache misses                 |    12877873 |    50989453 |    20645348 |    19776110 |    19687731 |    18165734 |     7738037 |      1531272
    miss rate                        |      50.93% |      60.75% |      63.24% |      64.15% |      64.40% |      54.69% |      24.33% |        4.91%
    mpki                             |        1.52 |       31.26 |       82.58 |        8.99 |       21.30 |        2.87 |        1.59 |         0.15
  Cache L3                           |             |             |             |             |             |             |             |             
    num cache accesses               |    12986584 |    50991907 |    24523947 |    23790741 |    24420572 |    18259686 |     8515286 |      1838317
    num cache misses                 |     4704436 |    50773787 |    18640053 |    19095253 |    15954468 |    13333123 |     6960486 |      1502057
    miss rate                        |      36.23% |      99.57% |      76.01% |      80.26% |      65.33% |      73.02% |      81.74% |       81.71%
    mpki                             |        0.56 |       31.13 |       74.56 |        8.68 |       17.26 |        2.11 |        1.43 |         0.15
DRAM summary                         |             |             |             |             |             |             |             |             
  num dram accesses                  |   204799548 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  average dram access latency (ns)   |      252.90 |         inf |         inf |         inf |         inf |         inf |         inf |          inf
  average dram queueing delay        |      142.89 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
