                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1944893675 |   954513295 |  1091441147 |   375514738 |  1665444512 |   249999973 |  1566167732 |   565657881
  Cycles                             |  1108518266 |  1108518266 |  1108518274 |  1108518265 |  1108518265 |  1108516928 |  1108518281 |  1108518270
  IPC                                |        1.75 |        0.86 |        0.98 |        0.34 |        1.50 |        0.23 |        1.41 |        0.51
  Time (ns)                          |   369506089 |   369506089 |   369506091 |   369506088 |   369506088 |   369505643 |   369506094 |   369506090
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   111321758 |   146052439 |    21920191 |     7118316 |   147286644 |    40600608 |   125996801 |    34367490
  num incorrect                      |    18879551 |    37378197 |     3264307 |     9894719 |    24614600 |     2521753 |    21178927 |    20681942
  misprediction rate                 |      14.50% |      20.38% |      12.96% |      58.16% |      14.32% |       5.85% |      14.39% |      37.57%
  mpki                               |        9.71 |       39.16 |        2.99 |       26.35 |       14.78 |       10.09 |       13.52 |       36.56
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   218787845 |   124170999 |   104368135 |    41349020 |   188833897 |    41868591 |   229487431 |    67484980
    num misses                       |          56 |          19 |          74 |          14 |         636 |           4 |          65 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   912469195 |   321200183 |   550376835 |   138366095 |   696999510 |    75636447 |   751060764 |   260317470
    num misses                       |      589566 |     1418689 |     1289843 |      990985 |      371967 |       88470 |     4190657 |     1778738
    miss rate                        |       0.06% |       0.44% |       0.23% |       0.72% |       0.05% |       0.12% |       0.56% |       0.68%
    mpki                             |        0.30 |        1.49 |        1.18 |        2.64 |        0.22 |        0.35 |        2.68 |        3.14
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      589622 |     1418708 |     1289917 |      990999 |      372603 |       88474 |     4190722 |     1778748
    num misses                       |       92760 |      297172 |       17830 |      990988 |       11758 |       88474 |       26835 |     1413852
    miss rate                        |      15.73% |      20.95% |       1.38% |     100.00% |       3.16% |     100.00% |       0.64% |      79.49%
    mpki                             |        0.05 |        0.31 |        0.02 |        2.64 |        0.01 |        0.35 |        0.02 |        2.50
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   218787845 |   124170999 |   104368135 |    41349020 |   188833897 |    41868591 |   229487431 |    67484980
    num cache misses                 |      636284 |      794280 |      196633 |       33846 |     2604140 |        8379 |     7577351 |       42592
    miss rate                        |       0.29% |       0.64% |       0.19% |       0.08% |       1.38% |       0.02% |       3.30% |       0.06%
    mpki                             |        0.33 |        0.83 |        0.18 |        0.09 |        1.56 |        0.03 |        4.84 |        0.08
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   912469195 |   321200183 |   550376835 |   138366095 |   696999510 |    75636447 |   751060764 |   260317470
    num cache misses                 |     5594035 |     1443363 |     8755101 |    10638311 |     6270325 |     5663742 |    25387480 |     4082219
    miss rate                        |       0.61% |       0.45% |       1.59% |       7.69% |       0.90% |       7.49% |       3.38% |       1.57%
    mpki                             |        2.88 |        1.51 |        8.02 |       28.33 |        3.76 |       22.65 |       16.21 |        7.22
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     6231376 |     2531212 |     9113638 |    12081987 |     8876998 |     7691821 |    32972460 |     4705346
    num cache misses                 |     4374865 |     1179167 |     4615076 |    10672157 |     3478061 |     5672121 |     5116423 |     3847781
    miss rate                        |      70.21% |      46.59% |      50.64% |      88.33% |      39.18% |      73.74% |      15.52% |      81.77%
    mpki                             |        2.25 |        1.24 |        4.23 |       28.42 |        2.09 |       22.69 |        3.27 |        6.80
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4376026 |     1479122 |     4777065 |    12081987 |     3480617 |     7691821 |     5125053 |     4477691
    num cache misses                 |      216510 |      727009 |      770325 |    10638235 |       83588 |     5662489 |      187977 |     1981282
    miss rate                        |       4.95% |      49.15% |      16.13% |      88.05% |       2.40% |      73.62% |       3.67% |      44.25%
    mpki                             |        0.11 |        0.76 |        0.71 |       28.33 |        0.05 |       22.65 |        0.12 |        3.50
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    28644587 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      146.21 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       36.20 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      77.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
