                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1005653565 |   585605232 |   644365495 |   389031260 |   806410827 |   249999973 |   633071161 |   998104686
  Cycles                             |  1521056971 |  1521057005 |  1521056871 |  1521057171 |  1521057026 |  1521053732 |  1521056874 |  1521057317
  IPC                                |        0.66 |        0.38 |        0.42 |        0.26 |        0.53 |        0.16 |        0.42 |        0.66
  Time (ns)                          |   507018991 |   507019002 |   507018957 |   507019057 |   507019009 |   507017911 |   507018958 |   507019106
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    57113214 |    89438964 |    12812278 |     7269507 |    71929048 |    40600608 |    50972994 |    60679657
  num incorrect                      |     9668984 |    23038250 |     1864043 |    10136626 |    12033175 |     2521753 |     8536567 |    36513190
  misprediction rate                 |      14.48% |      20.48% |      12.70% |      58.24% |      14.33% |       5.85% |      14.34% |      37.57%
  mpki                               |        9.61 |       39.34 |        2.89 |       26.06 |       14.92 |       10.09 |       13.48 |       36.58
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   112763380 |    76240388 |    61633364 |    42528312 |    91622081 |    41868591 |    92789882 |   119146709
    num misses                       |          56 |          19 |          66 |          14 |         353 |           4 |          65 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   473113051 |   196937326 |   326203776 |   142266829 |   337179944 |    75636447 |   303527227 |   458839983
    num misses                       |      303138 |      871557 |      784499 |     1007168 |      173306 |       88470 |     1703370 |     3158112
    miss rate                        |       0.06% |       0.44% |       0.24% |       0.71% |       0.05% |       0.12% |       0.56% |       0.69%
    mpki                             |        0.30 |        1.49 |        1.22 |        2.59 |        0.21 |        0.35 |        2.69 |        3.16
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      303194 |      871576 |      784565 |     1007182 |      173659 |       88474 |     1703435 |     3158122
    num misses                       |       48242 |      182122 |       10275 |     1007171 |        5655 |       88474 |       10577 |     2511600
    miss rate                        |      15.91% |      20.90% |       1.31% |     100.00% |       3.26% |     100.00% |       0.62% |      79.53%
    mpki                             |        0.05 |        0.31 |        0.02 |        2.59 |        0.01 |        0.35 |        0.02 |        2.52
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   112763380 |    76240388 |    61633364 |    42528312 |    91622081 |    41868591 |    92789882 |   119146709
    num cache misses                 |      844614 |     1465139 |      359012 |      156437 |     2136145 |       97130 |     3914264 |       42223
    miss rate                        |       0.75% |       1.92% |       0.58% |       0.37% |       2.33% |       0.23% |       4.22% |       0.04%
    mpki                             |        0.84 |        2.50 |        0.56 |        0.40 |        2.65 |        0.39 |        6.18 |        0.04
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   473113051 |   196937326 |   326203776 |   142266829 |   337179944 |    75636447 |   303527227 |   458839983
    num cache misses                 |     3846434 |     2116543 |     5928898 |    11014883 |     3843027 |     5899126 |    10858518 |     7060294
    miss rate                        |       0.81% |       1.07% |       1.82% |       7.74% |       1.14% |       7.80% |       3.58% |       1.54%
    mpki                             |        3.82 |        3.61 |        9.20 |       28.31 |        4.77 |       23.60 |       17.15 |        7.07
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4848224 |     3953430 |     7204107 |    12592975 |     6164357 |     8008376 |    14925404 |     7612673
    num cache misses                 |     3663011 |     2828177 |     3364290 |    11171286 |     3171893 |     5996275 |     3094673 |     5930552
    miss rate                        |      75.55% |      71.54% |      46.70% |      88.71% |      51.46% |      74.88% |      20.73% |      77.90%
    mpki                             |        3.64 |        4.83 |        5.22 |       28.72 |        3.93 |       23.99 |        4.89 |        5.94
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3821921 |     3206317 |     4281035 |    12592924 |     3375945 |     8008376 |     3253815 |     6584710
    num cache misses                 |     3091804 |     2743046 |     2917702 |    11156177 |     2860524 |     5992653 |     3012657 |     1613871
    miss rate                        |      80.90% |      85.55% |      68.15% |      88.59% |      84.73% |      74.83% |      92.59% |      24.51%
    mpki                             |        3.07 |        4.68 |        4.53 |       28.68 |        3.55 |       23.97 |        4.76 |        1.62
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    45110131 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      191.91 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       81.90 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      89.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
