                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1584970293 |   272513215 |   847062971 |   249999973
  Cycles                             |  1630915020 |  1630915047 |  1630915107 |  1630911388
  IPC                                |        0.97 |        0.17 |        0.52 |        0.15
  Time (ns)                          |   543638340 |   543638349 |   543638369 |   543637129
Branch predictor stats               |             |             |             |            
  num correct                        |    90227054 |    46613666 |    51462662 |    40600608
  num incorrect                      |    15307127 |     4175675 |    30967207 |     2521753
  misprediction rate                 |      14.50% |       8.22% |      37.57% |       5.85%
  mpki                               |        9.66 |       15.32 |       36.56 |       10.09
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   178413882 |    31774652 |   101049705 |    41868591
    num misses                       |          56 |          42 |          10 |           4
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   745020743 |    93995109 |   389799775 |    75636447
    num misses                       |      480504 |     1562888 |     2661001 |       88470
    miss rate                        |       0.06% |       1.66% |       0.68% |       0.12%
    mpki                             |        0.30 |        5.74 |        3.14 |        0.35
  L2 TLB                             |             |             |             |            
    num accesses                     |      480560 |     1562930 |     2661011 |       88474
    num misses                       |       75652 |      430106 |     2114099 |       88474
    miss rate                        |      15.74% |      27.52% |      79.45% |     100.00%
    mpki                             |        0.05 |        1.58 |        2.50 |        0.35
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   178413882 |    31774652 |   101049705 |    41868591
    num cache misses                 |      361317 |       22809 |       38868 |        3610
    miss rate                        |       0.20% |       0.07% |       0.04% |       0.01%
    mpki                             |        0.23 |        0.08 |        0.05 |        0.01
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   745020743 |    93995109 |   389799775 |    75636447
    num cache misses                 |     4479482 |    11187042 |     6056652 |     5661786
    miss rate                        |       0.60% |      11.90% |       1.55% |       7.49%
    mpki                             |        2.83 |       41.05 |        7.15 |       22.65
  Cache L2                           |             |             |             |            
    num cache accesses               |     4851089 |    12424739 |     6671416 |     7685090
    num cache misses                 |     2756818 |     9157939 |     5133719 |     5665396
    miss rate                        |      56.83% |      73.71% |      76.95% |      73.72%
    mpki                             |        1.74 |       33.61 |        6.06 |       22.66
  Cache L3                           |             |             |             |            
    num cache accesses               |     2769762 |    10373675 |     5829858 |     7685090
    num cache misses                 |     2341056 |     6691598 |     1888148 |     5660106
    miss rate                        |      84.52% |      64.51% |      32.39% |      73.65%
    mpki                             |        1.48 |       24.56 |        2.23 |       22.64
DRAM summary                         |             |             |             |            
  num dram accesses                  |    23211756 |           0 |           0 |           0
  average dram access latency (ns)   |      239.70 |         inf |         inf |         inf
  average dram queueing delay        |      119.68 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      85.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
