                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5       | Core 6      | Core 7       | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     
  Instructions                       |  2051725342 |  7140485219 |   961274921 |  6261505573 |  4266100845 |  11209677092 |  2189200198 |  16016170542 |  6406235781 |  6410896962 |  4709997474 |  3468172457 |  1295318342 |   249999989 |  7157014486 |  11554833916
  Cycles                             |  8774598150 |  8774597610 |  8774597665 |  8774597623 |  8774598203 |   8774597610 |  8774597681 |   8774597610 |  8774597614 |  8774597607 |  8774597605 |  8774598049 |  8774597610 |  8774583058 |  8774597617 |   8774597610
  IPC                                |        0.23 |        0.81 |        0.11 |        0.71 |        0.49 |         1.28 |        0.25 |         1.83 |        0.73 |        0.73 |        0.54 |        0.40 |        0.15 |        0.03 |        0.82 |         1.32
  Time (ns)                          |  2924866050 |  2924865870 |  2924865888 |  2924865874 |  2924866068 |   2924865870 |  2924865894 |   2924865870 |  2924865871 |  2924865869 |  2924865868 |  2924866016 |  2924865870 |  2924861019 |  2924865872 |   2924865870
Branch predictor stats               |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
  num correct                        |    18631025 |   407715789 |   162525562 |   806836295 |     5556644 |    992410498 |   135105480 |   2955791383 |   345887674 |   118902394 |   512142519 |   527877721 |   102677872 |    43244780 |  1094283247 |    509880585
  num incorrect                      |      124814 |    68949811 |    15042329 |   188093875 |       94168 |    165525236 |     4714935 |    201640132 |   242988271 |    18061703 |    78114473 |   113514898 |     8389592 |    11689069 |   280398735 |     28950944
  misprediction rate                 |       0.67% |      14.47% |       8.47% |      18.91% |       1.67% |       14.29% |       3.37% |        6.39% |      41.26% |      13.19% |      13.23% |      17.70% |       7.55% |      21.28% |      20.40% |        5.37%
  mpki                               |        0.06 |        9.66 |       15.65 |       30.04 |        0.02 |        14.77 |        2.15 |        12.59 |       37.93 |        2.82 |       16.58 |       32.73 |        6.48 |       46.76 |       39.18 |         2.51
TLB Summary                          |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
  I-TLB                              |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
    num accesses                     |   181334296 |   802488030 |   111503831 |   878084584 |   488667228 |   1272626247 |   208045283 |   2626249092 |   522316992 |   610200085 |   554428382 |   479000000 |   108741305 |    23761816 |   931147206 |   1100647986
    num misses                       |           3 |          56 |          42 |         370 |           6 |         3771 |          22 |           39 |          52 |         158 |          10 |         622 |          42 |           3 |          19 |            8
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00% |       0.00% |        0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
