                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |  249999909 |  731876780 |  599675233 |  1038136500
  Cycles                             |  643787219 |  643788335 |  643788396 |   643788344
  IPC                                |       0.39 |       1.14 |       0.93 |        1.61
  Time (ns)                          |  214595740 |  214596112 |  214596132 |   214596115
Branch predictor stats               |            |            |            |            
  num correct                        |    2271023 |   33706738 |   29859788 |    68842314
  num incorrect                      |      15217 |     281048 |   23701043 |    11868428
  misprediction rate                 |      0.67% |      0.83% |     44.25% |      14.70%
  mpki                               |       0.06 |       0.38 |      39.52 |       11.43
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |   22095385 |   55996123 |   47247976 |   125856775
    num misses                       |          3 |         43 |         52 |          18
    miss rate                        |      0.00% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |   68115827 |  421136034 |  174381446 |   437405320
    num misses                       |     121838 |      56883 |       9159 |     3090309
    miss rate                        |      0.18% |      0.01% |      0.01% |       0.71%
    mpki                             |       0.49 |       0.08 |       0.02 |        2.98
  L2 TLB                             |            |            |            |            
    num accesses                     |     121841 |      56926 |       9211 |     3090327
    num misses                       |     121749 |      16627 |       8270 |       23846
    miss rate                        |     99.92% |     29.21% |     89.78% |       0.77%
    mpki                             |       0.49 |       0.02 |       0.01 |        0.02
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |   22095385 |   55996123 |   47247976 |   125856775
    num cache misses                 |      16253 |      23285 |      17648 |     1074461
    miss rate                        |      0.07% |      0.04% |      0.04% |       0.85%
    mpki                             |       0.07 |       0.03 |       0.03 |        1.03
  Cache L1-D                         |            |            |            |            
    num cache accesses               |   68115827 |  421136034 |  174381446 |   437405320
    num cache misses                 |   12851858 |    3816312 |     581628 |     2053533
    miss rate                        |     18.87% |      0.91% |      0.33% |       0.47%
    mpki                             |      51.41 |       5.21 |       0.97 |        1.98
  Cache L2                           |            |            |            |            
    num cache accesses               |   12868116 |    3855254 |     630426 |     3156419
    num cache misses                 |    7807302 |    2072952 |     569037 |      220174
    miss rate                        |     60.67% |     53.77% |     90.26% |       6.98%
    mpki                             |      31.23 |       2.83 |       0.95 |        0.21
  Cache L3                           |            |            |            |            
    num cache accesses               |    7807307 |    2095802 |     600991 |      249397
    num cache misses                 |    7789279 |    2068801 |     569037 |      220174
    miss rate                        |     99.77% |     98.71% |     94.68% |      88.28%
    mpki                             |      31.16 |       2.83 |       0.95 |        0.21
DRAM summary                         |            |            |            |            
  num dram accesses                  |   18818453 |          0 |          0 |           0
  average dram access latency (ns)   |     157.83 |        inf |        inf |         inf
  average dram queueing delay        |      47.82 |       0.00 |       0.00 |        0.00
  average dram bandwidth utilization |     87.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |          0 |          0 |          0 |           0
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |          0 |          0 |          0 |           0
