                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |  249999909 |  972538159 |  565003936 |  1013999539
  Cycles                             |  606686554 |  606688250 |  606688707 |   606688500
  IPC                                |       0.41 |       1.60 |       0.93 |        1.67
  Time (ns)                          |  202228851 |  202229417 |  202229569 |   202229500
Branch predictor stats               |            |            |            |            
  num correct                        |    2271023 |   44781563 |   28994533 |    67402459
  num incorrect                      |      15217 |     372010 |   22001029 |    11588457
  misprediction rate                 |      0.67% |      0.82% |     43.14% |      14.67%
  mpki                               |       0.06 |       0.38 |      38.94 |       11.43
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |   22095385 |   74400123 |   45080280 |   122991687
    num misses                       |          3 |         43 |         52 |          18
    miss rate                        |      0.00% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |   68115827 |  559633324 |  165151780 |   427376468
    num misses                       |     121838 |      75257 |       9158 |     3024652
    miss rate                        |      0.18% |      0.01% |      0.01% |       0.71%
    mpki                             |       0.49 |       0.08 |       0.02 |        2.98
  L2 TLB                             |            |            |            |            
    num accesses                     |     121841 |      75300 |       9210 |     3024670
    num misses                       |     121749 |      22073 |       8269 |       23311
    miss rate                        |     99.92% |     29.31% |     89.78% |       0.77%
    mpki                             |       0.49 |       0.02 |       0.01 |        0.02
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |   22095385 |   74400123 |   45080280 |   122991687
    num cache misses                 |     175965 |      66726 |      28433 |     1098317
    miss rate                        |      0.80% |      0.09% |      0.06% |       0.89%
    mpki                             |       0.70 |       0.07 |       0.05 |        1.08
  Cache L1-D                         |            |            |            |            
    num cache accesses               |   68115827 |  559633324 |  165151780 |   427376468
    num cache misses                 |   12872052 |    5261541 |     584948 |     2063068
    miss rate                        |     18.90% |      0.94% |      0.35% |       0.48%
    mpki                             |      51.49 |       5.41 |       1.04 |        2.03
  Cache L2                           |            |            |            |            
    num cache accesses               |   13048790 |    5332399 |     656355 |     3183562
    num cache misses                 |    8486751 |    3685964 |     599649 |      414271
    miss rate                        |     65.04% |     69.12% |     91.36% |      13.01%
    mpki                             |      33.95 |       3.79 |       1.06 |        0.41
  Cache L3                           |            |            |            |            
    num cache accesses               |    8487524 |    3690414 |     643336 |      437000
    num cache misses                 |    7776798 |    1091083 |     596387 |      165265
    miss rate                        |     91.63% |     29.57% |     92.70% |      37.82%
    mpki                             |      31.11 |       1.12 |       1.06 |        0.16
DRAM summary                         |            |            |            |            
  num dram accesses                  |   16932916 |          0 |          0 |           0
  average dram access latency (ns)   |     146.76 |        inf |        inf |         inf
  average dram queueing delay        |      36.75 |       0.00 |       0.00 |        0.00
  average dram bandwidth utilization |     83.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |          0 |          0 |          0 |           0
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |          0 |          0 |          0 |           0
