                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999909 |  2133796365 |  1017546258 |  2314300421
  Cycles                             |  1333546644 |  1333548979 |  1333549200 |  1333549100
  IPC                                |        0.19 |        1.60 |        0.76 |        1.74
  Time (ns)                          |   444515548 |   444516326 |   444516400 |   444516367
Branch predictor stats               |             |             |             |            
  num correct                        |     2271023 |    98254874 |    55150597 |   154023412
  num incorrect                      |       15217 |      816061 |    38517873 |    26470817
  misprediction rate                 |       0.67% |       0.82% |      41.12% |      14.67%
  mpki                               |        0.06 |        0.38 |       37.85 |       11.44
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    22095385 |   163239717 |    83100216 |   280734063
    num misses                       |           3 |          43 |          52 |          18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    68115827 |  1227858651 |   300354568 |   975637910
    num misses                       |      121838 |      165181 |       18068 |     6925726
    miss rate                        |       0.18% |       0.01% |       0.01% |       0.71%
    mpki                             |        0.49 |        0.08 |        0.02 |        2.99
  L2 TLB                             |             |             |             |            
    num accesses                     |      121841 |      165224 |       18120 |     6925744
    num misses                       |      121749 |       48285 |       16262 |       52953
    miss rate                        |      99.92% |      29.22% |      89.75% |       0.76%
    mpki                             |        0.49 |        0.02 |        0.02 |        0.02
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    22095385 |   163239717 |    83100216 |   280734063
    num cache misses                 |      123738 |      109813 |       23861 |     2284617
    miss rate                        |       0.56% |       0.07% |       0.03% |       0.81%
    mpki                             |        0.49 |        0.05 |        0.02 |        0.99
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    68115827 |  1227858651 |   300354568 |   975637910
    num cache misses                 |    12881340 |    11185009 |     1090512 |     4412859
    miss rate                        |      18.91% |       0.91% |       0.36% |       0.45%
    mpki                             |       51.53 |        5.24 |        1.07 |        1.91
  Cache L2                           |             |             |             |            
    num cache accesses               |    13011347 |    11297598 |     1135284 |     6711737
    num cache misses                 |     9331964 |     6858232 |     1077772 |       98259
    miss rate                        |      71.72% |      60.71% |      94.93% |       1.46%
    mpki                             |       37.33 |        3.21 |        1.06 |        0.04
  Cache L3                           |             |             |             |            
    num cache accesses               |     9338233 |     6861116 |     1099053 |      112759
    num cache misses                 |     9228329 |      825493 |     1067134 |       81089
    miss rate                        |      98.82% |      12.03% |      97.10% |      71.91%
    mpki                             |       36.91 |        0.39 |        1.05 |        0.04
DRAM summary                         |             |             |             |            
  num dram accesses                  |    19965536 |           0 |           0 |           0
  average dram access latency (ns)   |      293.75 |         inf |         inf |         inf
  average dram queueing delay        |      173.73 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      89.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
