                                     | Core 0     | Core 1      | Core 2     | Core 3     
  Instructions                       |  249999909 |  1352380320 |  695735276 |  1269934676
  Cycles                             |  722608264 |   722610154 |  722610340 |   722610069
  IPC                                |       0.35 |        1.87 |       0.96 |        1.76
  Time (ns)                          |  240869421 |   240870051 |  240870113 |   240870023
Branch predictor stats               |            |             |            |            
  num correct                        |    2271023 |    62265863 |   32949398 |    84395481
  num incorrect                      |      15217 |      516281 |   28236442 |    14519532
  misprediction rate                 |      0.67% |       0.82% |     46.15% |      14.68%
  mpki                               |       0.06 |        0.38 |      40.59 |       11.43
TLB Summary                          |            |             |            |            
  I-TLB                              |            |             |            |            
    num accesses                     |   22095385 |   103454544 |   53091397 |   154040590
    num misses                       |          3 |          43 |         52 |          18
    miss rate                        |      0.00% |       0.00% |      0.00% |       0.00%
    mpki                             |       0.00 |        0.00 |       0.00 |        0.00
  D-TLB                              |            |             |            |            
    num accesses                     |   68115827 |   778208416 |  199914618 |   535295245
    num misses                       |     121838 |      104233 |      10218 |     3790219
    miss rate                        |      0.18% |       0.01% |      0.01% |       0.71%
    mpki                             |       0.49 |        0.08 |       0.01 |        2.98
  L2 TLB                             |            |             |            |            
    num accesses                     |     121841 |      104276 |      10270 |     3790237
    num misses                       |     121749 |       30937 |       8969 |       29189
    miss rate                        |     99.92% |      29.67% |     87.33% |       0.77%
    mpki                             |       0.49 |        0.02 |       0.01 |        0.02
Cache Summary                        |            |             |            |            
  Cache L1-I                         |            |             |            |            
    num cache accesses               |   22095385 |   103454544 |   53091397 |   154040590
    num cache misses                 |     136854 |       69026 |      17852 |     1262707
    miss rate                        |      0.62% |       0.07% |      0.03% |       0.82%
    mpki                             |       0.55 |        0.05 |       0.03 |        0.99
  Cache L1-D                         |            |             |            |            
    num cache accesses               |   68115827 |   778208416 |  199914618 |   535295245
    num cache misses                 |   12891004 |     7087838 |     615863 |     2442486
    miss rate                        |     18.93% |       0.91% |      0.31% |       0.46%
    mpki                             |      51.56 |        5.24 |       0.89 |        1.92
  Cache L2                           |            |             |            |            
    num cache accesses               |   13035002 |     7159658 |     650494 |     3718625
    num cache misses                 |    9653942 |     4352366 |     604175 |       97746
    miss rate                        |     74.06% |      60.79% |     92.88% |       2.63%
    mpki                             |      38.62 |        3.22 |       0.87 |        0.08
  Cache L3                           |            |             |            |            
    num cache accesses               |    9661086 |     4355302 |     621182 |      111420
    num cache misses                 |    9537615 |      736939 |     595801 |       85177
    miss rate                        |     98.72% |      16.92% |     95.91% |      76.45%
    mpki                             |      38.15 |        0.54 |       0.86 |        0.07
DRAM summary                         |            |             |            |            
  num dram accesses                  |   19564648 |           0 |          0 |           0
  average dram access latency (ns)   |     141.23 |         inf |        inf |         inf
  average dram queueing delay        |      31.22 |        0.00 |       0.00 |        0.00
  average dram bandwidth utilization |     81.00% |       0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |             |            |            
  num loads from dram                |          0 |           0 |          0 |           0
  num loads from dram cache          |          0 |           0 |          0 |           0
  num loads from remote cache        |          0 |           0 |          0 |           0
