                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999909 |  2173333256 |  1468582302 |  4023278237
  Cycles                             |  2969375331 |  2969376532 |  2969376952 |  2969377005
  IPC                                |        0.08 |        0.73 |        0.49 |        1.35
  Time (ns)                          |   989791777 |   989792178 |   989792318 |   989792335
Branch predictor stats               |             |             |             |            
  num correct                        |     2271023 |   100069179 |    77740983 |   267838023
  num incorrect                      |       15217 |      830279 |    56481838 |    46014865
  misprediction rate                 |       0.67% |       0.82% |      42.08% |      14.66%
  mpki                               |        0.06 |        0.38 |       38.46 |       11.44
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    22095385 |   166259043 |   117593780 |   488160117
    num misses                       |           3 |          43 |          52 |          18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    68115827 |  1250617208 |   430343407 |  1696413371
    num misses                       |      121838 |      168280 |       25809 |    12052077
    miss rate                        |       0.18% |       0.01% |       0.01% |       0.71%
    mpki                             |        0.49 |        0.08 |        0.02 |        3.00
  L2 TLB                             |             |             |             |            
    num accesses                     |      121841 |      168323 |       25861 |    12052095
    num misses                       |      121749 |       49232 |       23046 |       92333
    miss rate                        |      99.92% |      29.25% |      89.11% |       0.77%
    mpki                             |        0.49 |        0.02 |        0.02 |        0.02
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    22095385 |   166259043 |   117593780 |   488160117
    num cache misses                 |       73822 |      111083 |       23457 |     4060232
    miss rate                        |       0.33% |       0.07% |       0.02% |       0.83%
    mpki                             |        0.30 |        0.05 |        0.02 |        1.01
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    68115827 |  1250617208 |   430343407 |  1696413371
    num cache misses                 |    12863158 |    11389755 |     1552516 |     7806121
    miss rate                        |      18.88% |       0.91% |       0.36% |       0.46%
    mpki                             |       51.45 |        5.24 |        1.06 |        1.94
  Cache L2                           |             |             |             |            
    num cache accesses               |    12937746 |    11510151 |     1604858 |    11924229
    num cache misses                 |     7965528 |     6981063 |     1516116 |      428635
    miss rate                        |      61.57% |      60.65% |      94.47% |       3.59%
    mpki                             |       31.86 |        3.21 |        1.03 |        0.11
  Cache L3                           |             |             |             |            
    num cache accesses               |     7966294 |     6991010 |     1546268 |      487776
    num cache misses                 |     7886669 |     2437101 |     1513035 |      408114
    miss rate                        |      99.00% |      34.86% |      97.85% |      83.67%
    mpki                             |       31.55 |        1.12 |        1.03 |        0.10
DRAM summary                         |             |             |             |            
  num dram accesses                  |    21810980 |           0 |           0 |           0
  average dram access latency (ns)   |      763.68 |         inf |         inf |         inf
  average dram queueing delay        |      623.64 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      88.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
