                                     | Core 0     | Core 1      | Core 2     | Core 3     
  Instructions                       |  249999909 |  1054731462 |  582281872 |  1072807007
  Cycles                             |  601203465 |   601205922 |  601205700 |   601205688
  IPC                                |       0.42 |        1.75 |       0.97 |        1.78
  Time (ns)                          |  200401155 |   200401974 |  200401900 |   200401896
Branch predictor stats               |            |             |            |            
  num correct                        |    2271023 |    48567552 |   29425942 |    71332952
  num incorrect                      |      15217 |      403111 |   22848052 |    12273683
  misprediction rate                 |      0.67% |       0.82% |     43.71% |      14.68%
  mpki                               |       0.06 |        0.38 |      39.24 |       11.44
TLB Summary                          |            |             |            |            
  I-TLB                              |            |             |            |            
    num accesses                     |   22095385 |    80689595 |   46160587 |   130076457
    num misses                       |          3 |          43 |         52 |          18
    miss rate                        |      0.00% |       0.00% |      0.00% |       0.00%
    mpki                             |       0.00 |        0.00 |       0.00 |        0.00
  D-TLB                              |            |             |            |            
    num accesses                     |   68115827 |   606926999 |  169751576 |   452104583
    num misses                       |     121838 |       81276 |       9158 |     3202717
    miss rate                        |      0.18% |       0.01% |      0.01% |       0.71%
    mpki                             |       0.49 |        0.08 |       0.02 |        2.99
  L2 TLB                             |            |             |            |            
    num accesses                     |     121841 |       81319 |       9210 |     3202735
    num misses                       |     121749 |       24338 |       8269 |       24453
    miss rate                        |     99.92% |      29.93% |     89.78% |       0.76%
    mpki                             |       0.49 |        0.02 |       0.01 |        0.02
Cache Summary                        |            |             |            |            
  Cache L1-I                         |            |             |            |            
    num cache accesses               |   22095385 |    80689595 |   46160587 |   130076457
    num cache misses                 |     171737 |       72052 |       8914 |     1108178
    miss rate                        |      0.78% |       0.09% |      0.02% |       0.85%
    mpki                             |       0.69 |        0.07 |       0.02 |        1.03
  Cache L1-D                         |            |             |            |            
    num cache accesses               |   68115827 |   606926999 |  169751576 |   452104583
    num cache misses                 |   12871321 |     5702930 |     547941 |     2093686
    miss rate                        |     18.90% |       0.94% |      0.32% |       0.46%
    mpki                             |      51.49 |        5.41 |       0.94 |        1.95
  Cache L2                           |            |             |            |            
    num cache accesses               |   13043063 |     5778158 |     566406 |     3210402
    num cache misses                 |    8476026 |     3990043 |     535046 |      280014
    miss rate                        |     64.98% |      69.05% |     94.46% |       8.72%
    mpki                             |      33.90 |        3.78 |       0.92 |        0.26
  Cache L3                           |            |             |            |            
    num cache accesses               |    8476031 |     3993328 |     545033 |      288669
    num cache misses                 |    7789280 |     1013210 |     530461 |       48869
    miss rate                        |     91.90% |      25.37% |     97.33% |      16.93%
    mpki                             |      31.16 |        0.96 |       0.91 |        0.05
DRAM summary                         |            |             |            |            
  num dram accesses                  |   16588742 |           0 |          0 |           0
  average dram access latency (ns)   |     146.86 |         inf |        inf |         inf
  average dram queueing delay        |      36.85 |        0.00 |       0.00 |        0.00
  average dram bandwidth utilization |     82.00% |       0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |             |            |            
  num loads from dram                |          0 |           0 |          0 |           0
  num loads from dram cache          |          0 |           0 |          0 |           0
  num loads from remote cache        |          0 |           0 |          0 |           0
