                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |  326041167 |  790550608 |  249999888 |  1158282483
  Cycles                             |  790188093 |  790187781 |  790185923 |   790187861
  IPC                                |       0.41 |       1.00 |       0.32 |        1.47
  Time (ns)                          |  263396031 |  263395927 |  263395308 |   263395954
Branch predictor stats               |            |            |            |            
  num correct                        |    2951577 |   63585605 |   19818647 |    77470173
  num incorrect                      |      19750 |   10687166 |    1620730 |    13190367
  misprediction rate                 |      0.66% |     14.39% |      7.56% |      14.55%
  mpki                               |       0.06 |      13.52 |       6.48 |       11.39
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |   28815612 |  115832136 |   20925725 |   140427797
    num misses                       |          3 |         65 |         42 |          18
    miss rate                        |      0.00% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |   88694623 |  379032718 |   68803935 |   487884463
    num misses                       |     158061 |    2117527 |     336487 |     3412676
    miss rate                        |      0.18% |      0.56% |      0.49% |       0.70%
    mpki                             |       0.48 |       2.68 |       1.35 |        2.95
  L2 TLB                             |            |            |            |            
    num accesses                     |     158064 |    2117592 |     336529 |     3412694
    num misses                       |     157945 |      13542 |     104710 |       25744
    miss rate                        |     99.92% |      0.64% |     31.11% |       0.75%
    mpki                             |       0.48 |       0.02 |       0.42 |        0.02
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |   28815612 |  115832136 |   20925725 |   140427797
    num cache misses                 |      92562 |    3551059 |      28043 |     1294509
    miss rate                        |      0.32% |      3.07% |      0.13% |       0.92%
    mpki                             |       0.28 |       4.49 |       0.11 |        1.12
  Cache L1-D                         |            |            |            |            
    num cache accesses               |   88694623 |  379032718 |   68803935 |   487884463
    num cache misses                 |   16680770 |   12697145 |    3676212 |     2487743
    miss rate                        |     18.81% |      3.35% |      5.34% |       0.51%
    mpki                             |      51.16 |      16.06 |      14.70 |        2.15
  Cache L2                           |            |            |            |            
    num cache accesses               |   16773336 |   16285154 |    3741916 |     3841368
    num cache misses                 |   10208830 |     834942 |    3222792 |      522177
    miss rate                        |     60.86% |      5.13% |     86.13% |      13.59%
    mpki                             |      31.31 |       1.06 |      12.89 |        0.45
  Cache L3                           |            |            |            |            
    num cache accesses               |   10208834 |     878597 |    3260535 |      583450
    num cache misses                 |   10104766 |     754615 |    3143609 |      510528
    miss rate                        |     98.98% |     85.89% |     96.41% |      87.50%
    mpki                             |      30.99 |       0.95 |      12.57 |        0.44
DRAM summary                         |            |            |            |            
  num dram accesses                  |   22588385 |          0 |          0 |           0
  average dram access latency (ns)   |     147.18 |        inf |        inf |         inf
  average dram queueing delay        |      37.17 |       0.00 |       0.00 |        0.00
  average dram bandwidth utilization |     85.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |          0 |          0 |          0 |           0
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |          0 |          0 |          0 |           0
