                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999909 |  559935508 |  635026199 |  843115307
  Cycles                             |  883197806 |  883200633 |  883200535 |  883200410
  IPC                                |       0.28 |       0.63 |       0.72 |       0.95
  Time (ns)                          |  294399269 |  294400211 |  294400179 |  294400137
Branch predictor stats               |            |            |            |           
  num correct                        |    2271023 |   45074585 |   50352801 |   56154139
  num incorrect                      |      15217 |    7581750 |    4127866 |    9646883
  misprediction rate                 |      0.67% |     14.40% |      7.58% |     14.66%
  mpki                               |       0.06 |      13.54 |       6.50 |      11.44
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   22095385 |   82084555 |   53310631 |  102213263
    num misses                       |          3 |         65 |         42 |         18
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   68115827 |  268579905 |  174841291 |  355261671
    num misses                       |     121838 |    1500320 |     859609 |    2510763
    miss rate                        |      0.18% |      0.56% |      0.49% |      0.71%
    mpki                             |       0.49 |       2.68 |       1.35 |       2.98
  L2 TLB                             |            |            |            |           
    num accesses                     |     121841 |    1500385 |     859651 |    2510781
    num misses                       |     121749 |       9647 |     269244 |      19086
    miss rate                        |     99.92% |      0.64% |     31.32% |      0.76%
    mpki                             |       0.49 |       0.02 |       0.42 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   22095385 |   82084555 |   53310631 |  102213263
    num cache misses                 |     308848 |    2730293 |      55924 |    1273689
    miss rate                        |      1.40% |      3.33% |      0.10% |      1.25%
    mpki                             |       1.24 |       4.88 |       0.09 |       1.51
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   68115827 |  268579905 |  174841291 |  355261671
    num cache misses                 |   13013083 |    9227707 |    9340915 |    2457347
    miss rate                        |     19.10% |      3.44% |      5.34% |      0.69%
    mpki                             |      52.05 |      16.48 |      14.71 |       2.91
  Cache L2                           |            |            |            |           
    num cache accesses               |   13336879 |   12014820 |    9440666 |    3940761
    num cache misses                 |   10991563 |    1486042 |    7965171 |    1396072
    miss rate                        |     82.41% |     12.37% |     84.37% |     35.43%
    mpki                             |      43.97 |       2.65 |      12.54 |       1.66
  Cache L3                           |            |            |            |           
    num cache accesses               |   11006511 |    1551486 |    8010217 |    1611425
    num cache misses                 |   10983027 |    1465891 |    2074528 |    1380425
    miss rate                        |     99.79% |     94.48% |     25.90% |     85.66%
    mpki                             |      43.93 |       2.62 |       3.27 |       1.64
DRAM summary                         |            |            |            |           
  num dram accesses                  |   25352734 |          0 |          0 |          0
  average dram access latency (ns)   |     153.34 |        inf |        inf |        inf
  average dram queueing delay        |      43.33 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     86.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
