                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   819636507 |   249999981 |   415769305 |  2170769989 |  1799707992 |   996131825 |  6211750511 |  3030500856
  Cycles                             |  2945184937 |  2945182013 |  2945184773 |  2945184600 |  2945184482 |  2945184600 |  2945184585 |  2945184600
  IPC                                |        0.28 |        0.08 |        0.14 |        0.74 |        0.61 |        0.34 |        2.11 |        1.03
  Time (ns)                          |   981728313 |   981727338 |   981728258 |   981728200 |   981728161 |   981728200 |   981728195 |   981728200
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |     7436312 |    58565837 |    68665477 |   332009678 |     2349131 |    61710245 |   286053268 |   243687387
  num incorrect                      |       49802 |     6500447 |     4369673 |    85031403 |       39810 |     2116696 |     2379935 |    40946187
  misprediction rate                 |       0.67% |       9.99% |       5.98% |      20.39% |       1.67% |       3.32% |       0.83% |      14.39%
  mpki                               |        0.06 |       26.00 |       10.51 |       39.17 |        0.02 |        2.12 |        0.38 |       13.51
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    72440370 |    21135842 |    69684272 |   282438481 |   206135953 |    94593064 |   475225746 |   443929329
    num misses                       |           3 |       17441 |           4 |          19 |           6 |          22 |          43 |          65
    miss rate                        |       0.00% |       0.08% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   223193154 |    86633855 |   126897359 |   730629036 |  1346316184 |   330215202 |  3574449209 |  1452948345
    num misses                       |      398683 |     1331682 |      151011 |     3229039 |    48672500 |     2639134 |      482336 |     8105739
    miss rate                        |       0.18% |       1.54% |       0.12% |       0.44% |       3.62% |       0.80% |       0.01% |       0.56%
    mpki                             |        0.49 |        5.33 |        0.36 |        1.49 |       27.04 |        2.65 |        0.08 |        2.67
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      398686 |     1349123 |      151015 |     3229058 |    48672506 |     2639156 |      482379 |     8105804
    num misses                       |      398387 |     1140469 |      151015 |      676541 |    34759130 |      261339 |      138344 |       51712
    miss rate                        |      99.93% |      84.53% |     100.00% |      20.95% |      71.41% |       9.90% |      28.68% |       0.64%
    mpki                             |        0.49 |        4.56 |        0.36 |        0.31 |       19.31 |        0.26 |        0.02 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    72440370 |    21135842 |    69684272 |   282438481 |   206135953 |    94593064 |   475225746 |   443929329
    num cache misses                 |      570830 |      407434 |       12644 |     1856644 |      976304 |      651067 |      428922 |    15113742
    miss rate                        |       0.79% |       1.93% |       0.02% |       0.66% |       0.47% |       0.69% |       0.09% |       3.40%
    mpki                             |        0.70 |        1.63 |        0.03 |        0.86 |        0.54 |        0.65 |        0.07 |        4.99
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   223193154 |    86633855 |   126897359 |   730629036 |  1346316184 |   330215202 |  3574449209 |  1452948345
    num cache misses                 |    42118631 |     7457648 |     9668015 |     3337710 |    14846320 |    18959610 |    33596697 |    49267695
    miss rate                        |      18.87% |       8.61% |       7.62% |       0.46% |       1.10% |       5.74% |       0.94% |       3.39%
    mpki                             |       51.39 |       29.83 |       23.25 |        1.54 |        8.25 |       19.03 |        5.41 |       16.26
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    42690440 |     7885477 |    13000621 |     5862979 |    15846486 |    21075150 |    34028624 |    64458475
    num cache misses                 |    27780584 |     7537733 |     9680659 |     2818037 |    11154266 |     9495475 |    23513908 |    11403387
    miss rate                        |      65.07% |      95.59% |      74.46% |      48.06% |      70.39% |      45.06% |      69.10% |      17.69%
    mpki                             |       33.89 |       30.15 |       23.28 |        1.30 |        6.20 |        9.53 |        3.79 |        3.76
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    27781563 |     7558681 |    13000621 |     3501548 |    11178424 |    10989724 |    23517013 |    11494618
    num cache misses                 |    25498773 |     7153763 |     9664001 |     1841919 |     9883593 |     5818673 |      809291 |     1585502
    miss rate                        |      91.78% |      94.64% |      74.33% |      52.60% |      88.42% |      52.95% |       3.44% |      13.79%
    mpki                             |       31.11 |       28.62 |       23.24 |        0.85 |        5.49 |        5.84 |        0.13 |        0.52
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    91832991 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      236.68 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      126.67 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      93.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
