                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999879 |  351714137 |  492952443 |  589681595
  Cycles                             |  333245112 |  333246276 |  333246275 |  333246283
  IPC                                |       0.75 |       1.06 |       1.48 |       1.77
  Time (ns)                          |  111081704 |  111082092 |  111082092 |  111082095
Branch predictor stats               |            |            |            |           
  num correct                        |    5768210 |    8109167 |   39629873 |   77256230
  num incorrect                      |     102901 |    1153445 |    6657184 |    7909436
  misprediction rate                 |      1.75% |     12.45% |     14.38% |      9.29%
  mpki                               |       0.41 |       3.28 |      13.50 |      13.41
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   22339856 |   33951544 |   72211006 |   89149800
    num misses                       |          4 |         62 |         65 |        486
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   98207449 |  175052058 |  236323017 |  233019686
    num misses                       |      52214 |     457865 |    1318226 |      83755
    miss rate                        |      0.05% |      0.26% |      0.56% |      0.04%
    mpki                             |       0.21 |       1.30 |       2.67 |       0.14
  L2 TLB                             |            |            |            |           
    num accesses                     |      52218 |     457927 |    1318291 |      84241
    num misses                       |      27297 |       6278 |       8511 |       2455
    miss rate                        |     52.28% |      1.37% |      0.65% |      2.91%
    mpki                             |       0.11 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   22339856 |   33951544 |   72211006 |   89149800
    num cache misses                 |      82995 |      68609 |    2384880 |    1823089
    miss rate                        |      0.37% |      0.20% |      3.30% |      2.04%
    mpki                             |       0.33 |       0.20 |       4.84 |       3.09
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   98207449 |  175052058 |  236323017 |  233019686
    num cache misses                 |    2774341 |    2968767 |    7941614 |    2770229
    miss rate                        |      2.82% |      1.70% |      3.36% |      1.19%
    mpki                             |      11.10 |       8.44 |      16.11 |       4.70
  Cache L2                           |            |            |            |           
    num cache accesses               |    2902045 |    3060419 |   10327755 |    4608816
    num cache misses                 |    2253801 |    1474411 |    1558751 |     299407
    miss rate                        |     77.66% |     48.18% |     15.09% |      6.50%
    mpki                             |       9.02 |       4.19 |       3.16 |       0.51
  Cache L3                           |            |            |            |           
    num cache accesses               |    2312003 |    1497626 |    1560200 |     314914
    num cache misses                 |    2185848 |     205920 |      24892 |     130537
    miss rate                        |     94.54% |     13.75% |      1.60% |     41.45%
    mpki                             |       8.74 |       0.59 |       0.05 |       0.22
DRAM summary                         |            |            |            |           
  num dram accesses                  |    3224292 |          0 |          0 |          0
  average dram access latency (ns)   |     112.67 |        inf |        inf |        inf
  average dram queueing delay        |       2.66 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     29.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
