                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999879 |  280493055 |  397879242 |  485795001
  Cycles                             |  277082647 |  277084500 |  277084500 |  277084504
  IPC                                |       0.90 |       1.01 |       1.44 |       1.75
  Time (ns)                          |   92360883 |   92361500 |   92361500 |   92361502
Branch predictor stats               |            |            |            |           
  num correct                        |    5768210 |    6618698 |   32075174 |   63218912
  num incorrect                      |     102901 |     982575 |    5360438 |    6687288
  misprediction rate                 |      1.75% |     12.93% |     14.32% |      9.57%
  mpki                               |       0.41 |       3.50 |      13.47 |      13.77
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   22339856 |   27249825 |   58356260 |   73615423
    num misses                       |          4 |         62 |         65 |        371
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   98207446 |  142102397 |  190771293 |  192492891
    num misses                       |      52495 |     329932 |    1076857 |      57495
    miss rate                        |      0.05% |      0.23% |      0.56% |      0.03%
    mpki                             |       0.21 |       1.18 |       2.71 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |      52499 |     329994 |    1076922 |      57866
    num misses                       |      27305 |       4756 |       6498 |       1879
    miss rate                        |     52.01% |      1.44% |      0.60% |      3.25%
    mpki                             |       0.11 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   22339856 |   27249825 |   58356260 |   73615423
    num cache misses                 |       9092 |       5490 |    1744820 |    1531664
    miss rate                        |      0.04% |      0.02% |      2.99% |      2.08%
    mpki                             |       0.04 |       0.02 |       4.39 |       3.15
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   98207446 |  142102397 |  190771293 |  192492891
    num cache misses                 |    2545589 |    2381116 |    6303520 |    1975960
    miss rate                        |      2.59% |      1.68% |      3.30% |      1.03%
    mpki                             |      10.18 |       8.49 |      15.84 |       4.07
  Cache L2                           |            |            |            |           
    num cache accesses               |    2557300 |    2425801 |    8050643 |    3519985
    num cache misses                 |    1741320 |     340462 |      55213 |     118564
    miss rate                        |     68.09% |     14.04% |      0.69% |      3.37%
    mpki                             |       6.97 |       1.21 |       0.14 |       0.24
  Cache L3                           |            |            |            |           
    num cache accesses               |    1744775 |     381065 |      58001 |     131733
    num cache misses                 |    1656838 |     219369 |      54208 |      95523
    miss rate                        |     94.96% |     57.57% |     93.46% |     72.51%
    mpki                             |       6.63 |       0.78 |       0.14 |       0.20
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2589577 |          0 |          0 |          0
  average dram access latency (ns)   |     112.36 |        inf |        inf |        inf
  average dram queueing delay        |       2.35 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     28.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
