                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999973 |   882429102 |   375412665 |   504308382
  Cycles                             |  1233219723 |  1233223722 |  1233223291 |  1233223512
  IPC                                |        0.20 |        0.72 |        0.30 |        0.41
  Time (ns)                          |   411073241 |   411074574 |   411074431 |   411074504
Branch predictor stats               |             |             |             |            
  num correct                        |    40600608 |     1156103 |     7117173 |    31251601
  num incorrect                      |     2521753 |       19592 |     9892893 |     1064318
  misprediction rate                 |       5.85% |       1.67% |      58.16% |       3.29%
  mpki                               |       10.09 |        0.02 |       26.35 |        2.11
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    41868591 |   101059773 |    41340113 |    47880537
    num misses                       |           4 |           6 |          14 |          22
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    75636447 |   660165564 |   138336634 |   166989692
    num misses                       |       88470 |    24000356 |      990863 |     1338266
    miss rate                        |       0.12% |       3.64% |       0.72% |       0.80%
    mpki                             |        0.35 |       27.20 |        2.64 |        2.65
  L2 TLB                             |             |             |             |            
    num accesses                     |       88474 |    24000362 |      990877 |     1338288
    num misses                       |       88474 |    17200706 |      990866 |      132193
    miss rate                        |     100.00% |      71.67% |     100.00% |       9.88%
    mpki                             |        0.35 |       19.49 |        2.64 |        0.26
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    41868591 |   101059773 |    41340113 |    47880537
    num cache misses                 |        8729 |      365211 |       21899 |      227771
    miss rate                        |       0.02% |       0.36% |       0.05% |       0.48%
    mpki                             |        0.03 |        0.41 |        0.06 |        0.45
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    75636447 |   660165564 |   138336634 |   166989692
    num cache misses                 |     5662390 |     7284447 |    10637372 |     9645193
    miss rate                        |       7.49% |       1.10% |       7.69% |       5.78%
    mpki                             |       22.65 |        8.25 |       28.34 |       19.13
  Cache L2                           |             |             |             |            
    num cache accesses               |     7690838 |     7684750 |    12069988 |    10726322
    num cache misses                 |     5671119 |     5473145 |    10659190 |     3802630
    miss rate                        |      73.74% |      71.22% |      88.31% |      35.45%
    mpki                             |       22.68 |        6.20 |       28.39 |        7.54
  Cache L3                           |             |             |             |            
    num cache accesses               |     7690838 |     5508361 |    12069907 |     4696085
    num cache misses                 |     5668831 |     5304734 |    10646733 |     3644416
    miss rate                        |      73.71% |      96.30% |      88.21% |      77.61%
    mpki                             |       22.68 |        6.01 |       28.36 |        7.23
DRAM summary                         |             |             |             |            
  num dram accesses                  |    34676228 |           0 |           0 |           0
  average dram access latency (ns)   |      170.78 |         inf |         inf |         inf
  average dram queueing delay        |       60.77 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      84.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
