                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999973 |   906416979 |   359991840 |   564699497
  Cycles                             |  1210939456 |  1210944063 |  1210944389 |  1210944118
  IPC                                |        0.21 |        0.75 |        0.30 |        0.47
  Time (ns)                          |   403646485 |   403648021 |   403648130 |   403648039
Branch predictor stats               |             |             |             |            
  num correct                        |    40600608 |     1185779 |     6945520 |    34806273
  num incorrect                      |     2521753 |       20096 |     9618247 |     1123270
  misprediction rate                 |       5.85% |       1.67% |      58.07% |       3.13%
  mpki                               |       10.09 |        0.02 |       26.72 |        1.99
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    41868591 |   103812038 |    40001224 |    53702728
    num misses                       |           4 |           6 |          14 |          22
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    75636447 |   678094031 |   133832868 |   186389304
    num misses                       |       88470 |    24614417 |      959919 |     1598913
    miss rate                        |       0.12% |       3.63% |       0.72% |       0.86%
    mpki                             |        0.35 |       27.16 |        2.67 |        2.83
  L2 TLB                             |             |             |             |            
    num accesses                     |       88474 |    24614423 |      959933 |     1598935
    num misses                       |       88474 |    17670841 |      959922 |      145202
    miss rate                        |     100.00% |      71.79% |     100.00% |       9.08%
    mpki                             |        0.35 |       19.50 |        2.67 |        0.26
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    41868591 |   103812038 |    40001224 |    53702728
    num cache misses                 |        7733 |      440807 |       38661 |      378304
    miss rate                        |       0.02% |       0.42% |       0.10% |       0.70%
    mpki                             |        0.03 |        0.49 |        0.11 |        0.67
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    75636447 |   678094031 |   133832868 |   186389304
    num cache misses                 |     5666014 |     7477785 |    10355780 |    11298466
    miss rate                        |       7.49% |       1.10% |       7.74% |       6.06%
    mpki                             |       22.66 |        8.25 |       28.77 |       20.01
  Cache L2                           |             |             |             |            
    num cache accesses               |     7692911 |     7919402 |    11805412 |    12493458
    num cache misses                 |     5673747 |     5557606 |    10394441 |     5485016
    miss rate                        |      73.75% |      70.18% |      88.05% |      43.90%
    mpki                             |       22.69 |        6.13 |       28.87 |        9.71
  Cache L3                           |             |             |             |            
    num cache accesses               |     7692911 |     5558537 |    11805412 |     6308803
    num cache misses                 |     5663466 |     4659364 |    10362199 |     3066970
    miss rate                        |      73.62% |      83.82% |      87.77% |      48.61%
    mpki                             |       22.65 |        5.14 |       28.78 |        5.43
DRAM summary                         |             |             |             |            
  num dram accesses                  |    32886018 |           0 |           0 |           0
  average dram access latency (ns)   |      176.92 |         inf |         inf |         inf
  average dram queueing delay        |       66.91 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      81.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
