                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999973 |   829054401 |   375665309 |   474980759
  Cycles                             |  1637272984 |  1637275945 |  1637275695 |  1637275814
  IPC                                |        0.15 |        0.51 |        0.23 |        0.29
  Time (ns)                          |   545757662 |   545758649 |   545758565 |   545758605
Branch predictor stats               |             |             |             |            
  num correct                        |    40600608 |   125874996 |     7120000 |     4283954
  num incorrect                      |     2521753 |    27262641 |     9897414 |       28632
  misprediction rate                 |       5.85% |      17.80% |      58.16% |       0.66%
  mpki                               |       10.09 |       32.88 |       26.35 |        0.06
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    41868591 |   114666587 |    41362155 |    41977852
    num misses                       |           4 |         216 |          14 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    75636447 |   322062438 |   138409543 |   128992020
    num misses                       |       88470 |     1713587 |      991166 |      228908
    miss rate                        |       0.12% |       0.53% |       0.72% |       0.18%
    mpki                             |        0.35 |        2.07 |        2.64 |        0.48
  L2 TLB                             |             |             |             |            
    num accesses                     |       88474 |     1713803 |      991180 |      228911
    num misses                       |       88474 |      158487 |      991169 |      228733
    miss rate                        |     100.00% |       9.25% |     100.00% |      99.92%
    mpki                             |        0.35 |        0.19 |        2.64 |        0.48
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    41868591 |   114666587 |    41362155 |    41977852
    num cache misses                 |        7090 |     6778129 |       33446 |      325867
    miss rate                        |       0.02% |       5.91% |       0.08% |       0.78%
    mpki                             |        0.03 |        8.18 |        0.09 |        0.69
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    75636447 |   322062438 |   138409543 |   128992020
    num cache misses                 |     5663674 |     7183453 |    10641231 |    24185293
    miss rate                        |       7.49% |       2.23% |       7.69% |      18.75%
    mpki                             |       22.65 |        8.66 |       28.33 |       50.92
  Cache L2                           |             |             |             |            
    num cache accesses               |     7690458 |    14306519 |    12084540 |    24511164
    num cache misses                 |     5670764 |     7098215 |    10674677 |    15931098
    miss rate                        |      73.74% |      49.62% |      88.33% |      65.00%
    mpki                             |       22.68 |        8.56 |       28.42 |       33.54
  Cache L3                           |             |             |             |            
    num cache accesses               |     7690458 |     7443675 |    12084540 |    15931102
    num cache misses                 |     5660106 |     1953507 |    10639699 |    14621742
    miss rate                        |      73.60% |      26.24% |      88.04% |      91.78%
    mpki                             |       22.64 |        2.36 |       28.32 |       30.78
DRAM summary                         |             |             |             |            
  num dram accesses                  |    50927310 |           0 |           0 |           0
  average dram access latency (ns)   |      221.68 |         inf |         inf |         inf
  average dram queueing delay        |      111.67 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      93.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
