                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999973 |   723018153 |   372259490 |   463288921
  Cycles                             |  1646526071 |  1646529385 |  1646529798 |  1646529300
  IPC                                |        0.15 |        0.44 |        0.23 |        0.28
  Time (ns)                          |   548842024 |   548843128 |   548843266 |   548843100
Branch predictor stats               |             |             |             |            
  num correct                        |    40600608 |   108728195 |     7081904 |     4179220
  num incorrect                      |     2521753 |    24284820 |     9836461 |       27936
  misprediction rate                 |       5.85% |      18.26% |      58.14% |       0.66%
  mpki                               |       10.09 |       33.59 |       26.42 |        0.06
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    41868591 |   101088768 |    41065009 |    40944502
    num misses                       |           4 |         205 |          14 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    75636447 |   281455395 |   137426672 |   125826416
    num misses                       |       88470 |     1501365 |      987088 |      223333
    miss rate                        |       0.12% |       0.53% |       0.72% |       0.18%
    mpki                             |        0.35 |        2.08 |        2.65 |        0.48
  L2 TLB                             |             |             |             |            
    num accesses                     |       88474 |     1501570 |      987102 |      223336
    num misses                       |       88474 |      142626 |      987091 |      223164
    miss rate                        |     100.00% |       9.50% |     100.00% |      99.92%
    mpki                             |        0.35 |        0.20 |        2.65 |        0.48
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    41868591 |   101088768 |    41065009 |    40944502
    num cache misses                 |       11217 |     5975796 |       33050 |       75474
    miss rate                        |       0.03% |       5.91% |       0.08% |       0.18%
    mpki                             |        0.04 |        8.27 |        0.09 |        0.16
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    75636447 |   281455395 |   137426672 |   125826416
    num cache misses                 |     5666752 |     5392517 |    10602039 |    23571962
    miss rate                        |       7.49% |       1.92% |       7.71% |      18.73%
    mpki                             |       22.67 |        7.46 |       28.48 |       50.88
  Cache L2                           |             |             |             |            
    num cache accesses               |     7695728 |    11688742 |    12051225 |    23647446
    num cache misses                 |     5677971 |     4243456 |    10635056 |    14701588
    miss rate                        |      73.78% |      36.30% |      88.25% |      62.17%
    mpki                             |       22.71 |        5.87 |       28.57 |       31.73
  Cache L3                           |             |             |             |            
    num cache accesses               |     7695728 |     4566628 |    12051191 |    14701598
    num cache misses                 |     5677096 |     2125327 |    10627759 |    14636483
    miss rate                        |      73.77% |      46.54% |      88.19% |      99.56%
    mpki                             |       22.71 |        2.94 |       28.55 |       31.59
DRAM summary                         |             |             |             |            
  num dram accesses                  |    51212424 |           0 |           0 |           0
  average dram access latency (ns)   |      221.01 |         inf |         inf |         inf
  average dram queueing delay        |      111.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      93.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
