                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   375659013 |  1136911831 |   249999981 |   895012603
  Cycles                             |  1644941816 |  1644941713 |  1644939540 |  1644941648
  IPC                                |        0.23 |        0.69 |        0.15 |        0.54
  Time (ns)                          |   548313939 |   548313904 |   548313180 |   548313883
Branch predictor stats               |             |             |             |            
  num correct                        |    61725583 |   172451869 |    58565837 |    27828919
  num incorrect                      |     4071087 |    37497847 |     6500447 |    13293802
  misprediction rate                 |       6.19% |      17.86% |       9.99% |      32.33%
  mpki                               |       10.84 |       32.98 |       26.00 |       14.85
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    62445786 |   157170423 |    21135842 |    69595070
    num misses                       |           4 |         258 |       17441 |           3
    miss rate                        |       0.00% |       0.00% |       0.08% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.07 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   115890312 |   441597324 |    86633855 |   401000615
    num misses                       |      136871 |     2343825 |     1331682 |      406213
    miss rate                        |       0.12% |       0.53% |       1.54% |       0.10%
    mpki                             |        0.36 |        2.06 |        5.33 |        0.45
  L2 TLB                             |             |             |             |            
    num accesses                     |      136875 |     2344083 |     1349123 |      406216
    num misses                       |      136875 |      213137 |     1140463 |      273527
    miss rate                        |     100.00% |       9.09% |      84.53% |      67.34%
    mpki                             |        0.36 |        0.19 |        4.56 |        0.31
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    62445786 |   157170423 |    21135842 |    69595070
    num cache misses                 |       12069 |     9318167 |      409210 |      110894
    miss rate                        |       0.02% |       5.93% |       1.94% |       0.16%
    mpki                             |        0.03 |        8.20 |        1.64 |        0.12
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   115890312 |   441597324 |    86633855 |   401000615
    num cache misses                 |     8767101 |     9672144 |     7456769 |    19936491
    miss rate                        |       7.56% |       2.19% |       8.61% |       4.97%
    mpki                             |       23.34 |        8.51 |       29.83 |       22.28
  Cache L2                           |             |             |             |            
    num cache accesses               |    11969358 |    19400127 |     7880551 |    21241899
    num cache misses                 |     8779170 |     9511903 |     7539207 |    17809982
    miss rate                        |      73.35% |      49.03% |      95.67% |      83.84%
    mpki                             |       23.37 |        8.37 |       30.16 |       19.90
  Cache L3                           |             |             |             |            
    num cache accesses               |    11969358 |     9922656 |     7554160 |    19004496
    num cache misses                 |     8764461 |     2333853 |     6786778 |    17593017
    miss rate                        |      73.22% |      23.52% |      89.84% |      92.57%
    mpki                             |       23.33 |        2.05 |       27.15 |       19.66
DRAM summary                         |             |             |             |            
  num dram accesses                  |    40947723 |           0 |           0 |           0
  average dram access latency (ns)   |      131.98 |         inf |         inf |         inf
  average dram queueing delay        |       21.97 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      74.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
