                                     | Core 0     | Core 1      | Core 2      | Core 3     
  Instructions                       |  249999973 |  1298429774 |  1776875145 |  1608710855
  Cycles                             |  923746232 |   923747738 |   923747773 |   923747754
  IPC                                |       0.27 |        1.41 |        1.92 |        1.74
  Time (ns)                          |  307915411 |   307915913 |   307915924 |   307915918
Branch predictor stats               |            |             |             |            
  num correct                        |   40600608 |    73456835 |   327924414 |   107228269
  num incorrect                      |    2521753 |    12419551 |    22371404 |    18407143
  misprediction rate                 |      5.85% |      14.46% |       6.39% |      14.65%
  mpki                               |      10.09 |        9.57 |       12.59 |       11.44
TLB Summary                          |            |             |             |            
  I-TLB                              |            |             |             |            
    num accesses                     |   41868591 |   145329950 |   291365302 |   195116968
    num misses                       |          4 |          56 |          39 |          18
    miss rate                        |      0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |       0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |            |             |             |            
    num accesses                     |   75636447 |   611613505 |   579088220 |   678117140
    num misses                       |      88470 |      395445 |          23 |     4806441
    miss rate                        |      0.12% |       0.06% |       0.00% |       0.71%
    mpki                             |       0.35 |        0.30 |        0.00 |        2.99
  L2 TLB                             |            |             |             |            
    num accesses                     |      88474 |      395501 |          62 |     4806459
    num misses                       |      88474 |       62350 |          62 |       36477
    miss rate                        |    100.00% |      15.76% |     100.00% |       0.76%
    mpki                             |       0.35 |        0.05 |        0.00 |        0.02
Cache Summary                        |            |             |             |            
  Cache L1-I                         |            |             |             |            
    num cache accesses               |   41868591 |   145329950 |   291365302 |   195116968
    num cache misses                 |       1836 |      232642 |     2756290 |     1628065
    miss rate                        |      0.00% |       0.16% |       0.95% |       0.83%
    mpki                             |       0.01 |        0.18 |        1.55 |        1.01
  Cache L1-D                         |            |             |             |            
    num cache accesses               |   75636447 |   611613505 |   579088220 |   678117140
    num cache misses                 |    5660890 |     3666021 |       25478 |     3120542
    miss rate                        |      7.48% |       0.60% |       0.00% |       0.46%
    mpki                             |      22.64 |        2.82 |        0.01 |        1.94
  Cache L2                           |            |             |             |            
    num cache accesses               |    7682420 |     3904773 |     2785243 |     4777091
    num cache misses                 |    5662726 |     2000971 |       74467 |      189526
    miss rate                        |     73.71% |      51.24% |       2.67% |       3.97%
    mpki                             |      22.65 |        1.54 |        0.04 |        0.12
  Cache L3                           |            |             |             |            
    num cache accesses               |    7682420 |     2029637 |       77942 |      218575
    num cache misses                 |    5660106 |     1435389 |       74455 |      189341
    miss rate                        |     73.68% |      70.72% |      95.53% |      86.63%
    mpki                             |      22.64 |        1.11 |        0.04 |        0.12
DRAM summary                         |            |             |             |            
  num dram accesses                  |   10216523 |           0 |           0 |           0
  average dram access latency (ns)   |     114.06 |         inf |         inf |         inf
  average dram queueing delay        |       4.05 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |     33.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |            |             |             |            
  num loads from dram                |          0 |           0 |           0 |           0
  num loads from dram cache          |          0 |           0 |           0 |           0
  num loads from remote cache        |          0 |           0 |           0 |           0
