                                     | Core 0     | Core 1      | Core 2      | Core 3     
  Instructions                       |  249999973 |  1653510858 |  1778839603 |  1652698223
  Cycles                             |  907312635 |   907313794 |   907313780 |   907313848
  IPC                                |       0.28 |        1.82 |        1.96 |        1.82
  Time (ns)                          |  302437545 |   302437932 |   302437927 |   302437950
Branch predictor stats               |            |             |             |            
  num correct                        |   40600608 |    94712359 |   328286996 |   110337598
  num incorrect                      |    2521753 |    16029767 |    22396127 |    18851270
  misprediction rate                 |      5.85% |      14.47% |       6.39% |      14.59%
  mpki                               |      10.09 |        9.69 |       12.59 |       11.41
TLB Summary                          |            |             |             |            
  I-TLB                              |            |             |             |            
    num accesses                     |   41868591 |   186105136 |   291688008 |   200414451
    num misses                       |          4 |          56 |          39 |          18
    miss rate                        |      0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |       0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |            |             |             |            
    num accesses                     |   75636447 |   775884744 |   579729032 |   696340498
    num misses                       |      88470 |      498273 |          23 |     4892859
    miss rate                        |      0.12% |       0.06% |       0.00% |       0.70%
    mpki                             |       0.35 |        0.30 |        0.00 |        2.96
  L2 TLB                             |            |             |             |            
    num accesses                     |      88474 |      498329 |          62 |     4892877
    num misses                       |      88474 |       78667 |          62 |       37126
    miss rate                        |    100.00% |      15.79% |     100.00% |       0.76%
    mpki                             |       0.35 |        0.05 |        0.00 |        0.02
Cache Summary                        |            |             |             |            
  Cache L1-I                         |            |             |             |            
    num cache accesses               |   41868591 |   186105136 |   291688008 |   200414451
    num cache misses                 |       5807 |      293540 |     2718260 |     1605247
    miss rate                        |      0.01% |       0.16% |       0.93% |       0.80%
    mpki                             |       0.02 |        0.18 |        1.53 |        0.97
  Cache L1-D                         |            |             |             |            
    num cache accesses               |   75636447 |   775884744 |   579729032 |   696340498
    num cache misses                 |    5675575 |     4627628 |        5150 |     3169926
    miss rate                        |      7.50% |       0.60% |       0.00% |       0.46%
    mpki                             |      22.70 |        2.80 |        0.00 |        1.92
  Cache L2                           |            |             |             |            
    num cache accesses               |    7638709 |     4921558 |     2723665 |     4778839
    num cache misses                 |    5681382 |     2477834 |       16418 |       25748
    miss rate                        |     74.38% |      50.35% |       0.60% |       0.54%
    mpki                             |      22.73 |        1.50 |        0.01 |        0.02
  Cache L3                           |            |             |             |            
    num cache accesses               |    7638709 |     2478813 |       16673 |       29513
    num cache misses                 |    5447279 |       61545 |       15777 |       24844
    miss rate                        |     71.31% |       2.48% |      94.63% |      84.18%
    mpki                             |      21.79 |        0.04 |        0.01 |        0.02
DRAM summary                         |            |             |             |            
  num dram accesses                  |    7502982 |           0 |           0 |           0
  average dram access latency (ns)   |     112.56 |         inf |         inf |         inf
  average dram queueing delay        |       2.55 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |     24.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |            |             |             |            
  num loads from dram                |          0 |           0 |           0 |           0
  num loads from dram cache          |          0 |           0 |           0 |           0
  num loads from remote cache        |          0 |           0 |           0 |           0
