                                     | Core 0     | Core 1      | Core 2      | Core 3     
  Instructions                       |  249999973 |  1640477532 |  1803856714 |  1675131479
  Cycles                             |  915848865 |   915855563 |   915855528 |   915855504
  IPC                                |       0.27 |        1.79 |        1.97 |        1.83
  Time (ns)                          |  305282955 |   305285188 |   305285176 |   305285168
Branch predictor stats               |            |             |             |            
  num correct                        |   40600608 |    94181241 |   332903692 |   111946543
  num incorrect                      |    2521753 |    15937950 |    22711017 |    19083295
  misprediction rate                 |      5.85% |      14.47% |       6.39% |      14.56%
  mpki                               |      10.09 |        9.72 |       12.59 |       11.39
TLB Summary                          |            |             |             |            
  I-TLB                              |            |             |             |            
    num accesses                     |   41868591 |   184839886 |   295789819 |   203124965
    num misses                       |          4 |          56 |          39 |          18
    miss rate                        |      0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |       0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |            |             |             |            
    num accesses                     |   75636447 |   769302536 |   587881234 |   705647873
    num misses                       |      88470 |      495163 |          23 |     4936859
    miss rate                        |      0.12% |       0.06% |       0.00% |       0.70%
    mpki                             |       0.35 |        0.30 |        0.00 |        2.95
  L2 TLB                             |            |             |             |            
    num accesses                     |      88474 |      495219 |          62 |     4936877
    num misses                       |      88474 |       78064 |          62 |       37380
    miss rate                        |    100.00% |      15.76% |     100.00% |       0.76%
    mpki                             |       0.35 |        0.05 |        0.00 |        0.02
Cache Summary                        |            |             |             |            
  Cache L1-I                         |            |             |             |            
    num cache accesses               |   41868591 |   184839886 |   295789819 |   203124965
    num cache misses                 |       7090 |      533324 |     2752999 |     1697816
    miss rate                        |      0.02% |       0.29% |       0.93% |       0.84%
    mpki                             |       0.03 |        0.33 |        1.53 |        1.01
  Cache L1-D                         |            |             |             |            
    num cache accesses               |   75636447 |   769302536 |   587881234 |   705647873
    num cache misses                 |    5663673 |     4707175 |        4345 |     3310596
    miss rate                        |      7.49% |       0.61% |       0.00% |       0.47%
    mpki                             |      22.65 |        2.87 |        0.00 |        1.98
  Cache L2                           |            |             |             |            
    num cache accesses               |    7690457 |     5241150 |     2757846 |     5012036
    num cache misses                 |    5670763 |     3677121 |       11477 |      387321
    miss rate                        |     73.74% |      70.16% |       0.42% |       7.73%
    mpki                             |      22.68 |        2.24 |        0.01 |        0.23
  Cache L3                           |            |             |             |            
    num cache accesses               |    7690457 |     3677858 |       11979 |      390983
    num cache misses                 |    5660106 |      158565 |       11365 |       17502
    miss rate                        |     73.60% |       4.31% |      94.87% |       4.48%
    mpki                             |      22.64 |        0.10 |        0.01 |        0.01
DRAM summary                         |            |             |             |            
  num dram accesses                  |    7906734 |           0 |           0 |           0
  average dram access latency (ns)   |     113.04 |         inf |         inf |         inf
  average dram queueing delay        |       3.03 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |     25.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |            |             |             |            
  num loads from dram                |          0 |           0 |           0 |           0
  num loads from dram cache          |          0 |           0 |           0 |           0
  num loads from remote cache        |          0 |           0 |           0 |           0
