                                     | Core 0     | Core 1      | Core 2      | Core 3     
  Instructions                       |  249999973 |  1633986565 |  1817448899 |  1680424693
  Cycles                             |  926398882 |   926400812 |   926400920 |   926400896
  IPC                                |       0.27 |        1.76 |        1.96 |        1.81
  Time (ns)                          |  308799628 |   308800271 |   308800307 |   308800299
Branch predictor stats               |            |             |             |            
  num correct                        |   40600608 |    94019328 |   335411981 |   112315056
  num incorrect                      |    2521753 |    15904063 |    22882121 |    19146722
  misprediction rate                 |      5.85% |      14.47% |       6.39% |      14.56%
  mpki                               |      10.09 |        9.73 |       12.59 |       11.39
TLB Summary                          |            |             |             |            
  I-TLB                              |            |             |             |            
    num accesses                     |   41868591 |   184295938 |   298018653 |   203781119
    num misses                       |          4 |          56 |          39 |          18
    miss rate                        |      0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |       0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |            |             |             |            
    num accesses                     |   75636447 |   765633856 |   592310930 |   707916801
    num misses                       |      88470 |      494688 |          23 |     4947957
    miss rate                        |      0.12% |       0.06% |       0.00% |       0.70%
    mpki                             |       0.35 |        0.30 |        0.00 |        2.94
  L2 TLB                             |            |             |             |            
    num accesses                     |      88474 |      494744 |          62 |     4947975
    num misses                       |      88474 |       77845 |          62 |       37490
    miss rate                        |    100.00% |      15.73% |     100.00% |       0.76%
    mpki                             |       0.35 |        0.05 |        0.00 |        0.02
Cache Summary                        |            |             |             |            
  Cache L1-I                         |            |             |             |            
    num cache accesses               |   41868591 |   184295938 |   298018653 |   203781119
    num cache misses                 |       3789 |      369658 |     2776919 |     1634865
    miss rate                        |      0.01% |       0.20% |       0.93% |       0.80%
    mpki                             |       0.02 |        0.23 |        1.53 |        0.97
  Cache L1-D                         |            |             |             |            
    num cache accesses               |   75636447 |   765633856 |   592310930 |   707916801
    num cache misses                 |    5663160 |     4596258 |        5428 |     3247060
    miss rate                        |      7.49% |       0.60% |       0.00% |       0.46%
    mpki                             |      22.65 |        2.81 |        0.00 |        1.93
  Cache L2                           |            |             |             |            
    num cache accesses               |    7664442 |     4966793 |     2782983 |     4889260
    num cache misses                 |    5666949 |     2787696 |       15208 |       51302
    miss rate                        |     73.94% |      56.13% |       0.55% |       1.05%
    mpki                             |      22.67 |        1.71 |        0.01 |        0.03
  Cache L3                           |            |             |             |            
    num cache accesses               |    7664442 |     2788766 |       15844 |       58756
    num cache misses                 |    5539291 |      243077 |       15134 |       42719
    miss rate                        |     72.27% |       8.72% |      95.52% |      72.71%
    mpki                             |      22.16 |        0.15 |        0.01 |        0.03
DRAM summary                         |            |             |             |            
  num dram accesses                  |    7901859 |           0 |           0 |           0
  average dram access latency (ns)   |     112.61 |         inf |         inf |         inf
  average dram queueing delay        |       2.60 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |     25.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |            |             |             |            
  num loads from dram                |          0 |           0 |           0 |           0
  num loads from dram cache          |          0 |           0 |           0 |           0
  num loads from remote cache        |          0 |           0 |           0 |           0
