                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999973 |  1907607473 |  2066357413 |  1920489369
  Cycles                             |  1049994380 |  1049996704 |  1049996707 |  1049996677
  IPC                                |        0.24 |        1.82 |        1.97 |        1.83
  Time (ns)                          |   349998127 |   349998901 |   349998902 |   349998892
Branch predictor stats               |             |             |             |            
  num correct                        |    40600608 |   109303930 |   381348271 |   128232448
  num incorrect                      |     2521753 |    18502110 |    26015846 |    21893367
  misprediction rate                 |       5.85% |      14.48% |       6.39% |      14.58%
  mpki                               |       10.09 |        9.70 |       12.59 |       11.40
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    41868591 |   214698984 |   338832946 |   232889838
    num misses                       |           4 |          56 |          39 |          18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    75636447 |   894910869 |   673429400 |   809124546
    num misses                       |       88470 |      576678 |          23 |     5679972
    miss rate                        |       0.12% |       0.06% |       0.00% |       0.70%
    mpki                             |        0.35 |        0.30 |        0.00 |        2.96
  L2 TLB                             |             |             |             |            
    num accesses                     |       88474 |      576734 |          62 |     5679990
    num misses                       |       88474 |       90993 |          62 |       43086
    miss rate                        |     100.00% |      15.78% |     100.00% |       0.76%
    mpki                             |        0.35 |        0.05 |        0.00 |        0.02
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    41868591 |   214698984 |   338832946 |   232889838
    num cache misses                 |        3610 |      429348 |     3148926 |     1858386
    miss rate                        |       0.01% |       0.20% |       0.93% |       0.80%
    mpki                             |        0.01 |        0.23 |        1.52 |        0.97
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    75636447 |   894910869 |   673429400 |   809124546
    num cache misses                 |     5661785 |     5377132 |        1759 |     3684019
    miss rate                        |       7.49% |       0.60% |       0.00% |       0.46%
    mpki                             |       22.65 |        2.82 |        0.00 |        1.92
  Cache L2                           |             |             |             |            
    num cache accesses               |     7685089 |     5806727 |     3150772 |     5544371
    num cache misses                 |     5665395 |     3251701 |        5576 |       14421
    miss rate                        |      73.72% |      56.00% |       0.18% |       0.26%
    mpki                             |       22.66 |        1.70 |        0.00 |        0.01
  Cache L3                           |             |             |             |            
    num cache accesses               |     7685089 |     3251996 |        5663 |       16408
    num cache misses                 |     5660106 |       64880 |        5265 |        9891
    miss rate                        |      73.65% |       2.00% |      92.97% |      60.28%
    mpki                             |       22.64 |        0.03 |        0.00 |        0.01
DRAM summary                         |             |             |             |            
  num dram accesses                  |     7762454 |           0 |           0 |           0
  average dram access latency (ns)   |      134.38 |         inf |         inf |         inf
  average dram queueing delay        |       14.36 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      44.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
