                                     | Core 0     | Core 1      | Core 2      | Core 3     
  Instructions                       |  249999973 |  1661668489 |  1799162532 |  1672179150
  Cycles                             |  913922059 |   913923568 |   913923442 |   913923586
  IPC                                |       0.27 |        1.82 |        1.97 |        1.83
  Time (ns)                          |  304640686 |   304641189 |   304641147 |   304641195
Branch predictor stats               |            |             |             |            
  num correct                        |   40600608 |    95373556 |   332037511 |   111714501
  num incorrect                      |    2521753 |    16155501 |    22651999 |    19051465
  misprediction rate                 |      5.85% |      14.49% |       6.39% |      14.57%
  mpki                               |      10.09 |        9.72 |       12.59 |       11.39
TLB Summary                          |            |             |             |            
  I-TLB                              |            |             |             |            
    num accesses                     |   41868591 |   187128510 |   295019348 |   202761367
    num misses                       |          4 |          56 |          39 |          18
    miss rate                        |      0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |       0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |            |             |             |            
    num accesses                     |   75636447 |   779003351 |   586351097 |   704412916
    num misses                       |      88470 |      503123 |          23 |     4932788
    miss rate                        |      0.12% |       0.06% |       0.00% |       0.70%
    mpki                             |       0.35 |        0.30 |        0.00 |        2.95
  L2 TLB                             |            |             |             |            
    num accesses                     |      88474 |      503179 |          62 |     4932806
    num misses                       |      88474 |       79272 |          62 |       37369
    miss rate                        |    100.00% |      15.75% |     100.00% |       0.76%
    mpki                             |       0.35 |        0.05 |        0.00 |        0.02
Cache Summary                        |            |             |             |            
  Cache L1-I                         |            |             |             |            
    num cache accesses               |   41868591 |   187128510 |   295019348 |   202761367
    num cache misses                 |       1836 |      295478 |     2741709 |     1614502
    miss rate                        |      0.00% |       0.16% |       0.93% |       0.80%
    mpki                             |       0.01 |        0.18 |        1.52 |        0.97
  Cache L1-D                         |            |             |             |            
    num cache accesses               |   75636447 |   779003351 |   586351097 |   704412916
    num cache misses                 |    5660890 |     4655760 |        1135 |     3215384
    miss rate                        |      7.48% |       0.60% |       0.00% |       0.46%
    mpki                             |      22.64 |        2.80 |        0.00 |        1.92
  Cache L2                           |            |             |             |            
    num cache accesses               |    7682420 |     4951529 |     2742916 |     4832112
    num cache misses                 |    5662726 |     2490912 |        4638 |       11140
    miss rate                        |     73.71% |      50.31% |       0.17% |       0.23%
    mpki                             |      22.65 |        1.50 |        0.00 |        0.01
  Cache L3                           |            |             |             |            
    num cache accesses               |    7682420 |     2491775 |        4710 |       13386
    num cache misses                 |    5660106 |       66356 |        4523 |       10841
    miss rate                        |     73.68% |       2.66% |      96.03% |      80.99%
    mpki                             |      22.64 |        0.04 |        0.00 |        0.01
DRAM summary                         |            |             |             |            
  num dram accesses                  |    7765857 |           0 |           0 |           0
  average dram access latency (ns)   |     112.51 |         inf |         inf |         inf
  average dram queueing delay        |       2.50 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |     25.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |            |             |             |            
  num loads from dram                |          0 |           0 |           0 |           0
  num loads from dram cache          |          0 |           0 |           0 |           0
  num loads from remote cache        |          0 |           0 |           0 |           0
