                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   249999973 |   856863005 |  1391587352 |  1703913595 |   968113287 |   758309729 |  1207940911 |  1878618724
  Cycles                             |  1126641438 |  1126644600 |  1126644804 |  1126644489 |  1126644600 |  1126644610 |  1126644880 |  1126644501
  IPC                                |        0.22 |        0.76 |        1.24 |        1.51 |        0.86 |        0.67 |        1.07 |        1.67
  Time (ns)                          |   375547146 |   375548200 |   375548268 |   375548163 |   375548200 |   375548203 |   375548293 |   375548167
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    40600608 |    19250339 |    79953480 |    74969218 |     1254292 |    46096407 |   182194070 |   248897280
  num incorrect                      |     2521753 |      341158 |    13534350 |     4254996 |       21258 |    27738012 |    20454747 |    25268133
  misprediction rate                 |       5.85% |       1.74% |      14.48% |       5.37% |       1.67% |      37.57% |      10.09% |       9.22%
  mpki                               |       10.09 |        0.40 |        9.73 |        2.50 |        0.02 |       36.58 |       16.93 |       13.45
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    41868591 |    77302885 |   156855802 |   162528070 |   110913389 |    90510546 |   193365405 |   282788511
    num misses                       |           4 |           4 |          56 |           8 |           6 |          10 |        7273 |        1293
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    75636447 |   338242659 |   652477196 |   519070417 |   724128067 |   348634613 |   486403317 |   736198739
    num misses                       |       88470 |      170711 |      419467 |      165147 |    26018038 |     2399282 |     2724588 |      234324
    miss rate                        |       0.12% |       0.05% |       0.06% |       0.03% |       3.59% |       0.69% |       0.56% |       0.03%
    mpki                             |        0.35 |        0.20 |        0.30 |        0.10 |       26.87 |        3.16 |        2.26 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       88474 |      170715 |      419523 |      165155 |    26018044 |     2399292 |     2731861 |      235617
    num misses                       |       88474 |       94975 |       66102 |        4255 |    18619113 |     1907432 |      391769 |        6966
    miss rate                        |     100.00% |      55.63% |      15.76% |       2.58% |      71.56% |      79.50% |      14.34% |       2.96%
    mpki                             |        0.35 |        0.11 |        0.05 |        0.00 |       19.23 |        2.52 |        0.32 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    41868591 |    77302885 |   156855802 |   162528070 |   110913389 |    90510546 |   193365405 |   282788511
    num cache misses                 |        7090 |       99877 |      452746 |       30731 |      466897 |       49650 |     3705628 |     5836110
    miss rate                        |       0.02% |       0.13% |       0.29% |       0.02% |       0.42% |       0.05% |       1.92% |       2.06%
    mpki                             |        0.03 |        0.12 |        0.33 |        0.02 |        0.48 |        0.07 |        3.07 |        3.11
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |    75636447 |   338242659 |   652477196 |   519070417 |   724128067 |   348634613 |   486403317 |   736198739
    num cache misses                 |     5663673 |     8463115 |     3992439 |    13800511 |     7949362 |     5383892 |     4575135 |     9557500
    miss rate                        |       7.49% |       2.50% |       0.61% |       2.66% |       1.10% |       1.54% |       0.94% |       1.30%
    mpki                             |       22.65 |        9.88 |        2.87 |        8.10 |        8.21 |        7.10 |        3.79 |        5.09
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7690457 |     8563607 |     4450341 |    13890381 |     8416640 |     5876402 |     8434631 |    15464145
    num cache misses                 |     5670763 |     6180523 |     3130548 |      500799 |     5876746 |     5057972 |     4438941 |      929210
    miss rate                        |      73.74% |      72.17% |      70.34% |       3.61% |      69.82% |      86.07% |      52.63% |       6.01%
    mpki                             |       22.68 |        7.21 |        2.25 |        0.29 |        6.07 |        6.67 |        3.67 |        0.49
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7690457 |     6182007 |     3136168 |      562149 |     5877241 |     5565791 |     4593407 |      999959
    num cache misses                 |     5660106 |     5956799 |     1825599 |      348817 |     5010543 |     1445621 |     1367715 |      497849
    miss rate                        |      73.60% |      96.36% |      58.21% |      62.05% |      85.25% |      25.97% |      29.78% |      49.79%
    mpki                             |       22.64 |        6.95 |        1.31 |        0.20 |        5.18 |        1.91 |        1.13 |        0.27
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    29600595 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      153.11 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       43.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      78.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
