                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   249999973 |   822286418 |  1964989862 |   930492568 |   859506539 |   690870392 |  1136078580 |  1422377420
  Cycles                             |  1161922833 |  1161926623 |  1161926257 |  1161926507 |  1161926446 |  1161926489 |  1161926822 |  1161926243
  IPC                                |        0.22 |        0.71 |        1.69 |        0.80 |        0.74 |        0.59 |        0.98 |        1.22
  Time (ns)                          |   387307611 |   387308874 |   387308752 |   387308836 |   387308815 |   387308830 |   387308941 |   387308748
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    40600608 |    18829219 |   112026990 |    40474457 |     1115092 |    41976192 |   171456141 |   186787247
  num incorrect                      |     2521753 |      334136 |    18987014 |     2314460 |       18900 |    25259296 |    19201624 |    19249240
  misprediction rate                 |       5.85% |       1.74% |      14.49% |       5.41% |       1.67% |      37.57% |      10.07% |       9.34%
  mpki                               |       10.09 |        0.41 |        9.66 |        2.49 |        0.02 |       36.56 |       16.90 |       13.53
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    41868591 |    74074091 |   220666489 |    89069679 |    98466324 |    82392399 |   181782612 |   214827281
    num misses                       |           4 |           4 |          56 |           8 |           6 |          10 |        6850 |         994
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    75636447 |   321742170 |   923162980 |   285239506 |   642907549 |   317718998 |   456990333 |   560269138
    num misses                       |       88470 |      165039 |      593402 |       88666 |    23192395 |     2172289 |     2526181 |      174626
    miss rate                        |       0.12% |       0.05% |       0.06% |       0.03% |       3.61% |       0.68% |       0.55% |       0.03%
    mpki                             |        0.35 |        0.20 |        0.30 |        0.10 |       26.98 |        3.14 |        2.22 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       88474 |      165043 |      593458 |       88674 |    23192401 |     2172299 |     2533031 |      175620
    num misses                       |       88474 |       89474 |       93613 |        2357 |    16604721 |     1724134 |      364529 |        5303
    miss rate                        |     100.00% |      54.21% |      15.77% |       2.66% |      71.60% |      79.37% |      14.39% |       3.02%
    mpki                             |        0.35 |        0.11 |        0.05 |        0.00 |       19.32 |        2.50 |        0.32 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    41868591 |    74074091 |   220666489 |    89069679 |    98466324 |    82392399 |   181782612 |   214827281
    num cache misses                 |       12973 |      123047 |      640536 |      119006 |      599502 |       46361 |     3444902 |     4836119
    miss rate                        |       0.03% |       0.17% |       0.29% |       0.13% |       0.61% |       0.06% |       1.90% |       2.25%
    mpki                             |        0.05 |        0.15 |        0.33 |        0.13 |        0.70 |        0.07 |        3.03 |        3.40
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |    75636447 |   321742170 |   923162980 |   285239506 |   642907549 |   317718998 |   456990333 |   560269138
    num cache misses                 |     5664466 |     8221916 |     5656524 |     8587446 |     7111510 |     4928689 |     4301556 |     7112397
    miss rate                        |       7.49% |       2.56% |       0.61% |       3.01% |       1.11% |       1.55% |       0.94% |       1.27%
    mpki                             |       22.66 |       10.00 |        2.88 |        9.23 |        8.27 |        7.13 |        3.79 |        5.00
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7697143 |     8409940 |     6298679 |     9003978 |     7744969 |     5479250 |     7920095 |    12090598
    num cache misses                 |     5677439 |     6153321 |     4425770 |     2265371 |     5715769 |     4637598 |     4262227 |     1456494
    miss rate                        |      73.76% |      73.17% |      70.27% |      25.16% |      73.80% |      84.64% |      53.82% |      12.05%
    mpki                             |       22.71 |        7.48 |        2.25 |        2.43 |        6.65 |        6.71 |        3.75 |        1.02
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7697143 |     6241488 |     4427536 |     2579862 |     5749842 |     5202529 |     4436636 |     1599757
    num cache misses                 |     5669530 |     5948472 |      379086 |     2130819 |     5210359 |     1706826 |     1548909 |     1329023
    miss rate                        |      73.66% |      95.31% |       8.56% |      82.59% |      90.62% |      32.81% |      34.91% |      83.08%
    mpki                             |       22.68 |        7.23 |        0.19 |        2.29 |        6.06 |        2.47 |        1.36 |        0.93
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    31253002 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      158.34 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       48.33 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      80.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
