                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   397861204 |   608363840 |  1148132123 |   249999981
  Cycles                             |  1844820471 |  1844820401 |  1844820459 |  1844817598
  IPC                                |        0.22 |        0.33 |        0.62 |        0.14
  Time (ns)                          |   614940157 |   614940134 |   614940153 |   614939199
Branch predictor stats               |             |             |             |            
  num correct                        |    65707574 |    11784423 |   174076764 |    58565837
  num incorrect                      |     4117421 |    16258626 |    37906905 |     6500447
  misprediction rate                 |       5.90% |      57.98% |      17.88% |       9.99%
  mpki                               |       10.35 |       26.73 |       33.02 |       26.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    66474117 |    67392191 |   158738043 |    21135842
    num misses                       |           4 |          14 |         274 |       17441
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.08%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.07
  D-TLB                              |             |             |             |            
    num accesses                     |   121955999 |   226969783 |   446001339 |    86633855
    num misses                       |      144741 |     1618104 |     2360854 |     1331670
    miss rate                        |       0.12% |       0.71% |       0.53% |       1.54%
    mpki                             |        0.36 |        2.66 |        2.06 |        5.33
  L2 TLB                             |             |             |             |            
    num accesses                     |      144745 |     1618118 |     2361128 |     1349111
    num misses                       |      144745 |     1618099 |      213786 |     1140469
    miss rate                        |     100.00% |     100.00% |       9.05% |      84.53%
    mpki                             |        0.36 |        2.66 |        0.19 |        4.56
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    66474117 |    67392191 |   158738043 |    21135842
    num cache misses                 |        5935 |       16833 |     9290760 |      355853
    miss rate                        |       0.01% |       0.02% |       5.85% |       1.68%
    mpki                             |        0.01 |        0.03 |        8.09 |        1.42
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   121955999 |   226969783 |   446001339 |    86633855
    num cache misses                 |     9261885 |    17613008 |     9463283 |     7420471
    miss rate                        |       7.59% |       7.76% |       2.12% |       8.57%
    mpki                             |       23.28 |       28.95 |        8.24 |       29.68
  Cache L2                           |             |             |             |            
    num cache accesses               |    12479189 |    19985170 |    19214580 |     7797962
    num cache misses                 |     9267820 |    17629697 |     7087724 |     7372178
    miss rate                        |      74.27% |      88.21% |      36.89% |      94.54%
    mpki                             |       23.29 |       28.98 |        6.17 |       29.49
  Cache L3                           |             |             |             |            
    num cache accesses               |    12479189 |    19985026 |     7551669 |     7394756
    num cache misses                 |     9264970 |    17617464 |     2825542 |     7101484
    miss rate                        |      74.24% |      88.15% |      37.42% |      96.03%
    mpki                             |       23.29 |       28.96 |        2.46 |       28.41
DRAM summary                         |             |             |             |            
  num dram accesses                  |    48483870 |           0 |           0 |           0
  average dram access latency (ns)   |      148.86 |         inf |         inf |         inf
  average dram queueing delay        |       38.85 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      78.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
