                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   383034205 |   587436594 |  1194887615 |   249999981
  Cycles                             |  1794071334 |  1794071530 |  1794071296 |  1794069375
  IPC                                |        0.21 |        0.33 |        0.67 |        0.14
  Time (ns)                          |   598023778 |   598023844 |   598023766 |   598023125
Branch predictor stats               |             |             |             |            
  num correct                        |    63066527 |    11551899 |   180842994 |    58565837
  num incorrect                      |     4071087 |    15886586 |    39608189 |     6500447
  misprediction rate                 |       6.06% |      57.90% |      17.97% |       9.99%
  mpki                               |       10.63 |       27.04 |       33.15 |       26.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    63786730 |    65578500 |   165430639 |    21135842
    num misses                       |           4 |          14 |         275 |       17441
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.08%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.07
  D-TLB                              |             |             |             |            
    num accesses                     |   117901728 |   220831135 |   464359276 |    86633855
    num misses                       |      139490 |     1569874 |     2456647 |     1331677
    miss rate                        |       0.12% |       0.71% |       0.53% |       1.54%
    mpki                             |        0.36 |        2.67 |        2.06 |        5.33
  L2 TLB                             |             |             |             |            
    num accesses                     |      139494 |     1569888 |     2456922 |     1349118
    num misses                       |      139494 |     1569869 |      217250 |     1140470
    miss rate                        |     100.00% |     100.00% |       8.84% |      84.53%
    mpki                             |        0.36 |        2.67 |        0.18 |        4.56
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    63786730 |    65578500 |   165430639 |    21135842
    num cache misses                 |       12358 |       56737 |     9857177 |      410191
    miss rate                        |       0.02% |       0.09% |       5.96% |       1.94%
    mpki                             |        0.03 |        0.10 |        8.25 |        1.64
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   117901728 |   220831135 |   464359276 |    86633855
    num cache misses                 |     8934187 |    17233938 |     9796117 |     7459792
    miss rate                        |       7.58% |       7.80% |       2.11% |       8.61%
    mpki                             |       23.32 |       29.34 |        8.20 |       29.84
  Cache L2                           |             |             |             |            
    num cache accesses               |    12137136 |    19646965 |    20087821 |     7886776
    num cache misses                 |     8946547 |    17290674 |     9672518 |     7543776
    miss rate                        |      73.71% |      88.01% |      48.15% |      95.65%
    mpki                             |       23.36 |       29.43 |        8.09 |       30.18
  Cache L3                           |             |             |             |            
    num cache accesses               |    12137136 |    19646964 |    10108021 |     7561043
    num cache misses                 |     8930809 |    17241437 |     2530266 |     6912331
    miss rate                        |      73.58% |      87.76% |      25.03% |      91.42%
    mpki                             |       23.32 |       29.35 |        2.12 |       27.65
DRAM summary                         |             |             |             |            
  num dram accesses                  |    47107335 |           0 |           0 |           0
  average dram access latency (ns)   |      149.93 |         inf |         inf |         inf
  average dram queueing delay        |       39.92 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      78.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
