                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   387840721 |   593975094 |  1215006764 |   249999981
  Cycles                             |  1821228992 |  1821228994 |  1821229085 |  1821225984
  IPC                                |        0.21 |        0.33 |        0.67 |        0.14
  Time (ns)                          |   607076331 |   607076332 |   607076362 |   607075328
Branch predictor stats               |             |             |             |            
  num correct                        |    63940439 |    11624549 |   183848116 |    58565837
  num incorrect                      |     4071087 |    16002826 |    40305931 |     6500447
  misprediction rate                 |       5.99% |      57.92% |      17.98% |       9.99%
  mpki                               |       10.50 |       26.94 |       33.17 |       26.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    64660642 |    66145170 |   168596316 |    21135842
    num misses                       |           4 |          14 |         280 |       17441
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.08%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.07
  D-TLB                              |             |             |             |            
    num accesses                     |   119212596 |   222749095 |   472006238 |    86633855
    num misses                       |      141197 |     1584943 |     2510281 |     1331624
    miss rate                        |       0.12% |       0.71% |       0.53% |       1.54%
    mpki                             |        0.36 |        2.67 |        2.07 |        5.33
  L2 TLB                             |             |             |             |            
    num accesses                     |      141201 |     1584957 |     2510561 |     1349065
    num misses                       |      141201 |     1584938 |      229066 |     1140467
    miss rate                        |     100.00% |     100.00% |       9.12% |      84.54%
    mpki                             |        0.36 |        2.67 |        0.19 |        4.56
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    64660642 |    66145170 |   168596316 |    21135842
    num cache misses                 |       11077 |       36666 |     9733206 |      380597
    miss rate                        |       0.02% |       0.06% |       5.77% |       1.80%
    mpki                             |        0.03 |        0.06 |        8.01 |        1.52
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   119212596 |   222749095 |   472006238 |    86633855
    num cache misses                 |     9037308 |    17353687 |     9614008 |     7439422
    miss rate                        |       7.58% |       7.79% |       2.04% |       8.59%
    mpki                             |       23.30 |       29.22 |        7.91 |       29.76
  Cache L2                           |             |             |             |            
    num cache accesses               |    12239683 |    19745749 |    19775488 |     7842490
    num cache misses                 |     9048385 |    17390281 |     8625230 |     7461267
    miss rate                        |      73.93% |      88.07% |      43.62% |      95.14%
    mpki                             |       23.33 |       29.28 |        7.10 |       29.85
  Cache L3                           |             |             |             |            
    num cache accesses               |    12239683 |    19745677 |     9054598 |     7484537
    num cache misses                 |     9044708 |    17382830 |     2481946 |     7006298
    miss rate                        |      73.90% |      88.03% |      27.41% |      93.61%
    mpki                             |       23.32 |       29.27 |        2.04 |       28.03
DRAM summary                         |             |             |             |            
  num dram accesses                  |    47450064 |           0 |           0 |           0
  average dram access latency (ns)   |      149.62 |         inf |         inf |         inf
  average dram queueing delay        |       39.61 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      78.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
