                                     | Core 0     | Core 1      | Core 2      | Core 3    
  Instructions                       |  249999973 |  1496360607 |  1148985938 |  701550392
  Cycles                             |  927106320 |   927109013 |   927108973 |  927109679
  IPC                                |       0.27 |        1.61 |        1.24 |       0.76
  Time (ns)                          |  309035440 |   309036338 |   309036325 |  309036560
Branch predictor stats               |            |             |             |           
  num correct                        |   40600608 |    66105380 |   173271560 |  105476490
  num incorrect                      |    2521753 |     3750343 |    19428643 |   23604547
  misprediction rate                 |      5.85% |       5.37% |      10.08% |     18.29%
  mpki                               |      10.09 |        2.51 |       16.91 |      33.65
TLB Summary                          |            |             |             |           
  I-TLB                              |            |             |             |           
    num accesses                     |   41868591 |   142497378 |   183902961 |   97580073
    num misses                       |          4 |           8 |        6850 |        202
    miss rate                        |      0.00% |       0.00% |       0.00% |      0.00%
    mpki                             |       0.00 |        0.00 |        0.01 |       0.00
  D-TLB                              |            |             |             |           
    num accesses                     |   75636447 |   454804932 |   462188041 |  273100197
    num misses                       |      88470 |      146472 |     2528137 |    1444898
    miss rate                        |      0.12% |       0.03% |       0.55% |      0.53%
    mpki                             |       0.35 |        0.10 |        2.20 |       2.06
  L2 TLB                             |            |             |             |           
    num accesses                     |      88474 |      146480 |     2534987 |    1445100
    num misses                       |      88474 |        3804 |      364755 |     116579
    miss rate                        |    100.00% |       2.60% |      14.39% |      8.07%
    mpki                             |       0.35 |        0.00 |        0.32 |       0.17
Cache Summary                        |            |             |             |           
  Cache L1-I                         |            |             |             |           
    num cache accesses               |   41868591 |   142497378 |   183902961 |   97580073
    num cache misses                 |       3706 |        8415 |     3102422 |    5748849
    miss rate                        |      0.01% |       0.01% |       1.69% |      5.89%
    mpki                             |       0.01 |        0.01 |        2.70 |       8.19
  Cache L1-D                         |            |             |             |           
    num cache accesses               |   75636447 |   454804932 |   462188041 |  273100197
    num cache misses                 |    5661796 |    12025755 |     4049064 |    4906083
    miss rate                        |      7.49% |       2.64% |       0.88% |      1.80%
    mpki                             |      22.65 |        8.04 |        3.52 |       6.99
  Cache L2                           |            |             |             |           
    num cache accesses               |    7685195 |    12073585 |     7265038 |   10886296
    num cache misses                 |    5665502 |      249496 |     2222582 |    4339529
    miss rate                        |     73.72% |       2.07% |      30.59% |     39.86%
    mpki                             |      22.66 |        0.17 |        1.93 |       6.19
  Cache L3                           |            |             |             |           
    num cache accesses               |    7685195 |      289459 |     2337048 |    4571544
    num cache misses                 |    5662205 |      197155 |     1067832 |    1279453
    miss rate                        |     73.68% |      68.11% |      45.69% |     27.99%
    mpki                             |      22.65 |        0.13 |        0.93 |       1.82
DRAM summary                         |            |             |             |           
  num dram accesses                  |   10831914 |           0 |           0 |          0
  average dram access latency (ns)   |     114.82 |         inf |         inf |        inf
  average dram queueing delay        |       4.81 |        0.00 |        0.00 |       0.00
  average dram bandwidth utilization |     35.00% |       0.00% |       0.00% |      0.00%
Coherency Traffic                    |            |             |             |           
  num loads from dram                |          0 |           0 |           0 |          0
  num loads from dram cache          |          0 |           0 |           0 |          0
  num loads from remote cache        |          0 |           0 |           0 |          0
