                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999989 |  4591067670 |  3269040917 |  2087891008
  Cycles                             |  3744270876 |  3744272761 |  3744272750 |  3744272928
  IPC                                |        0.07 |        1.23 |        0.87 |        0.56
  Time (ns)                          |  1248090292 |  1248090921 |  1248090917 |  1248090976
Branch predictor stats               |             |             |             |            
  num correct                        |    43244780 |   211418380 |     4255695 |   111636130
  num incorrect                      |    11689069 |     1758581 |       72120 |     2612037
  misprediction rate                 |      21.28% |       0.82% |       1.67% |       2.29%
  mpki                               |       46.76 |        0.38 |        0.02 |        1.25
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    23761816 |   351237613 |   374463989 |   208771575
    num misses                       |           3 |          43 |           6 |          47
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    88558906 |  2641841439 |  2445374513 |   724988792
    num misses                       |    21160476 |      355609 |    88130067 |     1116512
    miss rate                        |      23.89% |       0.01% |       3.60% |       0.15%
    mpki                             |       84.64 |        0.08 |       26.96 |        0.53
  L2 TLB                             |             |             |             |            
    num accesses                     |    21160479 |      355652 |    88130073 |     1116559
    num misses                       |    10898555 |      102398 |    62955705 |      344603
    miss rate                        |      51.50% |      28.79% |      71.43% |      30.86%
    mpki                             |       43.59 |        0.02 |       19.26 |        0.17
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    23761816 |   351237613 |   374463989 |   208771575
    num cache misses                 |       55232 |      176331 |      334322 |       68783
    miss rate                        |       0.23% |       0.05% |       0.09% |       0.03%
    mpki                             |        0.22 |        0.04 |        0.10 |        0.03
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    88558906 |  2641841439 |  2445374513 |   724988792
    num cache misses                 |    28771785 |    23953446 |    26709719 |    25596072
    miss rate                        |      32.49% |       0.91% |       1.09% |       3.53%
    mpki                             |      115.09 |        5.22 |        8.17 |       12.26
  Cache L2                           |             |             |             |            
    num cache accesses               |    32570296 |    24221500 |    27051100 |    29416367
    num cache misses                 |    20415791 |    13660123 |    17984001 |    18802834
    miss rate                        |      62.68% |      56.40% |      66.48% |      63.92%
    mpki                             |       81.66 |        2.98 |        5.50 |        9.01
  Cache L3                           |             |             |             |            
    num cache accesses               |    24231795 |    13776657 |    17991579 |    22698891
    num cache misses                 |    17664870 |    12805673 |    17423915 |    18505296
    miss rate                        |      72.90% |      92.95% |      96.84% |      81.53%
    mpki                             |       70.66 |        2.79 |        5.33 |        8.86
DRAM summary                         |             |             |             |            
  num dram accesses                  |    95002236 |           0 |           0 |           0
  average dram access latency (ns)   |      148.38 |         inf |         inf |         inf
  average dram queueing delay        |       38.37 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      76.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
