                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999989 |  6270648964 |  3265951697 |  2181391973
  Cycles                             |  4067505112 |  4067507756 |  4067507616 |  4067507705
  IPC                                |        0.06 |        1.54 |        0.80 |        0.54
  Time (ns)                          |  1355835037 |  1355835919 |  1355835872 |  1355835902
Branch predictor stats               |             |             |             |            
  num correct                        |    43244780 |   288765456 |     4253633 |   116377433
  num incorrect                      |    11689069 |     2402939 |       72086 |     2722762
  misprediction rate                 |      21.28% |       0.83% |       1.67% |       2.29%
  mpki                               |       46.76 |        0.38 |        0.02 |        1.25
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    23761816 |   479731646 |   374104456 |   217553717
    num misses                       |           3 |          43 |           6 |          47
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    88558906 |  3608339250 |  2443083169 |   759250538
    num misses                       |    21160877 |      486135 |    88081219 |     1162238
    miss rate                        |      23.89% |       0.01% |       3.61% |       0.15%
    mpki                             |       84.64 |        0.08 |       26.97 |        0.53
  L2 TLB                             |             |             |             |            
    num accesses                     |    21160880 |      486178 |    88081225 |     1162285
    num misses                       |    10898715 |      139466 |    62946326 |      359215
    miss rate                        |      51.50% |      28.69% |      71.46% |      30.91%
    mpki                             |       43.59 |        0.02 |       19.27 |        0.16
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    23761816 |   479731646 |   374104456 |   217553717
    num cache misses                 |       95431 |      187862 |      841519 |      122694
    miss rate                        |       0.40% |       0.04% |       0.22% |       0.06%
    mpki                             |        0.38 |        0.03 |        0.26 |        0.06
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    88558906 |  3608339250 |  2443083169 |   759250538
    num cache misses                 |    28872307 |    32528901 |    26903193 |    26818468
    miss rate                        |      32.60% |       0.90% |       1.10% |       3.53%
    mpki                             |      115.49 |        5.19 |        8.24 |       12.29
  Cache L2                           |             |             |             |            
    num cache accesses               |    32969776 |    32773078 |    27843300 |    31051066
    num cache misses                 |    21771898 |    16153691 |    20189335 |    21144046
    miss rate                        |      66.04% |      49.29% |      72.51% |      68.09%
    mpki                             |       87.09 |        2.58 |        6.18 |        9.69
  Cache L3                           |             |             |             |            
    num cache accesses               |    25834632 |    16235746 |    20300530 |    25471615
    num cache misses                 |    20973757 |     9757692 |    19748365 |    20806535
    miss rate                        |      81.18% |      60.10% |      97.28% |      81.69%
    mpki                             |       83.90 |        1.56 |        6.05 |        9.54
DRAM summary                         |             |             |             |            
  num dram accesses                  |    98439328 |           0 |           0 |           0
  average dram access latency (ns)   |      146.23 |         inf |         inf |         inf
  average dram queueing delay        |       36.22 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      72.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
