                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999989 |  4548638744 |  3425019253 |  2206322840
  Cycles                             |  4036981471 |  4036982805 |  4036982994 |  4036982786
  IPC                                |        0.06 |        1.13 |        0.85 |        0.55
  Time (ns)                          |  1345660490 |  1345660935 |  1345660998 |  1345660929
Branch predictor stats               |             |             |             |            
  num correct                        |    43244780 |   209463363 |     4455474 |   117541740
  num incorrect                      |    11689069 |     1742379 |       75506 |     2749967
  misprediction rate                 |      21.28% |       0.82% |       1.67% |       2.29%
  mpki                               |       46.76 |        0.38 |        0.02 |        1.25
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    23761816 |   347988038 |   392340552 |   219817594
    num misses                       |           3 |          43 |           6 |          47
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    88558906 |  2617436036 |  2562020003 |   767257453
    num misses                       |    21160302 |      352070 |    92318770 |     1165596
    miss rate                        |      23.89% |       0.01% |       3.60% |       0.15%
    mpki                             |       84.64 |        0.08 |       26.95 |        0.53
  L2 TLB                             |             |             |             |            
    num accesses                     |    21160305 |      352113 |    92318776 |     1165643
    num misses                       |    10898505 |      101515 |    65986419 |      361581
    miss rate                        |      51.50% |      28.83% |      71.48% |      31.02%
    mpki                             |       43.59 |        0.02 |       19.27 |        0.16
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    23761816 |   347988038 |   392340552 |   219817594
    num cache misses                 |      108574 |      246108 |      792766 |      137713
    miss rate                        |       0.46% |       0.07% |       0.20% |       0.06%
    mpki                             |        0.43 |        0.05 |        0.23 |        0.06
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    88558906 |  2617436036 |  2562020003 |   767257453
    num cache misses                 |    28809743 |    24203763 |    28148067 |    27225772
    miss rate                        |      32.53% |       0.92% |       1.10% |       3.55%
    mpki                             |      115.24 |        5.32 |        8.22 |       12.34
  Cache L2                           |             |             |             |            
    num cache accesses               |    32783396 |    24595816 |    28965194 |    31484558
    num cache misses                 |    22632949 |    15802017 |    19718560 |    20768465
    miss rate                        |      69.04% |      64.25% |      68.08% |      65.96%
    mpki                             |       90.53 |        3.47 |        5.76 |        9.41
  Cache L3                           |             |             |             |            
    num cache accesses               |    26545515 |    15959802 |    19743448 |    25086931
    num cache misses                 |    19804520 |    14244526 |    18736758 |    20119073
    miss rate                        |      74.61% |      89.25% |      94.90% |      80.20%
    mpki                             |       79.22 |        3.13 |        5.47 |        9.12
DRAM summary                         |             |             |             |            
  num dram accesses                  |   103140012 |           0 |           0 |           0
  average dram access latency (ns)   |      149.08 |         inf |         inf |         inf
  average dram queueing delay        |       39.07 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      76.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
